smplNm,mcp_ddPCR,mcp_qPCR,sdmn_ddPCR,sdmn_qPCR,sdmx_ddPCR,sdmx_qPCR,smplTp,qlod,f2,mcp_ddPCR_lod,spcAbbr
MST1022,0,0,0,0,0.47836463898420345,0,MST,1,0.5985878556633702,0.2,Hemtak
MST1024,0,0,0,0,0.4578574374318125,0,MST,1,0.5985878556633702,0.2,Hemtak
MST1027,0,0,0,0,0.468512512743473,0,MST,1,0.5985878556633702,0.2,Hemtak
MST1028,0,0,0,0,0.8149664849042899,0,MST,1,0.5985878556633702,0.2,Hemtak
MST1031,0,0,0,0,0.41965752840042103,0,MST,1,0.5985878556633702,0.2,Hemtak
MST1038,0,0,0,0,0.4191115126013755,0,MST,1,0.5985878556633702,0.2,Hemtak
MST1039,0,0,0,0,0.46163696795702003,0,MST,1,0.5985878556633702,0.2,Hemtak
MST1043,0,0,0,0,0.41898068040609354,0,MST,1,0.5985878556633702,0.2,Hemtak
MST1054,0,0,0,0,0.4551660269498825,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-002,0,0,0,0,0.533968061208725,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-005,0,0,0,0,0.44431697577238094,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-006,0,0,0,0,0.560387186706065,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-008,0,0,0,0,0.427091270685196,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-011,0,0,0,0,0.4843199625611305,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-012,0,0,0,0,0.43675035238265997,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-013,0,0,0,0,0.557941198349,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-015,0,0,0,0,0.43523959815502156,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-019,0,0,0,0,0.417330488562584,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-025,0,0,0,0,0.42432326823473,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-028,0,0,0,0,0.443558283150196,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-029,0,0,0,0,0.5319575592875501,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-030,0,0,0,0,0.4415881261229515,0,MST,1,0.5985878556633702,0.2,Hemtak
MST2021-031,0,0,0,0,5.4584538936615,0,MST,1,0.5985878556633702,0.2,Hemtak
