speciesabbr,smplNm,mcp_ddPCR,mcp_qPCR,sdmn_ddPCR,sdmn_qPCR,sdmx_ddPCR,sdmx_qPCR,ddlod,qlod,qloq,sp.f2
Bonham,MST1022,0,0,0,0,0.4573893174529075,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST1024,0,0,0,0,0.42331952601671197,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST1027,0,0,0,0,0.417698472738266,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST1028,0,0,0,0,0.42461413890123356,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST1031,0,0,0,0,0.40623582899570454,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST1038,0,0,0,0,0.42575903236866,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST1039,0,0,0,0,0.4014163836836815,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST1043,0,0,0,0,0.4098957404494285,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST1054,0,0,0,0,0.414132699370384,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-002,0,0,0,0,0.487161949276924,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-005,0,0,0,0,0.4214805737137795,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-006,0,0,0,0,0.5121981352567649,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-008,0,0,0,0,0.4395394399762155,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-011,0,0,0,0,0.505891516804695,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-012,0,0,0,0,0.4691676050424575,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-013,0,0,0,0,0.46355023980140697,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-015,0,0,0,0,0.41235141456127156,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-019,0,0,0,0,0.40864773094654094,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-025,0,0,0,0,0.4091252014040945,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-028,0,0,0,0,0.40802653878927253,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-029,0,0,0,0,0.5297180265188199,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-030,0,0,0,0,0.4199201241135595,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-031,0,0,0,0,0.41207712143659597,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-032,0,0,0,0,0.411256365478039,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-039,0,0,0,0,0.391160324215889,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-040,0,0,0,0,0.41957005858421353,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-043,0,0,0,0,0.50014179199934,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-044,0,0,0,0,0.41127741336822504,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
Bonham,MST2021-049,0,0,0,0,0.40691323578357697,0,0.602823607623575,0.03088080710546077,0.6176161421092154,0.6176161421092154
