smplNm,mcp_ddPCR,mcp_qPCR,sdmn_ddPCR,sdmn_qPCR,sdmx_ddPCR,sdmx_qPCR,smplTp,qlod,f2,mcp_ddPCR_lod,spcAbbr
MST1022,0,0,0,0,0,0,MST,1,1.057973195109696,0.2,Colper
MST1024,0,0,0,0,0.4992735385894775,0,MST,1,1.057973195109696,0.2,Colper
MST1027,0,0,0,0,0.51439020782709,0,MST,1,1.057973195109696,0.2,Colper
MST1028,0,0,0,0,0,0,MST,1,1.057973195109696,0.2,Colper
MST1031,0,0,0,0,0.48979904502630245,0,MST,1,1.057973195109696,0.2,Colper
MST1038,0,0,0,0,0.47765526920557,0,MST,1,1.057973195109696,0.2,Colper
MST1039,0.361734926700592,0,0.0980279687792065,0,0.9003996104002,0,MST,1,1.057973195109696,0.2,Colper
MST1043,0,0,0,0,0.531641468405725,0,MST,1,1.057973195109696,0.2,Colper
MST1054,0,0,0,0,0.4447586461901665,0,MST,1,1.057973195109696,0.2,Colper
MST2021-002,0,0,0,0,0.4965337365865705,0,MST,1,1.057973195109696,0.2,Colper
MST2021-005,0.398600921034813,0,0.108018182218075,0,0.992167741060255,0,MST,1,1.057973195109696,0.2,Colper
MST2021-006,0,0,0,0,0.48542939126491547,0,MST,1,1.057973195109696,0.2,Colper
MST2021-008,0,0,0,0,0.466558150947094,0,MST,1,1.057973195109696,0.2,Colper
MST2021-011,0,0,0,0,0.4676418751478195,0,MST,1,1.057973195109696,0.2,Colper
MST2021-012,0,0,0,0,0.501013062894345,0,MST,1,1.057973195109696,0.2,Colper
MST2021-013,0,0,0,0,0.5183301493525501,0,MST,1,1.057973195109696,0.2,Colper
MST2021-015,0,0,0,0,0.5237577483058,0,MST,1,1.057973195109696,0.2,Colper
MST2021-019,0,0,0,0,0.4369399696588515,0,MST,1,1.057973195109696,0.2,Colper
MST2021-025,0,0,0,0,0.617447160184385,0,MST,1,1.057973195109696,0.2,Colper
MST2021-028,0,0,0,0,0.6365802139043799,0,MST,1,1.057973195109696,0.2,Colper
MST2021-029,0,0,0,0,0.49069441854953755,0,MST,1,1.057973195109696,0.2,Colper
MST2021-030,0,0,0,0,0.494096502661705,0,MST,1,1.057973195109696,0.2,Colper
MST2021-031,0,0,0,0,0.50783757120371,0,MST,1,1.057973195109696,0.2,Colper
MST2021-032,0,0,0,0,0.505796186625955,0,MST,1,1.057973195109696,0.2,Colper
MST2021-039,0,0,0,0,0.53638659417629,0,MST,1,1.057973195109696,0.2,Colper
MST2021-040,0,0,0,0,0.52399631589651,0,MST,1,1.057973195109696,0.2,Colper
MST2021-043,0,0,0,0,0.49598328769207,0,MST,1,1.057973195109696,0.2,Colper
MST2021-044,0,0,0,0,0.65135769546032,0,MST,1,1.057973195109696,0.2,Colper
MST2021-049,0,0,0,0,0,0,MST,1,1.057973195109696,0.2,Colper
MST2021-051,0,0,0,0,0.5886086449027049,0,MST,1,1.057973195109696,0.2,Colper
