"","smplNm","sample","machine","value","spcNm","spA.smplN","cl.f.evl","eval.c1","vln","vlc","eDN.lv1","f2","dd.qlod","mcp_ddPCR_lod","eDN.lv1.l10"
"1","MST1022","Bonham_qPCR","qPCR",0,"Bonham","Bonham.MST1022","white","white",0,"qPCR",0,0.617616142109215,0.0308808071054608,0.602823607623575,NA
"2","MST1022","Calsap_qPCR","qPCR",0,"Calsap","Calsap.MST1022","yellow","yellow",0,"qPCR",0,0.63699006851343,0.0106165011418905,6.69409215450285,NA
"3","MST1022","Caraur_qPCR","qPCR",0,"Caraur","Caraur.MST1022","white","white",0,"qPCR",0,0.0225471728962503,0.0958446595718793,3.49066555500031,NA
"4","MST1022","Colper_qPCR","qPCR",0,"Colper","Colper.MST1022","white","white",0,"qPCR",0,1.0579731951097,0.0176328865851616,1.05264455080033,NA
"5","MST1022","Corcas_qPCR","qPCR",0,"Corcas","Corcas.MST1022","white","white",0,"qPCR",0,1.26214731581735,0.0420715771939118,0.360338948667049,NA
"6","MST1022","Cragig_qPCR","qPCR",0,"Cragig","Cragig.MST1022","white","white",0,"qPCR",0,0.819268298830287,0.0123110535560807,5.31343579292295,NA
"7","MST1022","Erisin_qPCR","qPCR",0,"Erisin","Erisin.MST1022","white","white",0,"qPCR",0,0.364685853592156,0.0548009373867898,1.68553620576858,NA
"8","MST1022","Hemsan_qPCR","qPCR",0,"Hemsan","Hemsan.MST1022","white","white",0,"qPCR",0,0.631671659618149,0.0105278609936358,0.322470888495446,NA
"9","MST1022","Hemtak_qPCR","qPCR",0,"Hemtak","Hemtak.MST1022","white","white",0,"qPCR",0,0.563037107717149,0.0281518553858574,5.6800436973572,NA
"10","MST1022","Homame_qPCR","qPCR",0,"Homame","Homame.MST1022","white","white",0,"qPCR",0,0.615627075262864,26.1693861679721,0.335798636078835,NA
"11","MST1022","Karmik_qPCR","qPCR",0,"Karmik","Karmik.MST1022","white","white",0,"qPCR",0,0.249514042078587,0.0499028084157174,0.409050658345222,NA
"12","MST1022","Mnelei_qPCR","qPCR",1.65193197866588,"Mnelei","Mnelei.MST1022","black","black",1.65193197866588,"qPCR",1.65193197866588,0.565945481842138,0.00943242469736896,1.45512744784355,0.423562380340233
"13","MST1022","Myaare_qPCR","qPCR",0,"Myaare","Myaare.MST1022","white","white",0,"qPCR",0,1.00471092350427,0.0167451820584044,5.1446944475174,NA
"14","MST1022","Oncmyk_qPCR","qPCR",0,"Oncmyk","Oncmyk.MST1022","white","white",0,"qPCR",0,0.483938046437317,0.0806563410728862,1.06313988566398,NA
"15","MST1022","Promin_qPCR","qPCR",0,"Promin","Promin.MST1022","white","white",0,"qPCR",0,0.558615680442301,0.01862052268141,0.560731440782545,NA
"16","MST1022","Psefar_qPCR","qPCR",2864.10158396109,"Psefar","Psefar.MST1022","black","black",2864.10158396109,"qPCR",2864.10158396109,0.548095136203483,0.0274047568101742,7.0030003786087,3.45714002475773
"17","MST1022","Psever_qPCR","qPCR",0,"Psever","Psever.MST1022","yellow","yellow",0,"qPCR",0,0.697051909649079,0.0232350636549693,0.447889193892479,NA
"18","MST1022","Bonham_ddPCR","ddPCR",0,"Bonham","Bonham.MST1022","white","white",0,"ddPCR",0,0.617616142109215,0.0308808071054608,0.602823607623575,NA
"19","MST1022","Calsap_ddPCR","ddPCR",0,"Calsap","Calsap.MST1022","yellow","white",0,"ddPCR",0,0.63699006851343,0.0106165011418905,6.69409215450285,NA
"20","MST1022","Caraur_ddPCR","ddPCR",0,"Caraur","Caraur.MST1022","white","white",0,"ddPCR",0,0.0225471728962503,0.0958446595718793,3.49066555500031,NA
"21","MST1022","Colper_ddPCR","ddPCR",0,"Colper","Colper.MST1022","white","white",0,"ddPCR",0,1.0579731951097,0.0176328865851616,1.05264455080033,NA
"22","MST1022","Corcas_ddPCR","ddPCR",0,"Corcas","Corcas.MST1022","white","white",0,"ddPCR",0,1.26214731581735,0.0420715771939118,0.360338948667049,NA
"23","MST1022","Cragig_ddPCR","ddPCR",0,"Cragig","Cragig.MST1022","white","white",0,"ddPCR",0,0.819268298830287,0.0123110535560807,5.31343579292295,NA
"24","MST1022","Erisin_ddPCR","ddPCR",0.336547903716564,"Erisin","Erisin.MST1022","white","black",0.336547903716564,"ddPCR",0.336547903716564,0.364685853592156,0.0548009373867898,1.68553620576858,0.125984529083528
"25","MST1022","Hemsan_ddPCR","ddPCR",0,"Hemsan","Hemsan.MST1022","white","white",0,"ddPCR",0,0.631671659618149,0.0105278609936358,0.322470888495446,NA
"26","MST1022","Hemtak_ddPCR","ddPCR",0,"Hemtak","Hemtak.MST1022","white","white",0,"ddPCR",0,0.563037107717149,0.0281518553858574,5.6800436973572,NA
"27","MST1022","Homame_ddPCR","ddPCR",0,"Homame","Homame.MST1022","white","white",0,"ddPCR",0,0.615627075262864,26.1693861679721,0.335798636078835,NA
"28","MST1022","Karmik_ddPCR","ddPCR",0,"Karmik","Karmik.MST1022","white","white",0,"ddPCR",0,0.249514042078587,0.0499028084157174,0.409050658345222,NA
"29","MST1022","Mnelei_ddPCR","ddPCR",1.40787899494171,"Mnelei","Mnelei.MST1022","black","black",1.40787899494171,"ddPCR",1.40787899494171,0.565945481842138,0.00943242469736896,1.45512744784355,0.381634658188137
"30","MST1022","Myaare_ddPCR","ddPCR",0,"Myaare","Myaare.MST1022","white","white",0,"ddPCR",0,1.00471092350427,0.0167451820584044,5.1446944475174,NA
"31","MST1022","Oncmyk_ddPCR","ddPCR",0,"Oncmyk","Oncmyk.MST1022","white","white",0,"ddPCR",0,0.483938046437317,0.0806563410728862,1.06313988566398,NA
"32","MST1022","Promin_ddPCR","ddPCR",0,"Promin","Promin.MST1022","white","white",0,"ddPCR",0,0.558615680442301,0.01862052268141,0.560731440782545,NA
"33","MST1022","Psefar_ddPCR","ddPCR",6141.6162109375,"Psefar","Psefar.MST1022","black","black",6141.6162109375,"ddPCR",6141.6162109375,0.548095136203483,0.0274047568101742,7.0030003786087,3.78835338156099
"34","MST1022","Psever_ddPCR","ddPCR",0.292080398648978,"Psever","Psever.MST1022","yellow","black",0.292080398648978,"ddPCR",0.292080398648978,0.697051909649079,0.0232350636549693,0.447889193892479,0.111289538119785
"35","MST1024","Bonham_qPCR","qPCR",0,"Bonham","Bonham.MST1024","white","white",0,"qPCR",0,0.617616142109215,0.0308808071054608,0.602823607623575,NA
"36","MST1024","Calsap_qPCR","qPCR",0,"Calsap","Calsap.MST1024","white","white",0,"qPCR",0,0.63699006851343,0.0106165011418905,6.69409215450285,NA
"37","MST1024","Caraur_qPCR","qPCR",0,"Caraur","Caraur.MST1024","white","white",0,"qPCR",0,0.0225471728962503,0.0958446595718793,3.49066555500031,NA
"38","MST1024","Colper_qPCR","qPCR",0,"Colper","Colper.MST1024","white","white",0,"qPCR",0,1.0579731951097,0.0176328865851616,1.05264455080033,NA
"39","MST1024","Corcas_qPCR","qPCR",0,"Corcas","Corcas.MST1024","white","white",0,"qPCR",0,1.26214731581735,0.0420715771939118,0.360338948667049,NA
"40","MST1024","Cragig_qPCR","qPCR",0,"Cragig","Cragig.MST1024","white","white",0,"qPCR",0,0.819268298830287,0.0123110535560807,5.31343579292295,NA
"41","MST1024","Erisin_qPCR","qPCR",0,"Erisin","Erisin.MST1024","white","white",0,"qPCR",0,0.364685853592156,0.0548009373867898,1.68553620576858,NA
"42","MST1024","Hemsan_qPCR","qPCR",0,"Hemsan","Hemsan.MST1024","white","white",0,"qPCR",0,0.631671659618149,0.0105278609936358,0.322470888495446,NA
"43","MST1024","Hemtak_qPCR","qPCR",0,"Hemtak","Hemtak.MST1024","white","white",0,"qPCR",0,0.563037107717149,0.0281518553858574,5.6800436973572,NA
"44","MST1024","Homame_qPCR","qPCR",0,"Homame","Homame.MST1024","white","white",0,"qPCR",0,0.615627075262864,26.1693861679721,0.335798636078835,NA
"45","MST1024","Karmik_qPCR","qPCR",0,"Karmik","Karmik.MST1024","white","white",0,"qPCR",0,0.249514042078587,0.0499028084157174,0.409050658345222,NA
"46","MST1024","Mnelei_qPCR","qPCR",0,"Mnelei","Mnelei.MST1024","white","white",0,"qPCR",0,0.565945481842138,0.00943242469736896,1.45512744784355,NA
"47","MST1024","Myaare_qPCR","qPCR",0,"Myaare","Myaare.MST1024","white","white",0,"qPCR",0,1.00471092350427,0.0167451820584044,5.1446944475174,NA
"48","MST1024","Oncmyk_qPCR","qPCR",0,"Oncmyk","Oncmyk.MST1024","white","white",0,"qPCR",0,0.483938046437317,0.0806563410728862,1.06313988566398,NA
"49","MST1024","Promin_qPCR","qPCR",0,"Promin","Promin.MST1024","white","white",0,"qPCR",0,0.558615680442301,0.01862052268141,0.560731440782545,NA
"50","MST1024","Psefar_qPCR","qPCR",1.49386374345238,"Psefar","Psefar.MST1024","black","black",1.49386374345238,"qPCR",1.49386374345238,0.548095136203483,0.0274047568101742,7.0030003786087,0.396872721362532
"51","MST1024","Psever_qPCR","qPCR",71.2077250812625,"Psever","Psever.MST1024","black","black",71.2077250812625,"qPCR",71.2077250812625,0.697051909649079,0.0232350636549693,0.447889193892479,1.85858366267621
"52","MST1024","Bonham_ddPCR","ddPCR",0,"Bonham","Bonham.MST1024","white","white",0,"ddPCR",0,0.617616142109215,0.0308808071054608,0.602823607623575,NA
"53","MST1024","Calsap_ddPCR","ddPCR",0,"Calsap","Calsap.MST1024","white","white",0,"ddPCR",0,0.63699006851343,0.0106165011418905,6.69409215450285,NA
"54","MST1024","Caraur_ddPCR","ddPCR",0,"Caraur","Caraur.MST1024","white","white",0,"ddPCR",0,0.0225471728962503,0.0958446595718793,3.49066555500031,NA
"55","MST1024","Colper_ddPCR","ddPCR",0,"Colper","Colper.MST1024","white","white",0,"ddPCR",0,1.0579731951097,0.0176328865851616,1.05264455080033,NA
