"","spcAbbr","(Intercept)","log10(ddPCR)","r.squared","adj.r.squared","p.value"
"1","Bonham","-0.854",NA,NA,NA,NA
"2","Colper","-1.098",NA,NA,NA,NA
"3","Cragig","-0.461",NA,NA,NA,NA
"4","Karmik","-0.111","0.979","0.99","0.989",2.53362502022852e-13
"5","Mnelei","-0.125","1.017","0.982","0.981",1.46390992808171e-28
"6","Myaare","-0.401","1.079","0.907","0.901",1.1440744496344e-09
"7","Oncmyk","1.121",NA,NA,NA,NA
"8","Promin","-0.755","1.075","0.973","0.971",1.00374574545884e-14
"9","Psefar","-0.481","0.978","0.975","0.974",4.91499707131323e-24
"10","Psever","-0.395","1.088","0.74","0.717",0.000159847974925021
