"C_bin","q98_bin","q2_bin","C_nor","q98_nor","q2_nor","Species","diff"
0.03,1.35,-1.54,0.57,2.37,-1.25,"Colper",0.73
0.03,1.31,-1.44,0.58,2.33,-1.2,"Colper",0.78
0.02,1.35,-1.54,0.56,2.32,-1.23,"Colper",0.66
0.03,1.32,-1.47,0.56,2.33,-1.27,"Colper",0.81
0.03,1.34,-1.47,0.55,2.31,-1.21,"Colper",0.71
0.03,1.34,-1.5,0.55,2.35,-1.25,"Colper",0.76
0.03,1.32,-1.48,0.55,2.36,-1.21,"Colper",0.77
0.02,1.33,-1.51,0.56,2.39,-1.28,"Colper",0.83
0.04,1.32,-1.48,0.57,2.37,-1.26,"Colper",0.83
0.03,1.34,-1.49,0.57,2.34,-1.19,"Colper",0.7
0.04,1.3,-1.44,0.56,2.38,-1.27,"Colper",0.91
0.03,1.33,-1.49,0.56,2.31,-1.16,"Colper",0.649999999999999
0.03,1.36,-1.5,0.56,2.33,-1.24,"Colper",0.71
0.04,1.34,-1.47,0.56,2.33,-1.21,"Colper",0.73
0.03,1.35,-1.5,0.55,2.31,-1.22,"Colper",0.68
0.03,1.3,-1.5,0.56,2.35,-1.24,"Colper",0.79
0.03,1.31,-1.51,0.56,2.28,-1.21,"Colper",0.669999999999999
0.03,1.3,-1.51,0.55,2.3,-1.21,"Colper",0.7
0.03,1.35,-1.5,0.56,2.32,-1.23,"Colper",0.7
0.04,1.31,-1.46,0.56,2.33,-1.21,"Colper",0.77
0.04,1.35,-1.47,0.57,2.29,-1.2,"Colper",0.67
0.04,1.34,-1.5,0.56,2.34,-1.18,"Colper",0.68
0.03,1.31,-1.49,0.55,2.32,-1.24,"Colper",0.76
0.03,1.35,-1.54,0.56,2.37,-1.25,"Colper",0.73
0.04,1.31,-1.47,0.56,2.35,-1.25,"Colper",0.82
0.04,1.35,-1.55,0.57,2.34,-1.2,"Colper",0.64
0.03,1.35,-1.49,0.55,2.33,-1.22,"Colper",0.71
0.02,1.34,-1.5,0.56,2.31,-1.24,"Colper",0.71
0.03,1.33,-1.51,0.56,2.38,-1.23,"Colper",0.77
0.03,1.32,-1.48,0.56,2.39,-1.25,"Colper",0.84
0.04,1.34,-1.5,0.56,2.36,-1.25,"Colper",0.77
0.03,1.32,-1.53,0.57,2.31,-1.2,"Colper",0.66
0.5,1.6,-0.86,-0.4,1.39,-2.15,"Colper",1.08
0.03,1.34,-1.53,0.56,2.34,-1.22,"Colper",0.69
0.02,1.34,-1.5,0.56,2.27,-1.18,"Colper",0.61
0.03,1.32,-1.49,0.56,2.37,-1.25,"Colper",0.81
0.5,1.63,-0.89,-0.39,1.36,-2.16,"Colper",1
0.02,1.35,-1.57,0.55,2.3,-1.23,"Colper",0.61
0.03,1.35,-1.48,0.55,2.33,-1.24,"Colper",0.74
0.04,1.33,-1.45,0.55,2.33,-1.27,"Colper",0.82
0.04,1.35,-1.45,0.55,2.33,-1.25,"Colper",0.78
0.03,1.3,-1.41,0.56,2.32,-1.22,"Colper",0.83
0.03,1.32,-1.48,0.56,2.35,-1.23,"Colper",0.78
0.03,1.31,-1.5,0.56,2.28,-1.19,"Colper",0.66
0.02,1.31,-1.49,0.57,2.37,-1.27,"Colper",0.84
0.03,1.3,-1.42,0.55,2.34,-1.24,"Colper",0.86
0.03,1.34,-1.51,0.56,2.36,-1.25,"Colper",0.76
0.03,1.35,-1.53,0.55,2.35,-1.25,"Colper",0.72
0,1.41,-1.54,0.62,2.38,-1.12,"Cragig",0.55
0.02,1.4,-1.51,0.63,2.39,-1.15,"Cragig",0.63
0.02,1.41,-1.52,0.63,2.41,-1.13,"Cragig",0.61
0.01,1.4,-1.54,0.63,2.41,-1.16,"Cragig",0.63
0.02,1.38,-1.53,0.63,2.39,-1.14,"Cragig",0.62
0.02,1.38,-1.52,0.62,2.42,-1.15,"Cragig",0.67
0.01,1.39,-1.56,0.63,2.41,-1.15,"Cragig",0.61
0.02,1.38,-1.53,0.63,2.38,-1.16,"Cragig",0.63
0.01,1.37,-1.5,0.64,2.46,-1.2,"Cragig",0.79
0,1.36,-1.51,0.63,2.39,-1.14,"Cragig",0.66
0.02,1.34,-1.45,0.62,2.43,-1.19,"Cragig",0.83
0.01,1.36,-1.49,0.62,2.39,-1.13,"Cragig",0.67
0.01,1.36,-1.5,0.63,2.37,-1.13,"Cragig",0.64
0.02,1.4,-1.49,0.64,2.42,-1.16,"Cragig",0.69
0.01,1.35,-1.5,0.63,2.42,-1.17,"Cragig",0.74
0.01,1.36,-1.53,0.63,2.42,-1.16,"Cragig",0.69
0.02,1.38,-1.5,0.64,2.43,-1.12,"Cragig",0.67
0.01,1.38,-1.52,0.64,2.41,-1.12,"Cragig",0.63
0.01,1.36,-1.5,0.63,2.42,-1.14,"Cragig",0.699999999999999
0.02,1.38,-1.52,0.63,2.4,-1.19,"Cragig",0.69
0.01,1.41,-1.54,0.63,2.41,-1.19,"Cragig",0.65
0.01,1.35,-1.52,0.63,2.39,-1.14,"Cragig",0.66
0.02,1.35,-1.49,0.62,2.43,-1.17,"Cragig",0.76
0.01,1.34,-1.53,0.63,2.41,-1.11,"Cragig",0.65
0.01,1.39,-1.51,0.64,2.39,-1.12,"Cragig",0.61
0.01,1.35,-1.5,0.63,2.37,-1.13,"Cragig",0.65
0.01,1.38,-1.5,0.63,2.41,-1.13,"Cragig",0.66
0.01,1.39,-1.49,0.63,2.41,-1.14,"Cragig",0.67
0.92,2.11,-0.58,-1.97,-0.21,-3.74,"Cragig",0.84
0.01,1.38,-1.53,0.63,2.44,-1.19,"Cragig",0.72
0.01,1.39,-1.55,0.63,2.39,-1.18,"Cragig",0.63
0.02,1.42,-1.56,0.64,2.4,-1.15,"Cragig",0.57
0.01,1.34,-1.49,0.62,2.41,-1.15,"Cragig",0.73
0.02,1.37,-1.48,0.64,2.43,-1.16,"Cragig",0.74
0.01,1.38,-1.54,0.64,2.41,-1.16,"Cragig",0.65
0.01,1.36,-1.48,0.63,2.45,-1.18,"Cragig",0.79
0.02,1.39,-1.51,0.64,2.4,-1.14,"Cragig",0.64
0.01,1.36,-1.5,0.62,2.36,-1.12,"Cragig",0.62
0.01,1.38,-1.51,0.62,2.37,-1.14,"Cragig",0.62
0.01,1.38,-1.5,0.63,2.4,-1.19,"Cragig",0.71
0.02,1.38,-1.5,0.63,2.4,-1.13,"Cragig",0.65
0.01,1.37,-1.48,0.63,2.37,-1.13,"Cragig",0.65
0.02,1.38,-1.51,0.63,2.41,-1.11,"Cragig",0.630000000000001
0.01,1.38,-1.54,0.63,2.4,-1.17,"Cragig",0.65
0.02,1.34,-1.48,0.63,2.37,-1.17,"Cragig",0.72
0.01,1.36,-1.51,0.64,2.45,-1.17,"Cragig",0.75
0.01,1.39,-1.53,0.63,2.39,-1.12,"Cragig",0.59
0.02,1.37,-1.49,0.63,2.4,-1.14,"Cragig",0.68
