"C_bin","q98_bin","q2_bin","C_nor","q98_nor","q2_nor","Species","diff"
-0.35,1.29,-1.55,0.04,1.67,-1.6,"Psefar",0.43
-0.24,1.2,-2.38,-0.94,0.78,-2.64,"Psefar",-0.16
-0.24,1.22,-2.42,-0.93,0.75,-2.66,"Psefar",-0.23
-0.33,1.11,-2.49,-1,0.65,-2.66,"Psefar",-0.29
1.05,2.92,-1.76,-0.32,1.37,-2,"Psefar",-1.31
1.3,3.24,-1.69,-0.22,1.43,-1.88,"Psefar",-1.62
-0.57,0.79,-2.7,-1.16,0.53,-2.79,"Psefar",-0.17
1.59,3.59,-1.54,-0.11,1.58,-1.82,"Psefar",-1.73
-0.7,1.52,-2.14,-0.11,1.57,-1.78,"Psefar",-0.31
-0.07,1.45,-2.27,-0.82,0.9,-2.51,"Psefar",-0.31
0.25,4.46,-3.35,2.24,3.98,0.51,"Psefar",-4.34
-0.32,1.09,-2.45,-0.99,0.64,-2.64,"Psefar",-0.26
-0.38,1.03,-2.54,-1.03,0.62,-2.73,"Psefar",-0.22
0.02,1.55,-2.25,-0.77,0.92,-2.47,"Psefar",-0.41
-0.36,1.27,-1.57,0.02,1.7,-1.65,"Psefar",0.51
0.26,4.44,-3.32,2.24,3.94,0.52,"Psefar",-4.34
-0.22,3,-2.72,1.04,2.72,-0.69,"Psefar",-2.31
1.6,3.73,-1.51,-0.08,1.6,-1.81,"Psefar",-1.83
0.24,4.5,-3.36,2.23,3.95,0.48,"Psefar",-4.39
0,1.56,-2.27,-0.78,0.89,-2.47,"Psefar",-0.47
0.25,4.44,-3.33,2.23,3.93,0.51,"Psefar",-4.35
0.25,4.46,-3.39,2.23,3.99,0.46,"Psefar",-4.32
0.18,1.81,-2.16,-0.68,1.01,-2.38,"Psefar",-0.580000000000001
0.73,2.54,-1.9,-0.43,1.29,-2.13,"Psefar",-1.02
0.25,4.42,-3.31,2.23,3.97,0.49,"Psefar",-4.25
0.41,2.09,-2.01,-0.56,1.09,-2.21,"Psefar",-0.8
-0.36,1.28,-1.56,0.05,1.71,-1.64,"Psefar",0.51
0.1,1.68,-2.23,-0.73,0.96,-2.41,"Psefar",-0.54
-0.37,1.06,-2.5,-1.02,0.61,-2.68,"Psefar",-0.27
0.24,4.44,-3.35,2.24,4,0.45,"Psefar",-4.24
-0.26,1.17,-2.46,-0.93,0.73,-2.6,"Psefar",-0.3
0.25,4.46,-3.31,2.23,3.94,0.49,"Psefar",-4.32
