"","C","Species","prob_q","prob_dd","delta"
"1",-3,"Bonham",0.0268571187848096,0.257309454697314,0.230452335912505
"2",-2.9,"Bonham",0.0312193537501431,0.273090250573869,0.241870896823726
"3",-2.8,"Bonham",0.0362637163746483,0.289461671326504,0.253197954951855
"4",-2.7,"Bonham",0.0420877279156188,0.306400847441556,0.264313119525937
"5",-2.6,"Bonham",0.0487997229988,0.323879452165739,0.275079729166939
"6",-2.5,"Bonham",0.056518965979621,0.341863684951982,0.285344718972361
"7",-2.4,"Bonham",0.0653753334255726,0.360314358973398,0.294939025547826
"8",-2.3,"Bonham",0.0755084039405352,0.379187099406175,0.30367869546564
"9",-2.2,"Bonham",0.0870657724402712,0.39843265576623,0.311366883325958
"10",-2.1,"Bonham",0.100200390191011,0.417997327665828,0.317796937474817
"11",-2,"Bonham",0.11506673204555,0.437823499114202,0.322756767068652
"12",-1.9,"Bonham",0.131815618113195,0.457850272143299,0.326034654030104
"13",-1.8,"Bonham",0.150587579745844,0.478014186347527,0.327426606601683
"14",-1.7,"Bonham",0.171504769975401,0.498250007145798,0.326745237170397
"15",-1.6,"Bonham",0.194661583591578,0.518491562453704,0.323829978862126
"16",-1.5,"Bonham",0.220114370999274,0.538672605206508,0.318558234207234
"17",-1.4,"Bonham",0.24787088856043,0.558727677957676,0.310856789397246
"18",-1.3,"Bonham",0.277880394150643,0.578592955679522,0.300712561528879
"19",-1.2,"Bonham",0.310025518872388,0.598207043919399,0.288181525047012
"20",-1.1,"Bonham",0.344117158792186,0.617511711543224,0.273394552751038
"21",-1,"Bonham",0.37989356765691,0.636452540281566,0.256558972624656
"22",-0.9,"Bonham",0.417024545798801,0.654979476977099,0.237954931178299
"23",-0.8,"Bonham",0.45512110762642,0.673047278571875,0.217926170945455
"24",-0.7,"Bonham",0.49375032550049,0.690615844208296,0.196865518707806
"25",-0.6,"Bonham",0.532454306387319,0.707650433094151,0.175196126706832
"26",-0.5,"Bonham",0.570771611894492,0.724121770770819,0.153350158876327
"27",-0.4,"Bonham",0.608259030746514,0.740006049937193,0.131747019190679
"28",-0.3,"Bonham",0.644511553706295,0.755284834883682,0.110773281177387
"29",-0.2,"Bonham",0.679178699175393,0.769944880799786,0.090766181624393
"30",-0.0999999999999996,"Bonham",0.711975919412794,0.783977880708186,0.0720019612953926
"31",0,"Bonham",0.742690545302686,0.79738015356887,0.0546896082661839
"32",0.1,"Bonham",0.771182445555817,0.810152287248522,0.0389698416927052
"33",0.2,"Bonham",0.79738015356887,0.822298749651373,0.0249185960825036
"34",0.3,"Bonham",0.82127357634115,0.833827480463206,0.0125539041220568
"35",0.4,"Bonham",0.842904531114547,0.844749474782534,0.00184494366798638
"36",0.5,"Bonham",0.862356292398504,0.855078368512177,-0.00727792388632664
"37",0.6,"Bonham",0.879743137532249,0.864830033862229,-0.0149131036700207
"38",0.7,"Bonham",0.895200620587176,0.874022191759706,-0.0211784288274692
"39",0.8,"Bonham",0.908877038985144,0.882674046443343,-0.0262029925418011
"40",0.9,"Bonham",0.92092632313016,0.890805946099116,-0.0301203770310442
"41",1,"Bonham",0.931502396275674,0.898439072102363,-0.0330633241733106
"42",1.1,"Bonham",0.940754924417734,0.905595158299716,-0.0351597661180186
"43",1.2,"Bonham",0.948826299082908,0.912296240800086,-0.0365300582828227
"44",1.3,"Bonham",0.955849659441635,0.918564437949751,-0.0372852214918843
"45",1.4,"Bonham",0.961947752929008,0.924421759535392,-0.0375259933936157
"46",1.5,"Bonham",0.967232445157812,0.929889943778582,-0.0373425013792297
"47",1.6,"Bonham",0.971804712029857,0.934990320339822,-0.0368143916900354
"48",1.7,"Bonham",0.975754973509772,0.939743697322093,-0.0360112761876787
"49",1.8,"Bonham",0.97916365548132,0.944170270134818,-0.0349933853465018
"50",1.9,"Bonham",0.982101891055903,0.948289550031356,-0.033812341024547
"51",2,"Bonham",0.984632294434724,0.952120310150081,-0.0325119842846434
"52",2.1,"Bonham",0.986809758529225,0.955680546955694,-0.0311292115735308
"53",2.2,"Bonham",0.988682242098908,0.958987455080624,-0.0296947870182832
"54",2.3,"Bonham",0.990291523518526,0.962057413694821,-0.028234109823705
"55",2.4,"Bonham",0.991673906901566,0.964905982676697,-0.0267679242248694
"56",2.5,"Bonham",0.992860872670355,0.967547907010757,-0.0253129656595985
"57",2.6,"Bonham",0.99387966923142,0.96999712799258,-0.0238825412388399
"58",2.7,"Bonham",0.994753845588332,0.972266799974716,-0.0224870456136158
"59",2.8,"Bonham",0.995503726839059,0.97436931153428,-0.021134415304779
"60",2.9,"Bonham",0.996146835833235,0.976316310082225,-0.0198305257510104
"61",3,"Bonham",0.996698265021912,0.978118729063869,-0.0185795359580431
"62",3.1,"Bonham",0.997171002884527,0.979786817019329,-0.0173841858651975
"63",3.2,"Bonham",0.997576219391026,0.981330167880692,-0.0162460515103338
"64",3.3,"Bonham",0.997923514845148,0.982757751980114,-0.0151657628650341
"65",3.4,"Bonham",0.998221136226214,0.984077947329706,-0.0141431888965081
