"C_bin","q98_bin","q2_bin","C_nor","q98_nor","q2_nor","Species","diff"
-0.33,0.51,-1.64,0.82,2.62,-1.02,"Karmik",1.49
-0.33,0.51,-1.65,0.83,2.59,-0.93,"Karmik",1.36
-0.32,0.52,-1.65,0.83,2.65,-0.97,"Karmik",1.45
-0.32,0.5,-1.56,0.82,2.66,-1.01,"Karmik",1.61
-0.33,0.5,-1.61,0.81,2.62,-0.98,"Karmik",1.49
-0.32,0.51,-1.59,0.82,2.62,-1,"Karmik",1.52
-0.32,0.51,-1.62,0.81,2.62,-0.99,"Karmik",1.48
-0.32,0.5,-1.63,0.82,2.64,-1,"Karmik",1.51
0.36,0.83,-0.19,0.04,1.86,-1.77,"Karmik",2.61
-0.31,0.5,-1.63,0.82,2.65,-0.99,"Karmik",1.51
-0.31,0.5,-1.62,0.82,2.65,-1,"Karmik",1.53
-0.31,0.51,-1.63,0.83,2.6,-0.96,"Karmik",1.42
-0.31,0.51,-1.6,0.84,2.65,-0.95,"Karmik",1.49
-0.32,0.5,-1.61,0.82,2.62,-1,"Karmik",1.51
-0.32,0.5,-1.64,0.83,2.61,-1,"Karmik",1.47
-0.33,0.51,-1.64,0.82,2.59,-0.97,"Karmik",1.41
-0.31,0.5,-1.57,0.82,2.66,-1.02,"Karmik",1.61
-0.31,0.51,-1.6,0.82,2.62,-0.99,"Karmik",1.5
-0.32,0.51,-1.64,0.82,2.63,-0.97,"Karmik",1.45
1.08,2.03,0.46,-1.07,0.74,-2.86,"Karmik",2.03
1.09,2.05,0.47,-0.94,0.85,-2.68,"Karmik",1.95
-0.31,0.51,-1.62,0.82,2.61,-1,"Karmik",1.48
1.05,1.96,0.45,-1.22,0.58,-2.99,"Karmik",2.06
-0.32,0.51,-1.58,0.82,2.67,-1,"Karmik",1.58
-0.32,0.52,-1.66,0.82,2.66,-1.01,"Karmik",1.49
1.12,2.12,0.48,-0.79,1,-2.56,"Karmik",1.92
-0.33,0.5,-1.62,0.83,2.61,-0.98,"Karmik",1.47
1.01,1.87,0.43,-1.51,0.29,-3.29,"Karmik",2.14
-0.32,0.5,-1.64,0.81,2.63,-1.03,"Karmik",1.52
-0.32,0.5,-1.6,0.81,2.59,-0.98,"Karmik",1.47
-0.32,0.51,-1.63,0.81,2.64,-1.02,"Karmik",1.52
-0.33,0.49,-1.64,0.81,2.64,-1.03,"Karmik",1.54
1.07,1.97,0.47,-1.04,0.74,-2.84,"Karmik",2.08
-0.31,0.5,-1.55,0.84,2.65,-0.94,"Karmik",1.54
1.1,2.08,0.46,-0.95,0.84,-2.76,"Karmik",1.98
-0.32,0.51,-1.56,0.82,2.63,-0.97,"Karmik",1.53
1.07,2.01,0.47,-1.07,0.77,-2.87,"Karmik",2.1
-0.32,0.5,-1.61,0.82,2.59,-1,"Karmik",1.48
-0.32,0.5,-1.61,0.84,2.66,-1.01,"Karmik",1.56
1.04,1.93,0.44,-1.37,0.46,-3.15,"Karmik",2.12
1.06,2.02,0.44,-1.23,0.54,-3,"Karmik",1.96
1.09,2.05,0.47,-0.96,0.84,-2.72,"Karmik",1.98
1.05,1.95,0.46,-1.23,0.56,-2.97,"Karmik",2.04
1.07,2.03,0.46,-1.12,0.71,-2.94,"Karmik",2.08
-0.32,0.51,-1.64,0.82,2.61,-0.97,"Karmik",1.43
-0.32,0.5,-1.59,0.82,2.64,-0.99,"Karmik",1.54
1.06,2,0.45,-1.21,0.58,-2.96,"Karmik",1.99
-0.31,0.49,-1.58,0.83,2.65,-1.02,"Karmik",1.6
0.64,1.37,-0.33,-0.94,0.77,-2.68,"Mnelei",1.75
-2.4,-1.68,-3.28,1.88,3.64,0.1,"Mnelei",1.94
0.24,0.93,-0.59,-1.18,0.55,-2.92,"Mnelei",1.95
0.48,1.19,-0.44,-1.03,0.63,-2.79,"Mnelei",1.79
-1.82,-1.18,-2.6,0.83,2.59,-0.91,"Mnelei",2.08
-2.41,-1.68,-3.28,1.9,3.65,0.13,"Mnelei",1.92
-2.41,-1.68,-3.3,1.88,3.65,0.09,"Mnelei",1.94
-2.41,-1.66,-3.3,1.88,3.62,0.13,"Mnelei",1.85
-2.41,-1.67,-3.27,1.89,3.66,0.14,"Mnelei",1.92
1.6,2.31,0.18,-0.58,1.16,-2.3,"Mnelei",1.33
-2.41,-1.67,-3.29,1.88,3.57,0.18,"Mnelei",1.77
2.31,2.9,0.42,-0.43,1.34,-2.18,"Mnelei",1.04
-2.4,-1.69,-3.26,1.88,3.63,0.09,"Mnelei",1.97
0.77,4.7,-1.22,0.04,1.72,-1.71,"Mnelei",-2.49
0.6,1.32,-0.38,-0.98,0.76,-2.68,"Mnelei",1.74
0.72,1.44,-0.25,-0.91,0.77,-2.59,"Mnelei",1.67
0.53,1.25,-0.38,-1.02,0.7,-2.75,"Mnelei",1.82
0.67,1.4,-0.34,-0.93,0.77,-2.65,"Mnelei",1.68
-2.41,-1.69,-3.32,1.88,3.62,0.09,"Mnelei",1.9
1.81,2.48,0.36,-0.53,1.19,-2.25,"Mnelei",1.32
1.83,2.5,0.35,-0.54,1.21,-2.25,"Mnelei",1.31
-2.41,-1.67,-3.28,1.89,3.59,0.11,"Mnelei",1.87
-1.24,-0.66,-1.92,-0.22,1.52,-1.97,"Mnelei",2.23
0.78,1.51,-0.25,-0.88,0.8,-2.59,"Mnelei",1.63
-2.41,-1.7,-3.29,1.89,3.69,0.1,"Mnelei",2
1.82,3.93,-0.95,-0.14,1.55,-1.89,"Mnelei",-1.44
0.28,0.98,-0.58,-1.16,0.56,-2.92,"Mnelei",1.92
-2.41,-1.67,-3.3,1.88,3.64,0.13,"Mnelei",1.88
1.26,2.01,0.01,-0.69,1.05,-2.41,"Mnelei",1.46
-2.4,-1.67,-3.3,1.88,3.63,0.15,"Mnelei",1.85
0.59,1.31,-0.37,-0.97,0.71,-2.66,"Mnelei",1.69
0.71,1.44,-0.29,-0.92,0.82,-2.63,"Mnelei",1.72
0.76,4.54,-1.19,0,1.74,-1.71,"Mnelei",-2.28
-1.25,-0.67,-1.92,0.08,1.82,-1.69,"Mnelei",2.26
-0.52,0.24,-1.26,0.02,1.73,-1.72,"Mnelei",1.95
0.46,1.19,-0.46,-1.04,0.65,-2.74,"Mnelei",1.74
2.99,3.41,0.62,-0.29,1.41,-2.04,"Mnelei",0.66
0.4,1.11,-0.5,-1.06,0.61,-2.75,"Mnelei",1.75
1.4,2.14,0.13,-0.65,1.07,-2.37,"Mnelei",1.43
-1.24,-0.66,-1.9,-0.25,1.47,-2,"Mnelei",2.23
2.82,3.26,0.7,-0.34,1.39,-2.09,"Mnelei",0.92
2.99,3.37,1.95,-0.3,1.42,-2.02,"Mnelei",2.02
-0.59,0.13,-1.32,0.1,1.83,-1.6,"Mnelei",1.98
2.32,2.9,0.53,-0.43,1.31,-2.18,"Mnelei",1.12
0.82,1.55,-0.23,-0.86,0.88,-2.57,"Mnelei",1.67
0.14,0.82,-0.69,-1.25,0.51,-2.95,"Mnelei",1.95
2.8,3.99,-0.82,-0.13,1.59,-1.86,"Mnelei",-1.36
-2.4,-1.68,-3.27,1.89,3.68,0.09,"Mnelei",2
