"C_bin","q98_bin","q2_bin","C_nor","q98_nor","q2_nor","Species","diff"
-0.05,1.29,-1.59,0.59,2.38,-1.22,"Bonham",0.72
-0.04,1.3,-1.59,0.6,2.4,-1.21,"Bonham",0.72
-0.03,1.28,-1.52,0.6,2.34,-1.15,"Bonham",0.69
-0.04,1.26,-1.55,0.59,2.37,-1.21,"Bonham",0.77
-0.05,1.28,-1.55,0.59,2.35,-1.2,"Bonham",0.72
-0.03,1.28,-1.49,0.6,2.41,-1.25,"Bonham",0.89
-0.05,1.31,-1.62,0.58,2.37,-1.2,"Bonham",0.64
-0.04,1.33,-1.56,0.59,2.39,-1.2,"Bonham",0.7
-0.04,1.27,-1.54,0.59,2.41,-1.21,"Bonham",0.81
-0.04,1.29,-1.56,0.6,2.4,-1.25,"Bonham",0.8
-0.04,1.25,-1.55,0.6,2.37,-1.16,"Bonham",0.73
-0.04,1.25,-1.53,0.59,2.37,-1.19,"Bonham",0.78
-0.04,1.27,-1.57,0.59,2.38,-1.2,"Bonham",0.74
-0.03,1.27,-1.49,0.6,2.4,-1.19,"Bonham",0.83
-0.04,1.28,-1.56,0.59,2.39,-1.18,"Bonham",0.73
-0.04,1.31,-1.57,0.6,2.44,-1.25,"Bonham",0.81
-0.04,1.27,-1.54,0.59,2.38,-1.2,"Bonham",0.77
-0.05,1.25,-1.54,0.59,2.36,-1.14,"Bonham",0.71
-0.04,1.25,-1.55,0.6,2.43,-1.22,"Bonham",0.850000000000001
-0.04,1.27,-1.52,0.6,2.37,-1.18,"Bonham",0.76
-0.04,1.29,-1.53,0.6,2.43,-1.23,"Bonham",0.84
-0.04,1.27,-1.58,0.6,2.34,-1.19,"Bonham",0.68
-0.04,1.27,-1.55,0.6,2.41,-1.17,"Bonham",0.76
-0.04,1.3,-1.57,0.6,2.39,-1.18,"Bonham",0.7
-0.04,1.26,-1.53,0.6,2.4,-1.17,"Bonham",0.78
-0.04,1.28,-1.56,0.6,2.39,-1.18,"Bonham",0.73
-0.04,1.25,-1.52,0.59,2.4,-1.22,"Bonham",0.85
-0.04,1.27,-1.51,0.59,2.43,-1.21,"Bonham",0.86
-0.04,1.28,-1.55,0.59,2.38,-1.22,"Bonham",0.77
-0.04,1.29,-1.55,0.6,2.37,-1.17,"Bonham",0.7
-0.05,1.3,-1.6,0.6,2.36,-1.17,"Bonham",0.629999999999999
-0.05,1.3,-1.58,0.6,2.43,-1.2,"Bonham",0.75
-0.03,1.31,-1.54,0.59,2.37,-1.19,"Bonham",0.71
-0.03,1.27,-1.55,0.6,2.38,-1.18,"Bonham",0.739999999999999
-0.04,1.28,-1.58,0.6,2.4,-1.19,"Bonham",0.73
-0.04,1.3,-1.58,0.59,2.42,-1.19,"Bonham",0.73
-0.04,1.29,-1.55,0.6,2.39,-1.21,"Bonham",0.76
0.4,1.55,-0.96,-0.27,1.52,-2.05,"Bonham",1.06
-0.04,1.28,-1.57,0.59,2.4,-1.23,"Bonham",0.78
-0.04,1.31,-1.56,0.6,2.41,-1.18,"Bonham",0.72
-0.04,1.28,-1.57,0.6,2.39,-1.2,"Bonham",0.74
-0.03,1.26,-1.51,0.59,2.37,-1.2,"Bonham",0.8
-0.04,1.26,-1.56,0.59,2.46,-1.26,"Bonham",0.899999999999999
-0.04,1.26,-1.52,0.59,2.33,-1.18,"Bonham",0.73
1.02,2.11,-0.3,-1.97,-0.14,-3.78,"Bonham",1.23
-0.04,1.34,-1.57,0.6,2.39,-1.17,"Bonham",0.65
-0.04,1.28,-1.55,0.59,2.43,-1.24,"Bonham",0.84
