"C_bin","q98_bin","q2_bin","C_nor","q98_nor","q2_nor","Species","diff"
0.73,2.84,-1.35,0.91,2.73,-0.9,"Myaare",-0.56
0.73,2.82,-1.36,0.91,2.69,-0.91,"Myaare",-0.58
0.12,1.81,-1.48,0.07,1.81,-1.71,"Myaare",0.23
0.75,2.84,-1.32,0.91,2.7,-0.89,"Myaare",-0.57
0.07,1.74,-1.47,0.01,1.8,-1.78,"Myaare",0.37
-0.98,1.31,-3.15,-1.28,0.45,-3.05,"Myaare",-0.96
-0.9,1.3,-3.07,-1.17,0.6,-2.93,"Myaare",-0.84
0.74,2.86,-1.31,0.91,2.77,-0.93,"Myaare",-0.47
0.74,2.83,-1.33,0.91,2.73,-0.9,"Myaare",-0.53
-1.08,1.22,-3.31,-1.4,0.37,-3.19,"Myaare",-0.97
-0.85,1.3,-3,-1.11,0.68,-2.88,"Myaare",-0.74
-1.15,1.21,-3.32,-1.49,0.31,-3.28,"Myaare",-0.94
-1.15,1.2,-3.32,-1.47,0.26,-3.22,"Myaare",-1.04
0.74,2.83,-1.32,0.91,2.69,-0.92,"Myaare",-0.54
-0.78,1.38,-2.92,-1,0.77,-2.79,"Myaare",-0.74
-0.78,1.39,-2.9,-1.04,0.72,-2.81,"Myaare",-0.76
-0.85,1.33,-3.02,-1.11,0.63,-2.82,"Myaare",-0.9
0.74,2.89,-1.3,0.92,2.73,-0.9,"Myaare",-0.56
0.73,2.83,-1.31,0.89,2.69,-0.93,"Myaare",-0.52
0.75,2.85,-1.29,0.9,2.67,-0.89,"Myaare",-0.580000000000001
0.74,2.87,-1.28,0.91,2.72,-0.92,"Myaare",-0.51
-1.05,1.23,-3.24,-1.35,0.36,-3.05,"Myaare",-1.06
0.75,2.88,-1.33,0.91,2.69,-0.9,"Myaare",-0.62
0.1,1.75,-1.47,0.07,1.84,-1.69,"Myaare",0.31
0.74,2.83,-1.31,0.9,2.7,-0.9,"Myaare",-0.54
0.74,2.85,-1.31,0.91,2.73,-0.94,"Myaare",-0.49
0.75,2.83,-1.29,0.9,2.73,-0.91,"Myaare",-0.48
0.74,2.85,-1.31,0.91,2.73,-0.92,"Myaare",-0.51
-0.63,1.4,-2.72,-0.8,0.95,-2.56,"Myaare",-0.61
-0.15,1.37,-1.95,-0.2,1.57,-1.94,"Myaare",0.19
-0.95,1.24,-3.08,-1.23,0.54,-2.98,"Myaare",-0.8
0.74,2.84,-1.35,0.92,2.77,-0.87,"Myaare",-0.549999999999999
0.74,2.85,-1.35,0.89,2.73,-0.95,"Myaare",-0.52
0.74,2.82,-1.27,0.91,2.76,-0.95,"Myaare",-0.38
0.74,2.84,-1.36,0.92,2.67,-0.92,"Myaare",-0.61
0.11,1.78,-1.48,0.07,1.83,-1.73,"Myaare",0.3
-0.76,1.33,-2.88,-0.99,0.72,-2.71,"Myaare",-0.78
0.74,2.82,-1.32,0.91,2.73,-0.93,"Myaare",-0.48
0.73,2.83,-1.36,0.91,2.72,-0.9,"Myaare",-0.57
-1.12,1.21,-3.34,-1.45,0.28,-3.18,"Myaare",-1.09
0.75,2.85,-1.3,0.91,2.65,-0.86,"Myaare",-0.640000000000001
0.75,2.92,-1.3,0.91,2.76,-0.92,"Myaare",-0.54
0.08,1.77,-1.5,0.05,1.8,-1.72,"Myaare",0.25
0.09,1.75,-1.5,0.03,1.82,-1.76,"Myaare",0.33
0.74,2.83,-1.31,0.91,2.75,-0.97,"Myaare",-0.420000000000001
0.09,1.75,-1.5,0.05,1.85,-1.77,"Myaare",0.37
0.74,2.86,-1.35,0.91,2.68,-0.9,"Myaare",-0.63
0.75,2.87,-1.31,0.91,2.73,-0.92,"Myaare",-0.53
-0.02,1.08,-1.51,0.57,2.34,-1.2,"Oncmyk",0.95
-0.02,1.11,-1.5,0.56,2.35,-1.22,"Oncmyk",0.96
-0.02,1.09,-1.53,0.57,2.35,-1.17,"Oncmyk",0.9
-0.01,1.08,-1.5,0.56,2.32,-1.2,"Oncmyk",0.94
-0.02,1.1,-1.55,0.58,2.3,-1.19,"Oncmyk",0.839999999999999
-0.01,1.11,-1.49,0.57,2.35,-1.2,"Oncmyk",0.95
1.16,1.83,0.47,-1.12,0.67,-2.91,"Oncmyk",2.22
-0.02,1.1,-1.52,0.55,2.34,-1.22,"Oncmyk",0.94
-0.01,1.11,-1.52,0.56,2.33,-1.2,"Oncmyk",0.9
-0.01,1.1,-1.5,0.57,2.34,-1.23,"Oncmyk",0.97
-0.01,1.08,-1.49,0.57,2.32,-1.17,"Oncmyk",0.919999999999999
-0.01,1.09,-1.5,0.57,2.31,-1.18,"Oncmyk",0.9
-0.01,1.09,-1.46,0.57,2.37,-1.22,"Oncmyk",1.04
-0.02,1.09,-1.54,0.56,2.35,-1.22,"Oncmyk",0.94
1.52,2.33,0.85,-1.62,0.15,-3.39,"Oncmyk",2.06
-0.02,1.09,-1.52,0.56,2.29,-1.2,"Oncmyk",0.88
0,1.09,-1.48,0.57,2.41,-1.22,"Oncmyk",1.06
-0.01,1.09,-1.53,0.56,2.34,-1.23,"Oncmyk",0.95
0,1.09,-1.48,0.55,2.31,-1.19,"Oncmyk",0.93
-0.02,1.1,-1.53,0.57,2.32,-1.2,"Oncmyk",0.89
-0.02,1.09,-1.47,0.57,2.33,-1.19,"Oncmyk",0.96
1.45,2.25,0.77,-2.15,-0.37,-3.93,"Oncmyk",2.08
-0.03,1.1,-1.54,0.56,2.32,-1.21,"Oncmyk",0.89
-0.01,1.09,-1.52,0.57,2.38,-1.25,"Oncmyk",1.02
-0.02,1.1,-1.5,0.56,2.31,-1.23,"Oncmyk",0.94
-0.02,1.1,-1.53,0.56,2.35,-1.23,"Oncmyk",0.95
-0.02,1.1,-1.53,0.56,2.31,-1.21,"Oncmyk",0.89
-0.02,1.1,-1.51,0.56,2.35,-1.24,"Oncmyk",0.98
-0.01,1.11,-1.53,0.57,2.34,-1.18,"Oncmyk",0.879999999999999
-0.01,1.1,-1.54,0.57,2.31,-1.17,"Oncmyk",0.84
-0.02,1.1,-1.49,0.56,2.35,-1.22,"Oncmyk",0.98
-0.01,1.09,-1.49,0.56,2.36,-1.25,"Oncmyk",1.03
-0.01,1.09,-1.49,0.57,2.34,-1.23,"Oncmyk",0.99
-0.01,1.1,-1.52,0.57,2.34,-1.18,"Oncmyk",0.899999999999999
-0.02,1.08,-1.5,0.57,2.3,-1.2,"Oncmyk",0.92
-0.01,1.11,-1.52,0.57,2.38,-1.22,"Oncmyk",0.97
-0.01,1.12,-1.5,0.57,2.34,-1.22,"Oncmyk",0.94
-0.01,1.11,-1.46,0.57,2.38,-1.22,"Oncmyk",1.03
-0.02,1.09,-1.49,0.57,2.29,-1.21,"Oncmyk",0.92
-0.01,1.09,-1.5,0.56,2.32,-1.2,"Oncmyk",0.93
-0.02,1.1,-1.52,0.57,2.35,-1.21,"Oncmyk",0.94
-0.01,1.09,-1.51,0.57,2.36,-1.25,"Oncmyk",1.01
-0.02,1.09,-1.51,0.57,2.31,-1.2,"Oncmyk",0.91
-0.01,1.1,-1.5,0.57,2.32,-1.29,"Oncmyk",1.01
-0.02,1.11,-1.51,0.57,2.32,-1.2,"Oncmyk",0.899999999999999
-0.01,1.08,-1.5,0.55,2.32,-1.26,"Oncmyk",1
-0.02,1.07,-1.51,0.56,2.34,-1.24,"Oncmyk",1
-0.02,1.09,-1.54,0.56,2.33,-1.2,"Oncmyk",0.9
-0.26,3.08,-2.85,1.11,2.93,-0.7,"Promin",-2.3
-0.25,3.06,-2.82,1.12,2.91,-0.68,"Promin",-2.29
-0.25,3.1,-2.85,1.11,2.96,-0.76,"Promin",-2.23
