Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Cragig
3580.563,201.8374,0
3730.755,241.8014,0
3452.049,279.854,0
3487.027,246.0385,0
3316.403,233.1636,0
3284.315,202.0225,0
3333.639,282.7489,0
3813.299,354.9335,0
3987.953,364.6123,0
3790.432,303.53,0
3581.693,276.9966,0
3910.944,340.2087,0
3625.62,307.8888,0
3810.201,313.2471,0
3352.539,289.4375,0
3756.227,373.4478,0
3215.416,183.6285,0
3501.968,323.2135,0
3427.918,364.4056,0
3778.227,336.9725,0
3440.983,318.2505,0
3711.673,338.8442,0
3760.519,384.0596,0
3384.258,237.9185,0
3558.613,270.8241,0
3701.475,337.9243,0
3573.701,243.8162,0
3490.685,222.2118,0
3808.203,352.2679,0
3927.156,333.8055,0
3296.712,248.2208,0
3688.814,162.4452,0
3277.318,298.9237,0
3278.172,333.4064,0
3512.625,234.0789,0
3588.238,331.3525,0
3837.656,304.842,0
3521.186,284.8445,0
3536.352,318.3451,0
3244.194,326.3197,0
3837.272,310.3218,0
3561.224,301.5911,0
3690.555,377.8323,0
3426.736,277.6802,0
3298.995,314.6903,0
3185.372,365.4772,0
3561.861,228.3992,0
3749.807,340.4603,0
3223.711,286.0015,0
3728.247,247.5188,0
3698.908,332.1552,0
3453.441,238.0865,0
3523.474,278.9048,0
3384.107,321.5852,0
3349.957,98.44897,0
3301.112,288.8804,0
3956.339,363.7468,0
3512.999,307.4082,0
3422.356,236.937,0
3397.954,327.6976,0
3471.217,340.6642,0
3196.032,363.1989,0
3492.972,309.9755,0
3612.908,299.2499,0
3389.567,215.8701,0
3529.362,289.2717,0
3387.342,285.428,0
3349.954,263.8541,0
3628.421,338.8979,0
3368.156,328.3165,0
3657.883,370.7782,0
3697.773,322.6879,0
3696.694,318.1339,0
3211.821,309.3661,0
3534.601,335.1232,0
3445.455,257.228,0
3565.617,266.3555,0
3687.18,311.6315,0
3318.463,285.7954,0
3402.183,238.7594,0
3571.622,348.6179,0
3526.757,344.3794,0
3453.729,314.7588,0
3097.478,308.7936,0
3822.803,319.0055,0
4064.159,320.4594,0
3655.649,314.1412,0
3553.728,308.5901,0
3915.803,245.6106,0
3372.016,286.3903,0
3510.317,289.6643,0
3506.269,284.5238,0
3527.241,314.4274,0
3420.211,259.9849,0
3902.421,310.2888,0
3420.736,379.9526,0
3477.829,284.1041,0
3520.672,267.7404,0
3873.212,273.7151,0
3768.664,264.4047,0
3475.835,248.6707,0
3589.41,304.2185,0
3756.03,371.6775,0
3663.45,323.1753,0
3531.421,368.4376,0
3375.951,242.4331,0
3471.381,374.5673,0
3450.284,221.7939,0
3908.617,306.9076,0
3336.474,233.4913,0
3308.569,237.271,0
3856.271,433.6912,0
3341.463,241.8409,0
3476.904,292.0653,0
3294.685,236.889,0
3437.739,326.2147,0
3900.543,344.8497,0
3385.087,308.8977,0
3588.781,449.7468,0
3224.222,325.6472,0
3530.294,191.8068,0
3312.698,262.1627,0
3334.351,275.3466,0
3904.951,276.1143,0
3680.239,254.8394,0
3264.663,278.2146,0
3315.423,289.1565,0
3903.95,294.6528,0
3782.502,356.5665,0
3645.022,302.4625,0
3650.132,276.08,0
3459.304,287.1667,0
3217.626,271.488,0
3385.849,341.3547,0
3745.485,286.7081,0
3474.921,356.8268,0
3334.762,431.0691,0
3832.429,319.298,0
3227.317,351.2938,0
3070.94,263.8649,0
3917.963,299.7443,0
3265.994,190.2926,0
3609.356,202.6129,0
3377.236,248.2268,0
3474.414,336.4012,0
3559.403,365.2982,0
3587.743,311.4248,0
3294.013,261.6346,0
3908.717,316.8158,0
3262.25,276.4812,0
3716.209,258.7347,0
3580.667,231.1239,0
3756.857,349.9358,0
3837.29,269.7604,0
3695.241,360.4558,0
3491.919,302.7415,0
4002.342,412.408,0
3445.593,327.1851,0
3792.237,240.8845,0
3364.966,287.1667,0
3471.309,232.5751,0
3512.35,240.7157,0
3912.345,369.7837,0
3119.278,268.379,0
4043.918,391.8438,0
3549.599,270.6199,0
3453.481,287.368,0
3632.178,181.2883,0
3760.404,274.2665,0
3795.416,311.9773,0
3500.683,327.7903,0
3489.846,321.712,0
3713.077,319.0452,0
3740.109,329.1367,0
3329.885,257.0229,0
3616.342,243.6874,0
3371.215,271.0045,0
3381.788,313.941,0
3535.399,340.0359,0
3960.67,285.0021,0
3679.443,307.4003,0
3530.069,247.9546,0
3463.375,223.1595,0
3659.799,318.2816,0
3482.253,350.3187,0
3177.424,273.9529,0
3629.185,296.8375,0
