Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Cragig
3394.332,276.6494,0
3483.598,223.0525,0
3204.171,191.6425,0
3634.536,263.2838,0
3683.606,368.1317,0
3760.093,306.3062,0
3722.821,309.1959,0
3715.063,345.6449,0
3166.995,239.6605,0
3649.652,334.8497,0
3391.797,256.3536,0
3410.381,244.1882,0
3333.895,260.3962,0
3423.658,314.9938,0
3777.606,286.0457,0
3394.968,286.0208,0
3694.692,260.8413,0
4008.386,387.6772,0
3571.438,261.1218,0
3884.345,266.8114,0
3571.65,323.7739,0
3555.271,267.4431,0
3857.552,265.8066,0
3476.608,302.7596,0
3282.67,214.8002,0
3290.019,291.4457,0
3331.833,227.0765,0
3677.337,213.7405,0
3361.44,327.6038,0
3410.579,295.4321,0
3242.754,310.0675,0
3386.948,289.9838,0
3669.83,295.6891,0
3693.008,246.825,0
3567.663,321.1484,0
3720.75,220.3989,0
3843.47,255.2266,0
3763.813,324.6494,0
3447.837,229.9763,0
3636.634,208.1924,0
3625.237,282.0774,0
3626.373,332.5437,0
3946.548,195.1245,0
3766.211,297.4834,0
3004.634,289.0002,0
4099.391,305.7157,0
3192.296,228.2269,0
3423.716,252.5868,0
3495.873,302.0927,0
3723.88,340.1956,0
3728.851,335.3162,0
3687.834,344.3789,0
3132.588,257.4796,0
3678.388,245.6904,0
3642.604,220.1647,0
3617.264,268.1353,0
3531.5,331.3531,0
3318.144,358.696,0
3525.995,342.9786,0
3436.139,356.6671,0
3714.799,392.2563,0
4069.74,250.4387,0
3624.59,281.3063,0
3324.139,338.2614,0
3358.25,327.988,0
3641.595,285.0634,0
3252.667,347.3988,0
3831.956,265.1,0
3809.747,368.5912,0
3609.82,400.1031,0
3324.672,191.6967,0
3609.375,243.0876,0
3599.94,306.074,0
3920.754,305.76,0
3844.102,269.4833,0
3824.614,379.3783,0
3730.103,230.9225,0
3964.484,239.3903,0
3684.356,273.25,0
3532.935,258.2987,0
3597.079,205.1797,0
3111.18,190.8441,0
3552.163,282.438,0
3332.394,309.5052,0
3642.107,282.4771,0
3404.061,268.3827,0
3539.533,277.8855,0
3729.646,263.0393,0
3882.754,237.1293,0
3722.741,288.6929,0
3401.011,290.3368,0
3681.629,313.4901,0
3156.185,300.4512,0
3583.706,197.4207,0
3640.99,235.4913,0
3595.057,317.9504,0
3557.415,325.9292,0
3253.831,264.7897,0
3795.353,291.3479,0
3485.889,296.515,0
3884.584,263.7936,0
3424.408,217.7328,0
3555.344,227.5342,0
3654.911,294.472,0
3409.941,301.8177,0
3544.579,214.1327,0
3805.927,204.4189,0
3707.327,308.6799,0
3574.158,202.4833,0
3630.281,327.4181,0
3507.81,308.0061,0
3688.97,291.7102,0
3597.332,405.0348,0
3479.303,261.6735,0
3441.521,283.1069,0
3227.29,199.7611,0
3621.578,297.5372,0
3751.953,263.1158,0
4037.732,374.0144,0
3824.045,289.7393,0
3405.847,259.6195,0
3582.953,275.3931,0
3036.823,261.2406,0
3357.275,353.397,0
3417.089,342.8933,0
3528.979,250.7773,0
3586.33,205.1425,0
