"C_bin","q98_bin","q2_bin","C_nor","q98_nor","q2_nor","Species","diff"
-0.03,1.3,-1.52,0.6,2.4,-1.2,"Bonham",0.779999999999999
-0.03,1.29,-1.51,0.59,2.36,-1.2,"Bonham",0.76
-0.04,1.3,-1.55,0.6,2.38,-1.21,"Bonham",0.74
-0.04,1.27,-1.54,0.59,2.39,-1.2,"Bonham",0.78
-0.04,1.3,-1.58,0.6,2.38,-1.19,"Bonham",0.69
-0.04,1.3,-1.53,0.6,2.4,-1.19,"Bonham",0.76
-0.03,1.31,-1.52,0.6,2.43,-1.25,"Bonham",0.85
-0.04,1.31,-1.59,0.6,2.41,-1.24,"Bonham",0.75
-0.03,1.28,-1.54,0.59,2.38,-1.19,"Bonham",0.75
-0.04,1.32,-1.55,0.6,2.38,-1.18,"Bonham",0.69
-0.04,1.29,-1.53,0.6,2.37,-1.19,"Bonham",0.74
-0.04,1.3,-1.54,0.6,2.36,-1.18,"Bonham",0.7
-0.04,1.28,-1.55,0.59,2.38,-1.23,"Bonham",0.78
-0.04,1.3,-1.55,0.6,2.34,-1.18,"Bonham",0.669999999999999
-0.04,1.3,-1.54,0.59,2.41,-1.24,"Bonham",0.81
-0.04,1.3,-1.6,0.59,2.39,-1.25,"Bonham",0.74
-0.04,1.26,-1.58,0.6,2.41,-1.18,"Bonham",0.75
-0.04,1.28,-1.59,0.59,2.36,-1.19,"Bonham",0.68
-0.03,1.25,-1.51,0.59,2.37,-1.2,"Bonham",0.81
-0.04,1.27,-1.53,0.61,2.4,-1.18,"Bonham",0.78
-0.03,1.29,-1.56,0.6,2.38,-1.22,"Bonham",0.75
-0.04,1.27,-1.55,0.59,2.38,-1.2,"Bonham",0.76
-0.03,1.29,-1.55,0.6,2.4,-1.2,"Bonham",0.76
-0.03,1.27,-1.5,0.6,2.38,-1.2,"Bonham",0.81
-0.04,1.31,-1.57,0.61,2.42,-1.23,"Bonham",0.77
-0.03,1.29,-1.53,0.6,2.41,-1.17,"Bonham",0.76
-0.03,1.3,-1.56,0.59,2.35,-1.2,"Bonham",0.69
-0.03,1.3,-1.57,0.59,2.44,-1.23,"Bonham",0.8
-0.03,1.32,-1.54,0.6,2.39,-1.19,"Bonham",0.72
-0.04,1.28,-1.56,0.59,2.4,-1.21,"Bonham",0.77
-0.04,1.3,-1.59,0.6,2.38,-1.18,"Bonham",0.669999999999999
-0.03,1.28,-1.53,0.59,2.43,-1.24,"Bonham",0.86
-0.02,1.33,-1.58,0.59,2.37,-1.19,"Bonham",0.65
-0.04,1.3,-1.56,0.6,2.45,-1.21,"Bonham",0.8
-0.04,1.29,-1.58,0.59,2.35,-1.2,"Bonham",0.68
-0.04,1.25,-1.53,0.6,2.39,-1.18,"Bonham",0.79
-0.03,1.28,-1.51,0.59,2.39,-1.2,"Bonham",0.8
0.39,1.54,-0.99,-0.27,1.48,-2.05,"Bonham",1
-0.03,1.31,-1.53,0.6,2.41,-1.18,"Bonham",0.75
-0.03,1.3,-1.53,0.59,2.38,-1.18,"Bonham",0.73
-0.04,1.29,-1.57,0.59,2.4,-1.22,"Bonham",0.76
-0.03,1.28,-1.54,0.59,2.37,-1.21,"Bonham",0.76
-0.03,1.29,-1.54,0.6,2.4,-1.19,"Bonham",0.76
-0.04,1.27,-1.55,0.59,2.35,-1.2,"Bonham",0.73
1.02,2.14,-0.35,-1.97,-0.19,-3.74,"Bonham",1.06
-0.04,1.32,-1.57,0.6,2.4,-1.19,"Bonham",0.7
-0.03,1.28,-1.52,0.6,2.41,-1.19,"Bonham",0.8
-0.03,1.29,-1.52,0.6,2.38,-1.19,"Bonham",0.76
0.44,1.57,-0.91,-0.37,1.43,-2.16,"Calsap",1.11
0.01,1.33,-1.54,0.58,2.35,-1.19,"Calsap",0.67
0.01,1.31,-1.47,0.58,2.4,-1.23,"Calsap",0.85
0.01,1.29,-1.49,0.57,2.36,-1.24,"Calsap",0.819999999999999
0.01,1.31,-1.52,0.59,2.36,-1.19,"Calsap",0.72
0.01,1.33,-1.48,0.58,2.36,-1.19,"Calsap",0.74
0.01,1.32,-1.51,0.58,2.38,-1.23,"Calsap",0.78
0.44,1.58,-0.97,-0.39,1.37,-2.12,"Calsap",0.94
0.01,1.37,-1.56,0.57,2.38,-1.21,"Calsap",0.66
0.01,1.31,-1.51,0.57,2.33,-1.2,"Calsap",0.71
0.01,1.31,-1.49,0.57,2.38,-1.24,"Calsap",0.82
0.01,1.34,-1.52,0.57,2.34,-1.22,"Calsap",0.699999999999999
0.01,1.34,-1.53,0.57,2.33,-1.21,"Calsap",0.67
0.01,1.27,-1.5,0.57,2.34,-1.22,"Calsap",0.79
0.01,1.29,-1.5,0.57,2.33,-1.18,"Calsap",0.72
0.01,1.3,-1.49,0.58,2.33,-1.21,"Calsap",0.75
0.01,1.31,-1.49,0.58,2.35,-1.2,"Calsap",0.75
0,1.34,-1.54,0.58,2.38,-1.24,"Calsap",0.74
0.01,1.32,-1.51,0.58,2.38,-1.22,"Calsap",0.77
0.01,1.35,-1.48,0.58,2.34,-1.18,"Calsap",0.69
0.02,1.33,-1.51,0.57,2.36,-1.18,"Calsap",0.7
0.01,1.32,-1.52,0.57,2.4,-1.25,"Calsap",0.81
0.01,1.32,-1.5,0.58,2.37,-1.2,"Calsap",0.75
0.01,1.33,-1.5,0.57,2.37,-1.23,"Calsap",0.77
0.47,1.6,-0.9,-0.32,1.45,-2.09,"Calsap",1.04
0,1.31,-1.54,0.57,2.31,-1.2,"Calsap",0.66
0.01,1.3,-1.52,0.58,2.38,-1.24,"Calsap",0.8
0.01,1.32,-1.5,0.58,2.39,-1.24,"Calsap",0.81
0,1.3,-1.53,0.58,2.35,-1.2,"Calsap",0.72
0.01,1.33,-1.5,0.58,2.36,-1.2,"Calsap",0.73
0.01,1.33,-1.5,0.57,2.38,-1.24,"Calsap",0.79
0.01,1.34,-1.5,0.58,2.36,-1.19,"Calsap",0.71
0.02,1.33,-1.49,0.58,2.37,-1.21,"Calsap",0.76
0.01,1.33,-1.53,0.57,2.34,-1.23,"Calsap",0.71
0.01,1.33,-1.48,0.58,2.39,-1.19,"Calsap",0.77
0.01,1.3,-1.52,0.58,2.36,-1.16,"Calsap",0.699999999999999
0.01,1.3,-1.5,0.56,2.34,-1.19,"Calsap",0.73
0.01,1.31,-1.51,0.57,2.38,-1.21,"Calsap",0.77
0.01,1.32,-1.49,0.58,2.35,-1.19,"Calsap",0.73
0.01,1.31,-1.48,0.57,2.32,-1.16,"Calsap",0.69
0.01,1.29,-1.51,0.57,2.36,-1.23,"Calsap",0.79
0.01,1.32,-1.47,0.57,2.38,-1.24,"Calsap",0.83
0.01,1.34,-1.55,0.58,2.36,-1.21,"Calsap",0.68
0.01,1.29,-1.5,0.59,2.39,-1.18,"Calsap",0.78
0.01,1.31,-1.51,0.57,2.34,-1.18,"Calsap",0.699999999999999
0.01,1.27,-1.5,0.58,2.34,-1.18,"Calsap",0.75
0,1.3,-1.55,0.56,2.36,-1.22,"Calsap",0.73
0.02,1.32,-1.5,0.58,2.32,-1.2,"Calsap",0.699999999999999
