Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psefar
12728.89,287.0317,1
12068.01,102.6685,1
1708.781,412.9828,0
12752.57,14.72021,1
12124.92,69.45703,1
12455.62,239.0073,1
1648.07,342.625,0
12458.37,135.959,1
1615.156,323.9709,0
13220.68,58.8418,1
11777.45,133.4746,1
12739.98,243.7485,1
12430.01,326.4951,1
1625.744,363.8438,0
12628.53,194.0767,1
1565.75,379.6199,0
13555.04,57.97412,1
1658.294,402.4522,0
12526.71,208.5347,1
12589.85,158.0073,1
1569.556,332.1146,0
12594.02,142.2002,1
12337.66,119.6201,1
1534.472,320.8643,0
12435.8,380.5166,1
12525.32,163.1558,1
12129.39,112.2192,1
12576.268,4004.1,
1640.585,367.9224,0
12026.82,252.2788,1
1652.956,450.714,0
11905.53,134.9438,1
1659.297,369.4543,0
1740.069,365.9033,0
1775.36,384.8138,0
12465.44,299.2749,1
12163.09,263.626,1
12448.66,174.2852,1
12298.8,189.499,1
10374.49,195.1016,1
12554.8,98.12158,1
1670.496,353.3424,0
1697.547,358.0338,0
1774.739,356.612,0
1628.161,400.8222,0
1648.446,298.5187,0
12814.79,102.8901,1
12670.5,106.9326,1
12834.21,154.4385,1
12240.78,69.23193,1
12477.86,72.86426,1
12619.02,185.4282,1
1534.663,400.7958,0
12122.68,77.22949,1
12431.45,187.4805,1
1678.232,317.5997,0
1722.795,366.7202,0
12219.174,9126.1,
11830.55,213.604,1
12452.37,93.76953,1
1570.917,330.1387,0
13064.43,84.24268,1
12184.17,282.2114,1
1700.837,425.8231,0
1717.764,328.6067,0
1809.57,440.3993,0
1760.279,351.1615,0
12470.35,423.4507,1
12515.53,239.6885,1
1682.598,389.6886,0
1713.489,392.7617,0
1633.425,373.1282,0
12285.7,191.0396,1
1605.862,297.3503,0
11747.59,158.7783,1
12132.84,355.0176,1
1664.59,409.6234,0
12850.62,230.6587,1
12366.31,86.34668,1
12968.79,214.0493,1
1638.62,309.8077,0
1705.942,449.408,0
1664.507,354.6646,0
10628.99,288.0361,1
12035.12,242.1021,1
12766.45,95.88428,1
12514.36,147.3735,1
12723.42,189.2734,1
12607.92,122.6055,1
11817.27,340.1226,1
11455.33,201.5991,1
12073.48,132.9458,1
1583.251,391.1976,0
1560.196,402.3229,0
1658.768,391.5071,0
11985.06,158.813,1
11876.7,150.6494,1
1718.363,377.234,0
1669.976,373.94,0
12043.77,139.5117,1
1699.926,392.5381,0
1606.636,290.1862,0
12277.49,187.8735,1
12507.39,140.0957,1
1688.525,368.3648,0
12259.31,204.9854,1
12637.72,291.373,1
11977.16,117.4009,1
12543.35,267.2832,1
1696.137,302.098,0
1707.907,377.6055,0
12095.76,176.4395,1
12390.42,223.1646,1
1544.265,421.476,0
11758.48,199.0342,1
1661.347,414.6581,0
12571.96,149.3745,1
11831.92,246.3311,1
11841.1,75.02051,1
12399.77,158.7808,1
1610.197,311.6063,0
12395.69,89.59521,1
12854.83,24.58789,1
12695.58,209.3682,1
11783.82,190.8906,1
12180.13,109.2314,1
1602.915,360.6051,0
12093.06,180.335,1
1705.386,410.0656,0
11781.79,173.8799,1
12758.42,123.3506,1
12202.14,210.8687,1
12642.31,178.0693,1
1779.834,390.3293,0
1662.142,340.926,0
1669.464,422.3334,0
12472.12,111.5059,1
1639.985,402.2216,0
12396.81,106.5684,1
1766.399,339.0007,0
1688.536,379.5993,0
12355.93,199.9502,1
1761.662,345.7064,0
1661.966,411.46,0
1717.485,376.8176,0
12148.62,284.3975,1
10849.17,91.44971,1
1627.806,338.9526,0
1633.25,305.0936,0
12097.2,120.5483,1
12667.45,234.3257,1
11574.62,330.2612,1
12044.84,188.0835,1
12331.01,207.2993,1
11823.26,209.2417,1
12252.71,109.7876,1
12605.94,231.4771,1
1682.164,360.7624,0
1706.245,373.7945,0
12863.61,244.7246,1
1815.085,309.1543,0
1731.748,350.64,0
12012.250,5586.1,
12710.55,47.14258,1
12637.5,101.8022,1
12219.91,125.4204,1
12604.42,297.2861,1
1689.281,411.2277,0
1688.93,374.0502,0
1673.086,384.7484,0
13187.19,163.9126,1
12631.8,164.4351,1
11398.62,176.9619,1
1694.709,369.8088,0
12485.25,275.6333,1
11996.86,116.7197,1
1719.495,304.1713,0
1720.783,322.2866,0
12414.33,161.9214,1
11735.33,231.9697,1
12286.04,21.86182,1
1692.868,405.7832,0
12292.5,128.0889,1
12347.04,-7.576172,1
12857.16,258.0996,1
8064.016,98.1792,1
11964.57,113.7437,1
12557.42,41.3418,1
1738.889,392.9673,0
12901.82,54.99609,1
13388.65,179.4595,1
12189.76,253.8389,1
1651.06,316.7603,0
13056.21,79.36523,1
1644.017,353.8671,0
1609.143,389.9086,0
12455.53,128.1655,1
1677.932,387.4966,0
1621.281,424.2822,0
1662.782,355.262,0
12444.34,208.1841,1
1686.138,344.1969,0
12403.56,91.0752,1
1671.485,359.673,0
1660.21,384.3573,0
12540.02,175.9531,1
13249.9,176.7144,1
12180.03,137.9219,1
1762.146,357.6816,0
1722.927,337.5913,0
1693.11,304.5169,0
12310.73,179.0381,1
12528.77,112.2446,1
11851.93,90.52246,1
11957.26,46.42432,1
11766.32,177.9375,1
12107.74,146.9014,1
1669.665,398.1796,0
1684.981,435.0352,0
12170.37,151.6626,1
12570.84,251.4849,1
11681.97,191.7021,1
12341.01,47.24561,1
12483.35,242.542,1
12537.42,117.4146,1
12433.89,148.3535,1
12785.56,107.4116,1
11236.93,158.1343,1
11406.06,69.03174,1
1719.013,394.2469,0
1787.739,494.2023,0
1528.461,297.7814,0
12129.22,316.9888,1
1563.712,311.5773,0
12432.88,340.4453,1
1643.807,402.7072,0
1711.62,383.3046,0
1556.315,371.9243,0
12483.05,157.7983,1
1683.542,402.2602,0
12286.73,235.9707,1
1650.821,392.0652,0
10077.38,157.0288,1
1642.865,369.795,0
11903.22,168.8066,1
12020.84,219.957,1
12986.01,171.6401,1
11950.12,162.792,1
12193.06,144.1006,1
12247.27,179.1704,1
1684.774,288.056,0
12603.81,157.7432,1
12529.13,146.0474,1
11272.17,369.0508,1
1747.371,408.9031,0
13023.01,18.92529,1
12278.03,-35.35938,1
12174.93,269.9854,1
12690.47,183.71,1
12276.5,129.6987,1
1584.984,352.0201,0
13064.22,145.9556,1
12372.2,124.2227,1
12162.03,184.7993,1
12648.21,212.0186,1
12231.99,43.28857,1
1596.514,344.4594,0
1698.641,411.4953,0
1762.668,389.6315,0
11567.85,190.7544,1
