Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	
A1	Calsap_F0.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	1	0.0850	38.73	
A2	Calsap_F0.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	1	0.0850	38.98	
B1	Calsap_F0.4uM_R0.2uM_P2.5uM  Qty or ID	Unknown	2	0.0850	39.96	
B2	Calsap_F0.4uM_R0.2uM_P2.5uM  Qty or ID	Unknown	2	0.0850	38.48	
C1	Calsap_F0.6uM_R0.2uM_P2.5uM  Qty or ID	Unknown	3	0.0850	39.71	
C2	Calsap_F0.6uM_R0.2uM_P2.5uM  Qty or ID	Unknown	3	0.0850	37.83	
D1	Calsap_F0.8uM_R0.2uM_P2.5uM  Qty or ID	Unknown	4	0.0850	41.02	
D2	Calsap_F0.8uM_R0.2uM_P2.5uM  Qty or ID	Unknown	4	0.0850	39.34	
E1	Calsap_F1.0uM_R0.2uM_P2.5uM  Qty or ID	Unknown	5	0.0850	38.99	
E2	Calsap_F1.0uM_R0.2uM_P2.5uM  Qty or ID	Unknown	5	0.0850	38.70	
F1	Calsap_F1.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	6	0.0850	38.98	
F2	Calsap_F1.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	6	0.0850	37.15	
A3	Calsap_F0.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	7	0.0850	39.11	
A4	Calsap_F0.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	7	0.0850	38.22	
B3	Calsap_F0.4uM_R0.4uM_P2.5uM  Qty or ID	Unknown	8	0.0850	39.37	
B4	Calsap_F0.4uM_R0.4uM_P2.5uM  Qty or ID	Unknown	8	0.0850	43.15	
C3	Calsap_F0.6uM_R0.4uM_P2.5uM  Qty or ID	Unknown	9	0.0850	38.41	
C4	Calsap_F0.6uM_R0.4uM_P2.5uM  Qty or ID	Unknown	9	0.0850	39.18	
D3	Calsap_F0.8uM_R0.4uM_P2.5uM  Qty or ID	Unknown	10	0.0850	38.54	
D4	Calsap_F0.8uM_R0.4uM_P2.5uM  Qty or ID	Unknown	10	0.0850	37.55	
E3	Calsap_F1.0uM_R0.4uM_P2.5uM  Qty or ID	Unknown	11	0.0850	37.66	
E4	Calsap_F1.0uM_R0.4uM_P2.5uM  Qty or ID	Unknown	11	0.0850	39.91	
F3	Calsap_F1.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	12	0.0850	37.11	
F4	Calsap_F1.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	12	0.0850	38.54	
A5	Calsap_F0.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	13	0.0850	38.47	
A6	Calsap_F0.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	13	0.0850	38.31	
B5	Calsap_F0.4uM_R0.6uM_P2.5uM  Qty or ID	Unknown	14	0.0850	38.59	
B6	Calsap_F0.4uM_R0.6uM_P2.5uM  Qty or ID	Unknown	14	0.0850	38.17	
C5	Calsap_F0.6uM_R0.6uM_P2.5uM  Qty or ID	Unknown	15	0.0850	38.11	
C6	Calsap_F0.6uM_R0.6uM_P2.5uM  Qty or ID	Unknown	15	0.0850	39.58	
D5	Calsap_F0.8uM_R0.6uM_P2.5uM  Qty or ID	Unknown	16	0.0850	38.87	
D6	Calsap_F0.8uM_R0.6uM_P2.5uM  Qty or ID	Unknown	16	0.0850	38.19	
E5	Calsap_F1.0uM_R0.6uM_P2.5uM  Qty or ID	Unknown	17	0.0850	38.40	
E6	Calsap_F1.0uM_R0.6uM_P2.5uM  Qty or ID	Unknown	17	0.0850	37.33	
F5	Calsap_F1.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	18	0.0850	39.05	
F6	Calsap_F1.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	18	0.0850	37.63	
A7	Calsap_F0.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	19	0.0850	38.85	
A8	Calsap_F0.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	19	0.0850	37.93	
B7	Calsap_F0.4uM_R0.8uM_P2.5uM  Qty or ID	Unknown	20	0.0850	39.25	
B8	Calsap_F0.4uM_R0.8uM_P2.5uM  Qty or ID	Unknown	20	0.0850	40.26	
C7	Calsap_F0.6uM_R0.8uM_P2.5uM  Qty or ID	Unknown	21	0.0850	38.66	
C8	Calsap_F0.6uM_R0.8uM_P2.5uM  Qty or ID	Unknown	21	0.0850	37.91	
D7	Calsap_F0.8uM_R0.8uM_P2.5uM  Qty or ID	Unknown	22	0.0850	40.15	
D8	Calsap_F0.8uM_R0.8uM_P2.5uM  Qty or ID	Unknown	22	0.0850	39.93	
E7	Calsap_F1.0uM_R0.8uM_P2.5uM  Qty or ID	Unknown	23	0.0850	37.80	
E8	Calsap_F1.0uM_R0.8uM_P2.5uM  Qty or ID	Unknown	23	0.0850	37.90	
F7	Calsap_F1.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	24	0.0850	38.63	
F8	Calsap_F1.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	24	0.0850	38.42	
A9	Calsap_F0.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	25	0.0850	39.23	
A10	Calsap_F0.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	25	0.0850	38.46	
B9	Calsap_F0.4uM_R1.0uM_P2.5uM  Qty or ID	Unknown	26	0.0850	38.23	
B10	Calsap_F0.4uM_R1.0uM_P2.5uM  Qty or ID	Unknown	26	0.0850	39.25	
C9	Calsap_F0.6uM_R1.0uM_P2.5uM  Qty or ID	Unknown	27	0.0850	37.66	
C10	Calsap_F0.6uM_R1.0uM_P2.5uM  Qty or ID	Unknown	27	0.0850	38.80	
D9	Calsap_F0.8uM_R1.0uM_P2.5uM  Qty or ID	Unknown	28	0.0850	38.34	
D10	Calsap_F0.8uM_R1.0uM_P2.5uM  Qty or ID	Unknown	28	0.0850	38.39	
E9	Calsap_F1.0uM_R1.0uM_P2.5uM  Qty or ID	Unknown	29	0.0850	37.77	
E10	Calsap_F1.0uM_R1.0uM_P2.5uM  Qty or ID	Unknown	29	0.0850	38.03	
F9	Calsap_F1.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	30	0.0850	37.49	
F10	Calsap_F1.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	30	0.0850	37.19	
A11	Calsap_F0.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	31	0.0850	39.12	
A12	Calsap_F0.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	31	0.0850	38.25	
B11	Calsap_F0.4uM_R1.2uM_P2.5uM  Qty or ID	Unknown	32	0.0850	38.28	
B12	Calsap_F0.4uM_R1.2uM_P2.5uM  Qty or ID	Unknown	32	0.0850	41.00	
C11	Calsap_F0.6uM_R1.2uM_P2.5uM  Qty or ID	Unknown	33	0.0850	37.48	
C12	Calsap_F0.6uM_R1.2uM_P2.5uM  Qty or ID	Unknown	33	0.0850	39.11	
D11	Calsap_F0.8uM_R1.2uM_P2.5uM  Qty or ID	Unknown	34	0.0850	37.86	
D12	Calsap_F0.8uM_R1.2uM_P2.5uM  Qty or ID	Unknown	34	0.0850	37.89	
E11	Calsap_F1.0uM_R1.2uM_P2.5uM  Qty or ID	Unknown	35	0.0850	40.63	
E12	Calsap_F1.0uM_R1.2uM_P2.5uM  Qty or ID	Unknown	35	0.0850	39.28	
F11	Calsap_F1.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	36	0.0850	37.62	
F12	Calsap_F1.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	36	0.0850	38.57	
