Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	
A1	Hemtak_F0.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	1	0.0666	28.47	
A2	Hemtak_F0.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	1	0.0666	28.49	
B1	Hemtak_F0.4uM_R0.2uM_P2.5uM  Qty or ID	Unknown	2	0.0666	30.01	
B2	Hemtak_F0.4uM_R0.2uM_P2.5uM  Qty or ID	Unknown	2	0.0666	29.55	
C1	Hemtak_F0.6uM_R0.2uM_P2.5uM  Qty or ID	Unknown	3	0.0666	30.06	
C2	Hemtak_F0.6uM_R0.2uM_P2.5uM  Qty or ID	Unknown	3	0.0666	30.47	
D1	Hemtak_F0.8uM_R0.2uM_P2.5uM  Qty or ID	Unknown	4	0.0666	30.97	
D2	Hemtak_F0.8uM_R0.2uM_P2.5uM  Qty or ID	Unknown	4	0.0666	30.41	
E1	Hemtak_F1.0uM_R0.2uM_P2.5uM  Qty or ID	Unknown	5	0.0666	30.09	
E2	Hemtak_F1.0uM_R0.2uM_P2.5uM  Qty or ID	Unknown	5	0.0666	30.87	
F1	Hemtak_F1.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	6	0.0666	31.39	
F2	Hemtak_F1.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	6	0.0666	31.09	
A3	Hemtak_F0.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	7	0.0666	28.63	
A4	Hemtak_F0.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	7	0.0666	28.60	
B3	Hemtak_F0.4uM_R0.4uM_P2.5uM  Qty or ID	Unknown	8	0.0666	28.65	
B4	Hemtak_F0.4uM_R0.4uM_P2.5uM  Qty or ID	Unknown	8	0.0666	28.93	
C3	Hemtak_F0.6uM_R0.4uM_P2.5uM  Qty or ID	Unknown	9	0.0666	30.01	
C4	Hemtak_F0.6uM_R0.4uM_P2.5uM  Qty or ID	Unknown	9	0.0666	29.34	
D3	Hemtak_F0.8uM_R0.4uM_P2.5uM  Qty or ID	Unknown	10	0.0666	29.68	
D4	Hemtak_F0.8uM_R0.4uM_P2.5uM  Qty or ID	Unknown	10	0.0666	29.56	
E3	Hemtak_F1.0uM_R0.4uM_P2.5uM  Qty or ID	Unknown	11	0.0666	30.55	
E4	Hemtak_F1.0uM_R0.4uM_P2.5uM  Qty or ID	Unknown	11	0.0666	30.20	
F3	Hemtak_F1.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	12	0.0666	29.83	
F4	Hemtak_F1.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	12	0.0666	29.91	
A5	Hemtak_F0.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	13	0.0666	28.26	
A6	Hemtak_F0.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	13	0.0666	28.26	
B5	Hemtak_F0.4uM_R0.6uM_P2.5uM  Qty or ID	Unknown	14	0.0666	28.94	
B6	Hemtak_F0.4uM_R0.6uM_P2.5uM  Qty or ID	Unknown	14	0.0666	29.09	
C5	Hemtak_F0.6uM_R0.6uM_P2.5uM  Qty or ID	Unknown	15	0.0666	29.26	
C6	Hemtak_F0.6uM_R0.6uM_P2.5uM  Qty or ID	Unknown	15	0.0666	29.34	
D5	Hemtak_F0.8uM_R0.6uM_P2.5uM  Qty or ID	Unknown	16	0.0666	29.48	
D6	Hemtak_F0.8uM_R0.6uM_P2.5uM  Qty or ID	Unknown	16	0.0666	29.58	
E5	Hemtak_F1.0uM_R0.6uM_P2.5uM  Qty or ID	Unknown	17	0.0666	29.70	
E6	Hemtak_F1.0uM_R0.6uM_P2.5uM  Qty or ID	Unknown	17	0.0666	29.63	
F5	Hemtak_F1.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	18	0.0666	29.85	
F6	Hemtak_F1.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	18	0.0666	29.73	
A7	Hemtak_F0.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	19	0.0666	28.21	
A8	Hemtak_F0.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	19	0.0666	28.34	
B7	Hemtak_F0.4uM_R0.8uM_P2.5uM  Qty or ID	Unknown	20	0.0666	29.10	
