Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	
A1	Homame_F0.5uM_R0.5uM_P2.5uM	Unknown	1	0.3256	26.91	
A2	Homame_F0.5uM_R0.5uM_P2.5uM	Unknown	1	0.3256	26.95	
B1	Homame_F1.0uM_R0.5uM_P2.5uM	Unknown	2	0.3256	27.49	
B2	Homame_F1.0uM_R0.5uM_P2.5uM	Unknown	2	0.3256	27.34	
C1	Homame_F1.5uM_R0.5uM_P2.5uM	Unknown	3	0.3256	27.41	
C2	Homame_F1.5uM_R0.5uM_P2.5uM	Unknown	3	0.3256	27.39	
D1	Homame_F2.0uM_R0.5uM_P2.5uM	Unknown	4	0.3256	27.52	
D2	Homame_F2.0uM_R0.5uM_P2.5uM	Unknown	4	0.3256	27.45	
E1	Homame_F2.5uM_R0.5uM_P2.5uM	Unknown	5	0.3256	27.50	
E2	Homame_F2.5uM_R0.5uM_P2.5uM	Unknown	5	0.3256	27.53	
F1	Homame_F3.0uM_R0.5uM_P2.5uM	Unknown	6	0.3256	27.62	
F2	Homame_F3.0uM_R0.5uM_P2.5uM	Unknown	6	0.3256	27.30	
A3	Homame_F0.5uM_R1.0uM_P2.5uM	Unknown	7	0.3256	26.53	
A4	Homame_F0.5uM_R1.0uM_P2.5uM	Unknown	7	0.3256	26.54	
B3	Homame_F1.0uM_R1.0uM_P2.5uM	Unknown	8	0.3256	26.76	
B4	Homame_F1.0uM_R1.0uM_P2.5uM	Unknown	8	0.3256	26.86	
C3	Homame_F1.5uM_R1.0uM_P2.5uM	Unknown	9	0.3256	26.75	
C4	Homame_F1.5uM_R1.0uM_P2.5uM	Unknown	9	0.3256	26.71	
D3	Homame_F2.0uM_R1.0uM_P2.5uM	Unknown	10	0.3256	26.76	
D4	Homame_F2.0uM_R1.0uM_P2.5uM	Unknown	10	0.3256	26.87	
E3	Homame_F2.5uM_R1.0uM_P2.5uM	Unknown	11	0.3256	26.80	
E4	Homame_F2.5uM_R1.0uM_P2.5uM	Unknown	11	0.3256	26.86	
F3	Homame_F3.0uM_R1.0uM_P2.5uM	Unknown	12	0.3256	26.73	
F4	Homame_F3.0uM_R1.0uM_P2.5uM	Unknown	12	0.3256	26.81	
A5	Homame_F0.5uM_R1.5uM_P2.5uM	Unknown	13	0.3256	26.47	
A6	Homame_F0.5uM_R1.5uM_P2.5uM	Unknown	13	0.3256	26.48	
B5	Homame_F1.0uM_R1.5uM_P2.5uM	Unknown	14	0.3256	26.58	
B6	Homame_F1.0uM_R1.5uM_P2.5uM	Unknown	14	0.3256	26.71	
C5	Homame_F1.5uM_R1.5uM_P2.5uM	Unknown	15	0.3256	26.79	
C6	Homame_F1.5uM_R1.5uM_P2.5uM	Unknown	15	0.3256	26.67	
D5	Homame_F2.0uM_R1.5uM_P2.5uM	Unknown	16	0.3256	26.70	
D6	Homame_F2.0uM_R1.5uM_P2.5uM	Unknown	16	0.3256	26.61	
E5	Homame_F2.5uM_R1.5uM_P2.5uM	Unknown	17	0.3256	26.72	
E6	Homame_F2.5uM_R1.5uM_P2.5uM	Unknown	17	0.3256	26.73	
F5	Homame_F3.0uM_R1.5uM_P2.5uM	Unknown	18	0.3256	26.74	
F6	Homame_F3.0uM_R1.5uM_P2.5uM	Unknown	18	0.3256	26.76	
A7	Homame_F0.5uM_R2.0uM_P2.5uM	Unknown	19	0.3256	26.41	
A8	Homame_F0.5uM_R2.0uM_P2.5uM	Unknown	19	0.3256	26.54	
B7	Homame_F1.0uM_R2.0uM_P2.5uM	Unknown	20	0.3256	26.64	
B8	Homame_F1.0uM_R2.0uM_P2.5uM	Unknown	20	0.3256	26.64	
C7	Homame_F1.5uM_R2.0uM_P2.5uM	Unknown	21	0.3256	26.58	
C8	Homame_F1.5uM_R2.0uM_P2.5uM	Unknown	21	0.3256	26.65	
D7	Homame_F2.0uM_R2.0uM_P2.5uM	Unknown	22	0.3256	26.62	
D8	Homame_F2.0uM_R2.0uM_P2.5uM	Unknown	22	0.3256	26.70	
E7	Homame_F2.5uM_R2.0uM_P2.5uM	Unknown	23	0.3256	26.77	
