Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	
A1	Hemsan_F0.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	1	0.0184	29.10	
A2	Hemsan_F0.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	1	0.0184	28.85	
B1	Hemsan_F0.4uM_R0.2uM_P2.5uM  Qty or ID	Unknown	2	0.0184	32.15	
B2	Hemsan_F0.4uM_R0.2uM_P2.5uM  Qty or ID	Unknown	2	0.0184	31.29	
C1	Hemsan_F0.6uM_R0.2uM_P2.5uM  Qty or ID	Unknown	3	0.0184	31.65	
C2	Hemsan_F0.6uM_R0.2uM_P2.5uM  Qty or ID	Unknown	3	0.0184	31.30	
D1	Hemsan_F0.8uM_R0.2uM_P2.5uM  Qty or ID	Unknown	4	0.0184	33.23	
D2	Hemsan_F0.8uM_R0.2uM_P2.5uM  Qty or ID	Unknown	4	0.0184	33.54	
E1	Hemsan_F1.0uM_R0.2uM_P2.5uM  Qty or ID	Unknown	5	0.0184	32.84	
E2	Hemsan_F1.0uM_R0.2uM_P2.5uM  Qty or ID	Unknown	5	0.0184	32.59	
F1	Hemsan_F1.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	6	0.0184	32.74	
F2	Hemsan_F1.2uM_R0.2uM_P2.5uM  Qty or ID	Unknown	6	0.0184	32.99	
A3	Hemsan_F0.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	7	0.0184	28.92	
A4	Hemsan_F0.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	7	0.0184	29.04	
B3	Hemsan_F0.4uM_R0.4uM_P2.5uM  Qty or ID	Unknown	8	0.0184	30.13	
B4	Hemsan_F0.4uM_R0.4uM_P2.5uM  Qty or ID	Unknown	8	0.0184	30.14	
C3	Hemsan_F0.6uM_R0.4uM_P2.5uM  Qty or ID	Unknown	9	0.0184	30.96	
C4	Hemsan_F0.6uM_R0.4uM_P2.5uM  Qty or ID	Unknown	9	0.0184	31.48	
D3	Hemsan_F0.8uM_R0.4uM_P2.5uM  Qty or ID	Unknown	10	0.0184	30.96	
D4	Hemsan_F0.8uM_R0.4uM_P2.5uM  Qty or ID	Unknown	10	0.0184	31.54	
E3	Hemsan_F1.0uM_R0.4uM_P2.5uM  Qty or ID	Unknown	11	0.0184	31.99	
E4	Hemsan_F1.0uM_R0.4uM_P2.5uM  Qty or ID	Unknown	11	0.0184	32.87	
F3	Hemsan_F1.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	12	0.0184	31.56	
F4	Hemsan_F1.2uM_R0.4uM_P2.5uM  Qty or ID	Unknown	12	0.0184	31.09	
A5	Hemsan_F0.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	13	0.0184	28.79	
A6	Hemsan_F0.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	13	0.0184	28.53	
B5	Hemsan_F0.4uM_R0.6uM_P2.5uM  Qty or ID	Unknown	14	0.0184	29.87	
B6	Hemsan_F0.4uM_R0.6uM_P2.5uM  Qty or ID	Unknown	14	0.0184	30.35	
C5	Hemsan_F0.6uM_R0.6uM_P2.5uM  Qty or ID	Unknown	15	0.0184	30.59	
C6	Hemsan_F0.6uM_R0.6uM_P2.5uM  Qty or ID	Unknown	15	0.0184	30.72	
D5	Hemsan_F0.8uM_R0.6uM_P2.5uM  Qty or ID	Unknown	16	0.0184	31.06	
D6	Hemsan_F0.8uM_R0.6uM_P2.5uM  Qty or ID	Unknown	16	0.0184	30.73	
E5	Hemsan_F1.0uM_R0.6uM_P2.5uM  Qty or ID	Unknown	17	0.0184	31.69	
E6	Hemsan_F1.0uM_R0.6uM_P2.5uM  Qty or ID	Unknown	17	0.0184	31.02	
F5	Hemsan_F1.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	18	0.0184	30.45	
F6	Hemsan_F1.2uM_R0.6uM_P2.5uM  Qty or ID	Unknown	18	0.0184	31.54	
A7	Hemsan_F0.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	19	0.0184	28.57	
A8	Hemsan_F0.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	19	0.0184	28.69	
B7	Hemsan_F0.4uM_R0.8uM_P2.5uM  Qty or ID	Unknown	20	0.0184	29.98	
B8	Hemsan_F0.4uM_R0.8uM_P2.5uM  Qty or ID	Unknown	20	0.0184	30.41	
C7	Hemsan_F0.6uM_R0.8uM_P2.5uM  Qty or ID	Unknown	21	0.0184	30.21	
C8	Hemsan_F0.6uM_R0.8uM_P2.5uM  Qty or ID	Unknown	21	0.0184	30.85	
D7	Hemsan_F0.8uM_R0.8uM_P2.5uM  Qty or ID	Unknown	22	0.0184	30.74	
D8	Hemsan_F0.8uM_R0.8uM_P2.5uM  Qty or ID	Unknown	22	0.0184	31.62	
E7	Hemsan_F1.0uM_R0.8uM_P2.5uM  Qty or ID	Unknown	23	0.0184	31.30	
E8	Hemsan_F1.0uM_R0.8uM_P2.5uM  Qty or ID	Unknown	23	0.0184	31.32	
F7	Hemsan_F1.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	24	0.0184	31.76	
F8	Hemsan_F1.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	24	0.0184	32.02	
A9	Hemsan_F0.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	25	0.0184	28.68	
A10	Hemsan_F0.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	25	0.0184	28.34	
B9	Hemsan_F0.4uM_R1.0uM_P2.5uM  Qty or ID	Unknown	26	0.0184	29.95	
B10	Hemsan_F0.4uM_R1.0uM_P2.5uM  Qty or ID	Unknown	26	0.0184	29.98	
C9	Hemsan_F0.6uM_R1.0uM_P2.5uM  Qty or ID	Unknown	27	0.0184	30.55	
C10	Hemsan_F0.6uM_R1.0uM_P2.5uM  Qty or ID	Unknown	27	0.0184	30.43	
D9	Hemsan_F0.8uM_R1.0uM_P2.5uM  Qty or ID	Unknown	28	0.0184	31.02	
D10	Hemsan_F0.8uM_R1.0uM_P2.5uM  Qty or ID	Unknown	28	0.0184	30.60	
E9	Hemsan_F1.0uM_R1.0uM_P2.5uM  Qty or ID	Unknown	29	0.0184	30.74	
E10	Hemsan_F1.0uM_R1.0uM_P2.5uM  Qty or ID	Unknown	29	0.0184	31.42	
