Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	
A1	Parcam_F0.5uM_R0.5uM_P2.5uM	Unknown	1	0.2364	27.50	
A2	Parcam_F0.5uM_R0.5uM_P2.5uM	Unknown	1	0.2364	27.76	
B1	Parcam_F1.0uM_R0.5uM_P2.5uM	Unknown	2	0.2364	28.93	
B2	Parcam_F1.0uM_R0.5uM_P2.5uM	Unknown	2	0.2364	28.91	
C1	Parcam_F1.5uM_R0.5uM_P2.5uM	Unknown	3	0.2364	29.28	
C2	Parcam_F1.5uM_R0.5uM_P2.5uM	Unknown	3	0.2364	29.22	
D1	Parcam_F2.0uM_R0.5uM_P2.5uM	Unknown	4	0.2364	30.15	
D2	Parcam_F2.0uM_R0.5uM_P2.5uM	Unknown	4	0.2364	29.35	
E1	Parcam_F2.5uM_R0.5uM_P2.5uM	Unknown	5	0.2364	29.83	
E2	Parcam_F2.5uM_R0.5uM_P2.5uM	Unknown	5	0.2364	30.04	
F1	Parcam_F3.0uM_R0.5uM_P2.5uM	Unknown	6	0.2364	29.97	
F2	Parcam_F3.0uM_R0.5uM_P2.5uM	Unknown	6	0.2364	29.94	
A3	Parcam_F0.5uM_R1.0uM_P2.5uM	Unknown	7	0.2364	27.37	
A4	Parcam_F0.5uM_R1.0uM_P2.5uM	Unknown	7	0.2364	27.33	
B3	Parcam_F1.0uM_R1.0uM_P2.5uM	Unknown	8	0.2364	28.14	
B4	Parcam_F1.0uM_R1.0uM_P2.5uM	Unknown	8	0.2364	28.21	
C3	Parcam_F1.5uM_R1.0uM_P2.5uM	Unknown	9	0.2364	28.55	
C4	Parcam_F1.5uM_R1.0uM_P2.5uM	Unknown	9	0.2364	28.66	
D3	Parcam_F2.0uM_R1.0uM_P2.5uM	Unknown	10	0.2364	28.79	
D4	Parcam_F2.0uM_R1.0uM_P2.5uM	Unknown	10	0.2364	28.87	
E3	Parcam_F2.5uM_R1.0uM_P2.5uM	Unknown	11	0.2364	29.29	
E4	Parcam_F2.5uM_R1.0uM_P2.5uM	Unknown	11	0.2364	29.37	
F3	Parcam_F3.0uM_R1.0uM_P2.5uM	Unknown	12	0.2364	28.99	
F4	Parcam_F3.0uM_R1.0uM_P2.5uM	Unknown	12	0.2364	29.01	
A5	Parcam_F0.5uM_R1.5uM_P2.5uM	Unknown	13	0.2364	27.20	
A6	Parcam_F0.5uM_R1.5uM_P2.5uM	Unknown	13	0.2364	27.40	
B5	Parcam_F1.0uM_R1.5uM_P2.5uM	Unknown	14	0.2364	27.91	
B6	Parcam_F1.0uM_R1.5uM_P2.5uM	Unknown	14	0.2364	28.32	
C5	Parcam_F1.5uM_R1.5uM_P2.5uM	Unknown	15	0.2364	28.51	
C6	Parcam_F1.5uM_R1.5uM_P2.5uM	Unknown	15	0.2364	28.42	
D5	Parcam_F2.0uM_R1.5uM_P2.5uM	Unknown	16	0.2364	28.65	
D6	Parcam_F2.0uM_R1.5uM_P2.5uM	Unknown	16	0.2364	28.90	
E5	Parcam_F2.5uM_R1.5uM_P2.5uM	Unknown	17	0.2364	28.79	
E6	Parcam_F2.5uM_R1.5uM_P2.5uM	Unknown	17	0.2364	29.00	
F5	Parcam_F3.0uM_R1.5uM_P2.5uM	Unknown	18	0.2364	28.88	
F6	Parcam_F3.0uM_R1.5uM_P2.5uM	Unknown	18	0.2364	28.98	
A7	Parcam_F0.5uM_R2.0uM_P2.5uM	Unknown	19	0.2364	27.22	
A8	Parcam_F0.5uM_R2.0uM_P2.5uM	Unknown	19	0.2364	27.14	
B7	Parcam_F1.0uM_R2.0uM_P2.5uM	Unknown	20	0.2364	27.89	
B8	Parcam_F1.0uM_R2.0uM_P2.5uM	Unknown	20	0.2364	27.83	
C7	Parcam_F1.5uM_R2.0uM_P2.5uM	Unknown	21	0.2364	28.14	
C8	Parcam_F1.5uM_R2.0uM_P2.5uM	Unknown	21	0.2364	28.20	
D7	Parcam_F2.0uM_R2.0uM_P2.5uM	Unknown	22	0.2364	28.58	
D8	Parcam_F2.0uM_R2.0uM_P2.5uM	Unknown	22	0.2364	28.47	
E7	Parcam_F2.5uM_R2.0uM_P2.5uM	Unknown	23	0.2364	28.64	
E8	Parcam_F2.5uM_R2.0uM_P2.5uM	Unknown	23	0.2364	28.54	
F7	Parcam_F3.0uM_R2.0uM_P2.5uM	Unknown	24	0.2364	28.66	
F8	Parcam_F3.0uM_R2.0uM_P2.5uM	Unknown	24	0.2364	28.74	
A9	Parcam_F0.5uM_R2.5uM_P2.5uM	Unknown	25	0.2364	27.26	
A10	Parcam_F0.5uM_R2.5uM_P2.5uM	Unknown	25	0.2364	27.30	
B9	Parcam_F1.0uM_R2.5uM_P2.5uM	Unknown	26	0.2364	27.87	
B10	Parcam_F1.0uM_R2.5uM_P2.5uM	Unknown	26	0.2364	27.60	
C9	Parcam_F1.5uM_R2.5uM_P2.5uM	Unknown	27	0.2364	28.23	
C10	Parcam_F1.5uM_R2.5uM_P2.5uM	Unknown	27	0.2364	28.23	
D9	Parcam_F2.0uM_R2.5uM_P2.5uM	Unknown	28	0.2364	28.22	
D10	Parcam_F2.0uM_R2.5uM_P2.5uM	Unknown	28	0.2364	28.30	
E9	Parcam_F2.5uM_R2.5uM_P2.5uM	Unknown	29	0.2364	28.58	
E10	Parcam_F2.5uM_R2.5uM_P2.5uM	Unknown	29	0.2364	28.54	
F9	Parcam_F3.0uM_R2.5uM_P2.5uM	Unknown	30	0.2364	28.55	
F10	Parcam_F3.0uM_R2.5uM_P2.5uM	Unknown	30	0.2364	28.63	
A11	Parcam_F0.5uM_R3.0uM_P2.5uM	Unknown	31	0.2364	27.19	
A12	Parcam_F0.5uM_R3.0uM_P2.5uM	Unknown	31	0.2364	26.98	
B11	Parcam_F1.0uM_R3.0uM_P2.5uM	Unknown	32	0.2364	27.84	
B12	Parcam_F1.0uM_R3.0uM_P2.5uM	Unknown	32	0.2364	27.74	
C11	Parcam_F1.5uM_R3.0uM_P2.5uM	Unknown	33	0.2364	27.91	
C12	Parcam_F1.5uM_R3.0uM_P2.5uM	Unknown	33	0.2364	27.86	
D11	Parcam_F2.0uM_R3.0uM_P2.5uM	Unknown	34	0.2364	28.31	
D12	Parcam_F2.0uM_R3.0uM_P2.5uM	Unknown	34	0.2364	28.20	
E11	Parcam_F2.5uM_R3.0uM_P2.5uM	Unknown	35	0.2364	28.45	
E12	Parcam_F2.5uM_R3.0uM_P2.5uM	Unknown	35	0.2364	28.43	
F11	Parcam_F3.0uM_R3.0uM_P2.5uM	Unknown	36	0.2364	28.44	
F12	Parcam_F3.0uM_R3.0uM_P2.5uM	Unknown	36	0.2364	28.55	
