smplNm,mcp_ddPCR,mcp_qPCR,sdmn_ddPCR,sdmn_qPCR,sdmx_ddPCR,sdmx_qPCR,smplTp,qlod,f2,mcp_ddPCR_lod,spcAbbr
MST1022,1.40787899494171,1.6519319786658848,0.731585696339605,1.2587397589521294,2.4104942381381997,2.04512419837964,MST,1,0.5659454818421379,0.2,Mnelei
MST1024,0,0,0,0,0.5293698236346249,0,MST,1,0.5659454818421379,0.2,Mnelei
MST1027,0.3353966027498245,0.27023896757962085,0.0908905919641255,0.12156303810210273,0.8348375558853149,0.41891489705713897,MST,1,0.5659454818421379,0.2,Mnelei
MST1028,0.346112363040447,0.8495470510763649,0.093794446438551,0.5772498692724146,0.86151145398617,1.121844232880315,MST,1,0.5659454818421379,0.2,Mnelei
MST1031,0,0.08866479215526828,0,-0.06490713270019079,0.4794754087924955,0.24223671701072735,MST,1,0.5659454818421379,0.2,Mnelei
MST1038,0,0,0,0,0.4416365921497345,0,MST,1,0.5659454818421379,0.2,Mnelei
MST1039,0,0,0,0,0.545174218714235,0,MST,1,0.5659454818421379,0.2,Mnelei
MST1043,0,0,0,0,0.53153619170189,0,MST,1,0.5659454818421379,0.2,Mnelei
MST1054,0.32581090927124,0,0.0882929656654595,0,0.810976773500445,0,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-002,56.7499113082885,50.80303942002924,52.373170852661,48.00932145938077,61.1299085617065,53.596757380677715,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-005,0,0,0,0,0.45699998736381553,0,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-006,227.55458831787098,229.2519381279869,218.3553314208985,162.19641676400093,236.768226623535,296.30745949197285,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-008,0,0,0,0,0.448274314403534,0,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-011,10661.92626953125,11940.82083855595,10557.4353027344,11892.93482963851,10768.3093261719,11988.70684747339,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-012,1.4126688241958598,1.4972402136290337,0.8111836016178151,0.783145649591181,2.25654721260071,2.2113347776668864,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-013,3.4271457791328452,3.1290496862738646,2.451919615268705,2.444150856544742,4.63226228952408,3.8139485160029873,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-015,1.22698128223419,1.0690081323684826,0.6375893205404299,0.6688894648428294,2.10074797272682,1.4691267998941357,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-019,2.557266652584075,2.641707743576468,1.75288647413254,1.9117030700679842,3.576967120170595,3.371712417084952,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-025,0,0,0,0,0.47363787889480596,0,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-028,57.381434440613,55.280297009713706,52.584891319275,47.70035138118319,62.181887626648006,62.86024263824422,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-029,85.881471633911,85.0112996558207,79.85680103302,71.7203427173367,91.91230773925801,98.30225659430468,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-030,0,0,0,0,0.4383670166134835,0,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-031,0.4158756136894225,0.10165009682197954,0.112699391320348,0.008236524055601338,1.03516899049282,0.19506366958835775,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-032,8.61102283000945,3.216456821802817,6.8677079677582,1.7436242535137931,10.62782406806945,4.68928939009184,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-039,0,0,0,0,0.45837864279747004,0,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-040,1738.8563537597652,1651.0516190274634,1709.9253845214848,931.1816218996745,1767.9301452636698,2370.921616155252,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-043,0.3095730766654015,0.42697442463423513,0.083892699331045,0.2671196379057564,0.77055759727955,0.5868292113627138,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-044,0.71867473423481,0,0.311894044280052,0,1.381730139255525,0,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-049,17.133399248123148,15.293733404314038,14.87156867980955,11.716847020354027,19.6146273612976,18.87061978827405,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-051,0,0,0,0,0.51733121275902,0,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-052,2.3721215128898603,1.475860050981664,1.58006548881531,0.8569482622185587,3.3931058645248404,2.0947718397447694,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-055,6.097531914710999,3.0567344302607022,4.804327487945555,2.976668014898706,7.60459661483765,3.1368008456226986,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-058,13395.888671875,8771.52614023998,13254.755859375,7160.109815781796,13540.48950195315,10382.942464698162,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-062,4.364386200904845,4.767147442050275,3.2619053125381448,0.6217286719064905,5.6914657354355,8.91256621219406,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-064,15801.71997070315,11228.987188061174,15633.85375976565,9473.616922187652,15974.51904296875,12984.357453934696,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-070,1.09646514058113,1.2318746654763868,0.5697708949446699,0.34673922880736185,1.87727302312851,2.1170101021454117,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-071,561.784439086915,470.5522267360798,547.3348236084,347.32210739755817,576.2696075439451,593.7823460746014,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-075,0,0.8998533161289992,0,-0.027827451106264056,0.54743494838476,1.8275340833642626,MST,1,0.5659454818421379,0.2,Mnelei
