smplNm,mcp_ddPCR,mcp_qPCR,sdmn_ddPCR,sdmn_qPCR,sdmx_ddPCR,sdmx_qPCR,smplTp,qlod,f2,mcp_ddPCR_lod,spcAbbr
MST1022,0,0,0,0,0.4486989229917525,0,MST,1,0.019981915346659145,0.2,Caraur
MST1024,0,0,0,0,0.46985194087028503,0,MST,1,0.019981915346659145,0.2,Caraur
MST1027,0,0,0,0,0.4243680089712145,0,MST,1,0.019981915346659145,0.2,Caraur
MST1028,0,0,0,0,0.42029269039630895,0,MST,1,0.019981915346659145,0.2,Caraur
MST1031,0,0,0,0,0.4425345733761785,0,MST,1,0.019981915346659145,0.2,Caraur
MST1038,0,0,0,0,0.423675887286663,0,MST,1,0.019981915346659145,0.2,Caraur
MST1039,0,0,0,0,0.42220983654260646,0,MST,1,0.019981915346659145,0.2,Caraur
MST1043,0.31592432409524895,0,0.085613811388612,0,0.7863670587539651,0,MST,1,0.019981915346659145,0.2,Caraur
MST1054,0,0,0,0,0.420226901769638,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-002,0,0,0,0,0.4413703456521035,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-005,0,0,0,0,0.42038045823574055,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-006,0,0,0,0,0.430700406432152,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-008,0,0,0,0,0.4563008248806,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-011,0,0,0,0,0.437699891626835,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-012,0,0,0,0,0.39690550416708,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-013,0,0,0,0,0.44790029525756847,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-015,0,0,0,0,0.39364602416753747,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-019,0,0,0,0,0.415307395160198,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-025,0,0,0,0,0.4098957404494285,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-028,0,0,0,0,0.43120775371789954,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-029,0,0,0,0,0.433996431529522,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-030,0,0,0,0,0.41603684425354,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-031,0,0,0,0,0.4143670946359635,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-032,0,0,0,0,0.46092357486486446,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-039,0,0,0,0,0.4073454812169075,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-040,0,0,0,0,0.49680944532155996,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-043,0,0,0,0,0.3998418524861335,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-044,0,0,0,0,0.522127710282805,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-049,0.29784819111228,0,0.0807153712958095,0,0.741372108459475,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-051,0,0,0,0,0.4626447707414625,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-052,0,0,0,0,0.41763350367546104,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-055,0,0,0,0,0.45840475708246253,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-058,0,0,0,0,0.45217577368021,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-062,0,0,0,0,0.51643542945385,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-064,0,0,0,0,0.4262548312544825,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-070,0,0,0,0,0.43937157839536656,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-071,0,0,0,0,0.4199639335274695,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-075,0,0,0,0,0.42294155806302997,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-076,0,0,0,0,0.416833646595478,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-079,0.33099923282861704,0,0.08969895541667951,0,0.82389160990715,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-081,0,0,0,0,0.47641187906265253,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-082,0,0,0,0,0.45843087136745453,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-083,0,0,0,0,0.4624588042497635,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-085,0,0,0,0,0.50595510751009,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-088,0,0,0,0,0.44229149818420405,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-089,0,0,0,0,0.44985190033912653,0,MST,1,0.019981915346659145,0.2,Caraur
MST2021-099,0,0,0,0,0.442461594939232,0,MST,1,0.019981915346659145,0.2,Caraur
NEKfeb2022,0,0,0,0,0.4219885542988775,0,MST,1,0.019981915346659145,0.2,Caraur
NTC,0,0,0,0,0.4347462207078935,0,MST,1,0.019981915346659145,0.2,Caraur
stdE-1,0,0,0,0,0.4150504991412165,0,STD,1,0.019981915346659145,0.2,Caraur
stdE0,0,0,0,0,0.413792207837105,0,STD,1,0.019981915346659145,0.2,Caraur
stdE1,0,0.16651596122215956,0,0.08494013341748731,0.4076754301786425,0.24809178902683182,STD,1,0.019981915346659145,0.2,Caraur
stdE2,3.490665555000305,1.9981915346659145,2.57620185613632,1.9981915346659145,4.59967613220215,1.9981915346659145,STD,1,0.019981915346659145,0.2,Caraur
stdE3,24.9246096611023,19.981915346659147,22.26341009140015,19.981915346659147,27.79093503952025,19.981915346659147,STD,1,0.019981915346659145,0.2,Caraur
stdE4,295.4143714904785,199.81915346659144,285.6553649902345,199.81915346659144,305.189628601074,199.81915346659144,STD,1,0.019981915346659145,0.2,Caraur
stdE5,2995.0656127929697,1998.1915346659146,2960.0350952148447,1998.1915346659146,3030.305786132815,1998.1915346659146,STD,1,0.019981915346659145,0.2,Caraur
