"","spcAbbr","(Intercept)","log10(ddPCR)","r.squared","adj.r.squared","p.value"
"1","Bonham","0.002","0.814","0.937","0.924",0.000349499603168477
"2","Calsap","0.668","0.674","0.924","0.899",0.00902259690331124
"3","Caraur","-0.14","1.011","0.998","0.997",0.00101791475141428
"4","Colper","-0.022","0.861","0.939","0.927",0.000317757065454947
"5","Corcas","0.093","0.849","0.92","0.904",0.000635408069696213
"6","Cragig","-0.231","1.117","0.984","0.981",9.11405943644211e-05
"7","Erisin","0.229","0.956","0.996","0.995",0.000100324320565946
"8","Hemsan","0.168","0.988","0.999","0.999",2.38204612849969e-07
"9","Hemtak","-0.01","1.016","1","1",6.00010141254027e-07
"10","Homame","-0.102","1.11","0.994","0.99",0.00318983054136071
"11","Karmik","-0.254","1.039","0.98","0.979",7.73450449428428e-17
"12","Mnelei","-0.04","0.934","0.957","0.956",7.950328970463e-27
"13","Myaare","-0.532","1.09","0.834","0.826",4.94189288457011e-10
"14","Oncmyk","0.04","0.788","0.879","0.855",0.00180164124049316
"15","Promin","-0.711","1.214","0.922","0.919",7.98165029248434e-15
"16","Psefar","-0.342","0.923","0.957","0.956",4.23083389156362e-24
"17","Psever","-0.177","0.897","0.861","0.853",3.92703575493656e-09
