smplNm,mcp_ddPCR,mcp_qPCR,sdmn_ddPCR,sdmn_qPCR,sdmx_ddPCR,sdmx_qPCR,smplTp,qlod,f2,mcp_ddPCR_lod,spcAbbr
MST1022,0,0,0,0,0.51906518638134,0,MST,10,0.24951404207858724,0.2,Karmik
MST1024,0,0,0,0,0.46886712312698353,0,MST,10,0.24951404207858724,0.2,Karmik
MST1027,0,0,0,0,0.49376327544450754,0,MST,10,0.24951404207858724,0.2,Karmik
MST1028,0.34320447593927395,0,0.09300643578171751,0,0.854273065924645,0,MST,10,0.24951404207858724,0.2,Karmik
MST1031,0,0,0,0,0.4534488543868065,0,MST,10,0.24951404207858724,0.2,Karmik
MST1038,0,0,0,0,0.4519981145858765,0,MST,10,0.24951404207858724,0.2,Karmik
MST1039,0,0,0,0,0.4910534620285035,0,MST,10,0.24951404207858724,0.2,Karmik
MST1043,0.36314185708761204,0,0.09840922430157649,0,0.90390160679817,0,MST,10,0.24951404207858724,0.2,Karmik
MST1054,0,0.137232723143223,0,-0.10046132580187256,0.508414693176745,0.37492677208831854,MST,10,0.24951404207858724,0.2,Karmik
MST2021-002,0.357578955590725,0,0.09690175764262701,0,0.8900543302297601,0,MST,10,0.24951404207858724,0.2,Karmik
MST2021-005,0,0,0,0,0.48437822610139847,0,MST,10,0.24951404207858724,0.2,Karmik
MST2021-006,0,0,0,0,0.524815879762175,0,MST,10,0.24951404207858724,0.2,Karmik
MST2021-008,0,0,0,0,0.59207074344158,0,MST,10,0.24951404207858724,0.2,Karmik
MST2021-011,0,0,0,0,0.48205859959125497,0,MST,10,0.24951404207858724,0.2,Karmik
MST2021-012,0,0,0,0,0.55478923022747,0,MST,10,0.24951404207858724,0.2,Karmik
MST2021-013,0,0,0,0,0.4497765377163885,0,MST,10,0.24951404207858724,0.2,Karmik
MST2021-015,0,0,0,0,0.4916831105947495,0,MST,10,0.24951404207858724,0.2,Karmik
MST2021-019,0,0,0,0,0.523179322481155,0,MST,10,0.24951404207858724,0.2,Karmik
MST2021-025,0,0,0,0,0.51412746310234,0,MST,10,0.24951404207858724,0.2,Karmik
MST2021-028,132.653284072876,78.87138870104143,125.431480407715,72.67527961987716,139.8839569091795,85.06749778220569,MST,10,0.24951404207858724,0.2,Karmik
MST2021-029,325.8011627197265,250.23486042236982,314.3844413757325,229.79731747282332,337.24006652832054,270.67240337191635,MST,10,0.24951404207858724,0.2,Karmik
