Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1
4164.966,185.3796,0
4206.15,218.8296,0
3925.677,211.6073,0
3887.541,192.0161,0
3912.232,6849.0,
3977.322,135.7072,0
4308.442,271.0881,0
4245.416,177.7397,0
4029.162,211.4996,0
4108.207,202.0323,0
4263.71,273.8452,0
4161.029,109.1414,0
4274.494,208.5337,0
4376.43,198.0754,0
4144.075,163.1676,0
4009.141,260.1642,0
4347.604,158.9832,0
4373.643,85.62573,0
4154.25,190.4785,0
4101.34,226.8481,0
4084.229,252.0759,0
4402.619,122.3015,0
4345.609,150.8101,0
4022.196,69.64307,0
4001.056,267.5566,0
4178.373,196.489,0
4148.325,184.3496,0
4009.697,223.2603,0
4285.719,235.0481,0
4252.417,115.1284,0
3999.779,119.4264,0
4292.263,158.2568,0
4187.028,228.9158,0
3981.377,228.1202,0
3947.35,216.4933,0
4223.443,134.895,0
4427.886,109.6943,0
4033.599,196.2334,0
4316.721,211.436,0
4228.069,144.1313,0
4095.063,263.7625,0
4105.535,258.288,0
4173.694,151.1401,0
4093.159,189.0057,0
4181.186,178.8342,0
4409.064,113.615,0
4278.223,102.4673,0
4119.528,176.6599,0
3944.06,154.3452,0
4027.239,123.5051,0
4091.752,249.2546,0
4454.271,96.51563,0
4071.569,249.853,0
3923.208,171.0071,0
4104.208,228.4811,0
4308.667,217.145,0
3959.887,256.697,0
4094.104,175.3362,0
4059.235,233.7427,0
3869.136,270.4875,0
4300.425,197.1479,0
4105.819,207.254,0
4218.696,188.4456,0
4325.787,161.7231,0
4356.713,144.802,0
4241.935,174.313,0
4064.304,150.2911,0
4202.233,135.314,0
4290.515,195.9736,0
3917.822,278.7335,0
3838.873,207.5078,0
3923.725,198.5663,0
3974.306,249.8248,0
4069.208,198.9528,0
4074.649,203.6554,0
4212.627,209.1418,0
4353.093,132.449,0
3962.216,233.6796,0
4175.11,149.9705,0
4065.809,178.3558,0
4302.1,228.8755,0
4320.826,121.4792,0
4262.409,207.0476,0
4174.143,208.5491,0
4247.308,161.7168,0
4418.997,152.3413,0
4042.091,216.4053,0
4063.615,213.6147,0
4390.267,181.4443,0
4253.027,288.7222,0
4118.773,227.2952,0
4153.243,92.18042,0
4028.397,235.1534,0
4297.833,119.9807,0
4290.705,170.678,0
4050.241,231.1873,0
4319.709,175.1367,0
4042.243,289.1501,0
4090.099,169.9136,0
4014.176,185.749,0
4083.832,199.2018,0
4060.757,185.1534,0
4007.972,190.2207,0
4102.65,244.8389,0
4279.589,197.2166,0
4334.979,168.1353,0
4110.183,187.7782,0
4286.371,190.0867,0
4241.233,164.0083,0
4254.352,203.4426,0
4109.619,179.5505,0
3902.719,250.8188,0
4189.182,169.8669,0
3976.621,258.7137,0
4043.375,129.4967,0
4336.306,208.2539,0
4093.093,231.4193,0
4151.276,241.8193,0
4223.078,70.23657,0
4136.958,178.1622,0
4013.567,243.1792,0
4077.117,222.4183,0
4251.524,66.79858,0
4021.932,201.8151,0
4233.603,145.8494,0
