"U_Pr_Nr";"Navn_Inds";"skib";"Inst";"Dato_inds";"Lok_omr01";"lokalitet_vanda";"lok_pos_lat";"lok_pos_lon";"max_Dyb";"Dyb_Str_m";"Vwf_mL";"vandsoejllagd";"Dyb_lagd01";"dato_80C";"Temp_Inds";"Bemaerkn";"MST.nummer";"MST.n_Dinds"
"1";"MST0012";"Alex_Kristensen";"Daphne";"MST_Sjaelland";"2017-08-29";"VSJ20925";"93000001";56.132217;11.157867;49;1;"1100";"yes";"12.0";"29/08/2017";17.8;NA;"MST0012";"MST0012_2017-08-29"
"2";"MST0015";"Alex_Kristensen";"Daphne";"MST_Sjaelland";"2017-08-29";"VSJ20925";"93000001";56.132217;11.157867;49;1;"1100";"yes";"12.0";"29/08/2017";17.8;NA;"MST0015";"MST0015_2017-08-29"
"3";"MST0017";"Alex_Kristensen";"Daphne";"MST_Sjaelland";"2017-08-29";"VSJ20925";"93000001";56.132217;11.157867;49;1;"600";"yes";"12.0";"29/08/2017";17.8;NA;"MST0017";"MST0017_2017-08-29"
"4";"MST0003";"Alex_Kristensen";"Daphne";"MST_Fyn";"2017-08-30";"DMU_444_Arkona";"99000052";54.999617;13.299867;50;1;"1500";"yes";"25.0";"30/08/2017";18.7;NA;"MST0003";"MST0003_2017-08-30"
"5";"MST0014";"Alex_Kristensen";"Daphne";"MST_Fyn";"2017-08-30";"DMU_444_Arkona";"99000052";54.999617;13.299867;50;1;"1600";"yes";"25.0";"30/08/2017";18.7;NA;"MST0014";"MST0014_2017-08-30"
"6";"MST0122";"Lasse_oersted_Jensen";"Klausen";"MST_Sydjylland";"2017-09-05";"RIB1510007";"91500007";55.3375;8.350667;5.2;1;"1200";"no";NA;NA;18.3;NA;"MST0122";"MST0122_2017-09-05"
"7";"MST0120";"Lasse_oersted_Jensen";"Klausen";"MST_Sydjylland";"2017-09-05";"RIB1510007";"91500007";55.3375;8.350667;5.2;1;"1450";"no";NA;NA;18.3;NA;"MST0120";"MST0120_2017-09-05"
"8";"MST0121";"Lasse_oersted_Jensen";"Klausen";"MST_Sydjylland";"2017-09-05";"RIB1510007";"91500007";55.3375;8.350667;5.2;1;"1450";"no";NA;NA;18.3;NA;"MST0121";"MST0121_2017-09-05"
"9";"MST0019";"geped";"Limgrim";"Midtjylland";"2017-09-12";"VIB_3727_00001";"93740007";56.622167;9.075833;5.6;1;"710";"yes";"4.0";"18/09/2017";15.7;NA;"MST0019";"MST0019_2017-09-12"
"10";"MST0020";"geped";"Limgrim";"Midtjylland";"2017-09-12";"VIB_3727_00001";"93740007";56.622167;9.075833;5.6;1;"640";"yes";"4.0";"18/09/2017";15.7;NA;"MST0020";"MST0020_2017-09-12"
"11";"MST0021";"geped";"Limgrim";"Midtjylland";"2017-09-12";"VIB_3727_00001";"93740007";56.622167;9.075833;5.6;1;"740";"yes";"4.0";"18/09/2017";15.7;NA;"MST0021";"MST0021_2017-09-12"
"12";"MST0044";"Ulrich_B_Jensen";"Limgrim";"MST_Sjaelland";"2017-09-18";"KBH431";"97200002";55.8623;12.750267;50.5;1;"1500";"yes";"16.1";"18/09/2017";14.4;NA;"MST0044";"MST0044_2017-09-18"
"13";"MST0045";"Ulrich_B_Jensen";"Limgrim";"MST_Sjaelland";"2017-09-18";"KBH431";"97200002";55.8623;12.750267;50.5;1;"1500";"yes";"16.1";"18/09/2017";14.4;NA;"MST0045";"MST0045_2017-09-18"
"14";"MST0046";"Ulrich_B_Jensen";"Limgrim";"MST_Sjaelland";"2017-09-18";"KBH431";"97200002";55.8623;12.750267;50.5;1;"1500";"yes";"16.1";"18/09/2017";14.4;NA;"MST0046";"MST0046_2017-09-18"
"15";"MST";"jepni_benje";"Penelope";"Midtjylland";"2017-09-19";"RKB1_Ringkoebing_fjord";"91320001";56.076167;8.224333;3.3;1;"unkn";"yes";"2.9";"15/05/2018";10.6;NA;"MST";"MST_2017-09-19"
"18";"MST0118";"jepni_benje";"Penelope";"Midtjylland";"2017-09-19";"RKB1_Ringkoebing_fjord";"91320001";56.076167;8.224333;3.3;1;"1150";"yes";"2.1";"19/09/2017";15;NA;"MST0118";"MST0118_2017-09-19"
"19";"MST0119";"jepni_benje";"Penelope";"Midtjylland";"2017-09-19";"RKB1_Ringkoebing_fjord";"91320001";56.076167;8.224333;3.3;1;"1400";"yes";"2.1";"19/09/2017";15;NA;"MST0119";"MST0119_2017-09-19"
"20";"MST0117";"jepni_benje";"Penelope";"Midtjylland";"2017-09-19";"RKB1_Ringkoebing_fjord";"91320001";56.076167;8.224333;3.3;1;"1450";"yes";"2.1";"19/09/2017";15;NA;"MST0117";"MST0117_2017-09-19"
"21";"MST0030";"Jane_Robertsen";"LIV_II";"FYN";"2017-09-20";"VEJ0006870_Nordlige_Lillebaelt";"94300001";55.674383;10.090417;19.6;1;"1400";"yes";"9.5";"20/09/2017";14.3;"Tidspunktet_for_proevetagningen_vil_i_Arop_filen_vise_0753UTC_det_er_ikke_det_rigtige_tidspunkt_for_proevetagningen";"MST0030";"MST0030_2017-09-20"
"22";"MST0031";"Jane_Robertsen";"LIV_II";"FYN";"2017-09-20";"VEJ0006870_Nordlige_Lillebaelt";"94300001";55.674383;10.090417;19.6;1;"1300";"yes";"9.5";"20/09/2017";14.3;"Tidspunktet_for_proevetagningen_vil_i_Arop_filen_vise_0753UTC_det_er_ikke_det_rigtige_tidspunkt_for_proevetagningen";"MST0031";"MST0031_2017-09-20"
"23";"MST0032";"Jane_Robertsen";"LIV_II";"FYN";"2017-09-20";"VEJ0006870_Nordlige_Lillebaelt";"94300001";55.674383;10.090417;19.6;1;"800";"yes";"9.5";"20/09/2017";14.3;"Tidspunktet_for_proevetagningen_vil_i_Arop_filen_vise_0753UTC_det_er_ikke_det_rigtige_tidspunkt_for_proevetagningen";"MST0032";"MST0032_2017-09-20"
"24";"MST0028";"JAROB_20629477";"LIV_II";"Fyn";"2017-09-25";"FYN6300043_Sydlige_Lillebaelt";"95600002";54.997667;10.160333;35.6;1;"1350";"yes";"5.0";"25/09/2017";15.5;NA;"MST0028";"MST0028_2017-09-25"
"25";"MST0029";"JAROB_20629477";"LIV_II";"Fyn";"2017-09-25";"FYN6300043_Sydlige_Lillebaelt";"95600002";54.997667;10.160333;35.6;1;"1400";"yes";"5.0";"25/09/2017";15.5;NA;"MST0029";"MST0029_2017-09-25"
"26";"MST0033";"JAROB_20629477";"LIV_II";"Fyn";"2017-09-25";"FYN6300043_Sydlige_Lillebaelt";"95600002";54.997667;10.160333;35.6;1;"1275";"yes";"5.0";"25/09/2017";15.5;NA;"MST0033";"MST0033_2017-09-25"
"27";"MST0048";"Ole_Blohm_Poulsen_olbpo";"Belone_Belone";"MST_Fyn";"2017-10-09";"FYN6900017";"94230001";55.4678333333333;10.5169333333333;10.2;1;"1100";"yes";"1.6";"09/10/2017";10.9;NA;"MST0048";"MST0048_2017-10-09"
"28";"MST0049";"Ole_Blohm_Poulsen_olbpo";"Belone_Belone";"MST_Fyn";"2017-10-09";"FYN6900017";"94230001";55.4678333333333;10.5169333333333;10.2;1;"1150";"yes";"1.6";"09/10/2017";10.9;NA;"MST0049";"MST0049_2017-10-09"
"29";"MST0036";"Ole_Blohm_Poulsen_olbpo";"Belone_Belone";"MST_Fyn";"2017-10-09";"FYN6900017";"94230001";55.4678333333333;10.5169333333333;10.2;1;"1100";"yes";"1.6";"09/10/2017";10.9;NA;"MST0036";"MST0036_2017-10-09"
"30";"MST0133";"Finn_Andersen";"M_Gaardbo";"MST_NJL";"2017-10-10";"NOR7715";"92200001";57.607833;9.915333;17;1;"1350";"yes";"3m";"10/10/2017";13;NA;"MST0133";"MST0133_2017-10-10"
"31";"MST0137";"Finn_Andersen";"M_Gaardbo";"MST_NJL";"2017-10-10";"NOR7715";"92200001";57.607833;9.915333;17;1;"1350";"yes";"3m";"10/10/2017";13;NA;"MST0137";"MST0137_2017-10-10"
"32";"MST0131";"Finn_Andersen";"M_Gaardbo";"MST_NJL";"2017-10-10";"NOR7715";"92200001";57.607833;9.915333;17;1;"1350";"yes";"3m";"10/10/2017";13;NA;"MST0131";"MST0131_2017-10-10"
"33";"MST0039";"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2017-10-19";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;55.250017;89;1;"1400";"yes";"30.0";"18/11/2017";11.3;"i_hvert_fald_med_med_unikt_nr_";"MST0039";"MST0039_2017-10-19"
"34";"MST0040";"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2017-10-19";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;55.250017;89;1;"1200";"yes";"30.0";"18/11/2017";11.3;"i_hvert_fald_med_med_unikt_nr_MINDST_12_liter_idet_der_var_en_lille_laek";"MST0040";"MST0040_2017-10-19"
"35";"MST0041";"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2017-10-19";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;55.250017;89;1;"1450";"yes";"30.0";"18/11/2017";11.3;"i_hvert_fald_med_med_unikt_nr_";"MST0041";"MST0041_2017-10-19"
"36";"MST0067";"JAROB_20629477";"LIV_II";"Sydjylland";"2018-03-21";"Flensborg_Fjord";"95700008";54.842127;9.819387;29.6;28.6;"1000";"no";"not_avail";"22/03/2018";1;"Afleveret_til_Eurofins_d_223_2018";"MST0067";"MST0067_2018-03-21"
"37";"MST0081";"JAROB_20629477";"LIV_II";"Sydjylland";"2018-03-21";"Flensborg_Fjord";"95700008";54.842127;9.819387;29.6;28.6;"1350";"no";"not_avail";"22/03/2018";1;"Afleveret_til_Eurofins_d_223_2018";"MST0081";"MST0081_2018-03-21"
"38";"MST0051";"JAROB_20629477";"LIV_II";"Sydjylland";"2018-03-21";"Flensborg_Fjord";"95700008";54.842127;9.819387;29.6;28.6;"1350";"no";"not_avail";"22/03/2018";1;"Afleveret_til_Eurofins_d_223_2018";"MST0051";"MST0051_2018-03-21"
"39";"MST0284";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-04-03";"Isefjordens_yderbredning";"93210013";55.8675;11.787833;10.1;8.6;"1500";"yes";"8.5";"03/04/2018";2.1;NA;"MST0284";"MST0284_2018-04-03"
"40";"MST0289";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-04-03";"Isefjordens_yderbredning";"93210013";55.8675;11.787833;10.1;8.6;"1500";"yes";"8.5";"03/04/2018";2.1;NA;"MST0289";"MST0289_2018-04-03"
"41";"MST0287";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-04-03";"Isefjordens_yderbredning";"93210013";55.8675;11.787833;10.1;8.6;"1500";"yes";"8.5";"03/04/2018";2.1;NA;"MST0287";"MST0287_2018-04-03"
"45";"MST0058";"JAROB_20629477";"LIV_II";"Sydjylland";"2018-04-05";"Vejle_Fjord";"95130028";55.703333;9.668333;7.6;6.6;"900";"no";"not_avail";"18/04/2018";2.1;NA;"MST0058";"MST0058_2018-04-05"
"46";"MST0057";"JAROB_20629477";"LIV_II";"Sydjylland";"2018-04-05";"Vejle_Fjord";"95130028";55.703333;9.668333;7.6;6.6;"850";"no";"not_avail";"18/04/2018";2.1;NA;"MST0057";"MST0057_2018-04-05"
"47";"MST0059";"JAROB_20629477";"LIV_II";"Sydjylland";"2018-04-05";"Vejle_Fjord";"95130028";55.703333;9.668333;7.6;6.6;"950";"no";"not_avail";"18/04/2018";2.1;NA;"MST0059";"MST0059_2018-04-05"
"48";"MST0068";"ulbje";"Musling";"oestjylland";"2018-04-16";"Hevring_Bugt";"93500119";56.625617;10.590433;13.5;12.5;"1100";"yes";"10.0";"17/04/2018";4.3;NA;"MST0068";"MST0068_2018-04-16"
"49";"MST0062";"ulbje";"Musling";"oestjylland";"2018-04-16";"Hevring_Bugt";"93500119";56.625617;10.590433;13.5;12.5;"1100";"yes";"10.0";"17/04/2018";4.3;NA;"MST0062";"MST0062_2018-04-16"
"50";"MST0064";"ulbje";"Musling";"oestjylland";"2018-04-16";"Hevring_Bugt";"93500119";56.625617;10.590433;13.5;12.5;"1100";"yes";"10.0";"17/04/2018";4.3;NA;"MST0064";"MST0064_2018-04-16"
"51";"MST0097";"PHELD";"DAPHNE";"MST_STORSTRoeM";"2018-04-18";"Karrebaeksminde_Bugt";"95220322";55.139;11.515833;12.6;11.6;"1500";"yes";"2.5";"25/04/2018";5.4;NA;"MST0097";"MST0097_2018-04-18"
"52";"MST0098";"PHELD";"DAPHNE";"MST_STORSTRoeM";"2018-04-18";"Karrebaeksminde_Bugt";"95220322";55.139;11.515833;12.6;11.6;"1500";"yes";"2.5";"25/04/2018";5.4;NA;"MST0098";"MST0098_2018-04-18"
"53";"MST0099";"PHELD";"DAPHNE";"MST_STORSTRoeM";"2018-04-18";"Karrebaeksminde_Bugt";"95220322";55.139;11.515833;12.6;11.6;"1500";"yes";"2.5";"25/04/2018";5.4;NA;"MST0099";"MST0099_2018-04-18"
"54";"MST0055";"JAROB_20629477";"LIV_II";"Fyn";"2018-04-24";"DSoe";"96510125";55.027358;10.377598;16.2;15.4;"1200";"no";"not_avail";"08/05/2018";8.9;NA;"MST0055";"MST0055_2018-04-24"
