"smplNm","value","spcNm","spA.smplN","cl.f.evl","eval.c1","vlc","eDN.lv1","f2","dd.qlod","mcp_ddPCR_lod","eDN.lv1.l10","eval.c4","smplNm2","dec_lon","dec_lat","smpl.date","spcAbr","smpl.day","smpl.mnt","smpl.yea","qP.cc","dP.cc","latspc3","llatspc3","l10.dP.cc","l10.qP.cc"
"MST1022",0,"Bonham","Bonham.MST1022","white","no Cq","qPCR",0,0.617616142109215,0.0308808071054608,0.602823607623575,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Bonham",17,5,2021,0,0,"A)   Bonham","A",NA,NA
"MST1022",0,"Calsap","Calsap.MST1022","yellow","bLD","qPCR",0,0.63699006851343,0.0106165011418905,6.69409215450285,NA,"yellow","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Calsap",17,5,2021,0,0,"B)   Calsap","B",NA,NA
"MST1022",0,"Caraur","Caraur.MST1022","white","no Cq","qPCR",0,0.0225471728962503,0.0958446595718793,3.49066555500031,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Caraur",17,5,2021,0,0,"C)   Caraur","C",NA,NA
"MST1022",0,"Colper","Colper.MST1022","white","no Cq","qPCR",0,1.0579731951097,0.0176328865851616,1.05264455080033,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Colper",17,5,2021,0,0,"D)   Colper","D",NA,NA
"MST1022",0,"Corcas","Corcas.MST1022","white","no Cq","qPCR",0,1.26214731581735,0.0420715771939118,0.360338948667049,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Corcas",17,5,2021,0,0,"E)   Corcas","E",NA,NA
"MST1022",0,"Cragig","Cragig.MST1022","white","no Cq","qPCR",0,0.819268298830287,0.0123110535560807,5.31343579292295,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Cragig",17,5,2021,0,0,"F)   Cragig","F",NA,NA
"MST1022",0,"Erisin","Erisin.MST1022","white","no Cq","qPCR",0,0.364685853592156,0.0548009373867898,1.68553620576858,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Erisin",17,5,2021,0,0,"G)   Erisin","G",NA,NA
"MST1022",0,"Hemsan","Hemsan.MST1022","white","no Cq","qPCR",0,0.631671659618149,0.0105278609936358,0.322470888495446,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Hemsan",17,5,2021,0,0,"H)   Hemsan","H",NA,NA
"MST1022",0,"Hemtak","Hemtak.MST1022","white","no Cq","qPCR",0,0.563037107717149,0.0281518553858574,5.6800436973572,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Hemtak",17,5,2021,0,0,"I)   Hemtak","I",NA,NA
"MST1022",0,"Homame","Homame.MST1022","white","no Cq","qPCR",0,0.615627075262864,26.1693861679721,0.335798636078835,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Homame",17,5,2021,0,0,"J)   Homame","J",NA,NA
"MST1022",0,"Karmik","Karmik.MST1022","white","no Cq","qPCR",0,0.249514042078587,0.0499028084157174,0.409050658345222,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Karmik",17,5,2021,0,0,"K)   Karmik","K",NA,NA
"MST1022",1.65193197866588,"Mnelei","Mnelei.MST1022","black","aaLQ","qPCR",1.65193197866588,0.565945481842138,0.00943242469736896,1.45512744784355,0.423562380340233,"black","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Mnelei",17,5,2021,1.65193197866588,0,"L)   Mnelei","L",NA,0.423562380340233
"MST1022",0,"Myaare","Myaare.MST1022","white","no Cq","qPCR",0,1.00471092350427,0.0167451820584044,5.1446944475174,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Myaare",17,5,2021,0,0,"M)   Myaare","M",NA,NA
"MST1022",0,"Oncmyk","Oncmyk.MST1022","white","no Cq","qPCR",0,0.483938046437317,0.0806563410728862,1.06313988566398,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Oncmyk",17,5,2021,0,0,"N)   Oncmyk","N",NA,NA
"MST1022",0,"Promin","Promin.MST1022","white","no Cq","qPCR",0,0.558615680442301,0.01862052268141,0.560731440782545,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Promin",17,5,2021,0,0,"O)   Promin","O",NA,NA
"MST1022",2864.10158396109,"Psefar","Psefar.MST1022","black","aaLQ","qPCR",2864.10158396109,0.548095136203483,0.0274047568101742,7.0030003786087,3.45714002475773,"black","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Psefar",17,5,2021,2864.10158396109,0,"P)   Psefar","P",NA,3.45714002475773
"MST1022",0,"Psever","Psever.MST1022","yellow","bLD","qPCR",0,0.697051909649079,0.0232350636549693,0.447889193892479,NA,"yellow","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Psever",17,5,2021,0,0,"NA)   Psever",NA,NA,NA
"MST1022",0,"Bonham","Bonham.MST1022","white","no Cq","ddPCR",0,0.617616142109215,0.0308808071054608,0.602823607623575,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Bonham",17,5,2021,0,0,"A)   Bonham","A",NA,NA
"MST1022",0,"Calsap","Calsap.MST1022","yellow","no Cq","ddPCR",0,0.63699006851343,0.0106165011418905,6.69409215450285,NA,"white","MST1022",10.3170055555556,56.1547333333333,"2021-05-17","Calsap",17,5,2021,0,0,"B)   Calsap","B",NA,NA
