"","spcAbbr","intercpt","slope","RSqdRn"
"1","Bonham","0.013","0.81","-98.724"
"2","Calsap","0.017","0.819","-98.365"
"3","Caraur","-0.006","0.959","-99.843"
"4","Colper","0.008","0.85","-98.813"
"5","Corcas","0.018","0.862","-98.801"
"6","Cragig","-0.005","1.049","-99.747"
"7","Erisin","-0.033","1.027","-99.44"
"8","Hemsan","-0.004","1.033","-99.663"
"9","Hemtak","-0.001","1.013","-99.927"
"10","Homame","-0.032","1.074","-99.171"
"11","Karmik","-0.026","0.948","-99.815"
"12","Mnelei","0.036","0.909","-98.61"
"13","Myaare","-0.05","0.906","-97.341"
"14","Neomel","0",NA,"0"
"15","Oncgor","0",NA,"0"
"16","Oncmyk","0.021","0.792","-98.195"
"17","Promin","-0.115","0.975","-96.137"
"18","Psefar","0.025","0.824","-98.031"
"19","Psever","0.008","0.842","-98.114"
"20","Rhihar","0",NA,"0"
