Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Mnelei
2209.233,361.4833,0
2212.878,341.5905,0
2124.852,407.2107,0
1998.372,427.5209,0
1974.278,383.4108,0
2112.433,448.6035,0
2206.69,441.5182,0
2155.895,332.8962,0
2077.725,303.0894,0
2204.895,342.4493,0
2178.967,366.2992,0
2027.289,373.4941,0
2112.073,414.2289,0
2122.581,399.2144,0
2212.521,362.532,0
2143.747,383.0219,0
2121.402,370.7456,0
2107.067,248.6996,0
2187.026,351.9974,0
2235.051,352.7223,0
2097.172,324.209,0
2295.291,360.9242,0
2029.682,323.2312,0
2168.233,375.7714,0
2070.389,345.9863,0
2004.011,428.9989,0
2161.919,363.5723,0
1934.581,324.4289,0
2096.766,286.8431,0
2054.245,417.691,0
2211.647,321.5449,0
2021.851,363.0442,0
2097.056,343.3285,0
2002.908,382.2929,0
2077.577,375.5498,0
2077.121,397.8491,0
2116.621,321.9553,0
2265.736,408.1711,0
2114.094,336.5193,0
2063.356,402.2924,0
2128.241,446.1361,0
2165.956,420.2709,0
1986.25,378.6932,0
2037.961,352.9221,0
2010.473,453.9354,0
2192.283,381.9982,0
2063.976,370.0472,0
2200.241,363.8135,0
2087.519,320.0266,0
2102.783,387.3674,0
2059.143,365.0645,0
2126.804,397.7432,0
1982.423,401.2375,0
2220.347,419.9154,0
2257.783,426.1165,0
2090.168,454.9081,0
2029.45,323.0192,0
2078.661,341.6233,0
2044.158,354.7612,0
2324.246,392.7122,0
2032.59,413.6663,0
2151.567,286.9916,0
2080.454,354.7399,0
2068.875,420.8988,0
2089.261,387.6571,0
2079.677,396.5652,0
2160.617,341.1416,0
2117.641,434.3816,0
1997.819,365.2724,0
1909.466,362.2985,0
2107.556,400.9153,0
2321.816,434.6191,0
2028.608,313.4281,0
2213.118,368.1407,0
2134.758,392.6095,0
2151.886,345.3228,0
2106.888,378.7693,0
1986.524,327.2433,0
2245.201,379.0752,0
2085.87,394.97,0
2324.639,471.9048,0
2019.403,404.4058,0
2204.875,363.9532,0
2082.429,443.025,0
2412.549,342.2627,0
2190.148,452.416,0
2012.915,483.9297,0
1991.692,350.1415,0
1994.199,348.1895,0
2205.155,321.0575,0
2148.558,303.6224,0
2153.294,333.7244,0
2108.994,348.9767,0
2182.008,351.0347,0
1940.261,335.5299,0
1872.676,419.3131,0
2164.479,352.4106,0
2122.125,372.308,0
1992.413,353.3113,0
2309.686,365.4928,0
2318.158,454.4941,0
2048.75,392.3899,0
2142.109,351.1268,0
2255.425,332.4594,0
2081.597,434.642,0
2251.503,391.4312,0
2216.091,417.9387,0
2112.186,465.7904,0
2137.13,371.2994,0
2083.075,329.629,0
2224.242,380.9849,0
2225.171,432.4492,0
2178.409,381.1587,0
1999.642,407.2001,0
2082.911,428.2931,0
2069.69,349.2681,0
2066.972,320.5668,0
2180.772,386.526,0
2164.539,402.432,0
2005.639,322.7554,0
2162.325,413.6315,0
1963.767,408.7522,0
2160.602,331.905,0
1989.957,427.4878,0
2102.325,432.2875,0
1919.611,376.1729,0
2060.173,386.4661,0
2134.68,364.8416,0
2301.489,320.4216,0
2278.726,305.3694,0
1977.506,341.7532,0
2025.284,399.4946,0
1962.12,335.3904,0
2003.137,361.6522,0
2178.485,375.0599,0
2078.822,383.4412,0
2078.355,349.191,0
2047.985,358.4526,0
2370.409,432.3239,0
2106.903,455.8594,0
2027.8,349.0056,0
2128.186,384.92,0
2039.662,328.8274,0
2034.891,396.3214,0
2002.39,305.5025,0
2063.47,405.6563,0
2219.824,348.2749,0
2251.536,445.504,0
2211.938,344.7761,0
1986.059,337.702,0
2069.385,366.739,0
2106.11,367.7726,0
2077.431,433.0947,0
2036.374,349.1542,0
2022.365,360.0991,0
2119.24,393.9543,0
2078.439,430.0667,0
2180.987,305.0768,0
2122.402,426.5995,0
2125.365,335.8752,0
2049.921,390.2994,0
1940.982,247.3918,0
2155.529,393.9468,0
2026.358,397.2355,0
2057.963,489.7062,0
1949.787,406.4224,0
2214.416,346.7169,0
2089.846,432.6637,0
2174.935,361.2249,0
2078.139,279.8348,0
2097.896,411.9479,0
2175.936,366.2219,0
2172.884,316.5432,0
2052.989,368.9459,0
2032.942,349.6331,0
1930.316,315.9962,0
2070.209,403.2098,0
1958.233,411.3216,0
2225.379,410.7866,0
2017.695,454.8359,0
2247.485,309.9479,0
2171.843,326.4355,0
2076.948,380.6846,0
2072.585,349.6254,0
2261.609,392.9838,0
2175.264,336.5698,0
2111.475,420.8496,0
2037.417,398.9211,0
2115.384,398.7074,0
2173.771,438.0117,0
2227.139,405.3583,0
2270.581,374.8085,0
2161.852,369.694,0
1973.954,357.5478,0
2167.294,384.1136,0
2151.133,395.3541,0
2106.22,394.1949,0
2276.249,319.5723,0
2014.151,391.4595,0
2200.03,356.3937,0
2161.412,348.4962,0
2130.175,326.1404,0
2103.51,372.6437,0
2256.126,431.427,0
2114.941,385.3369,0
2106.651,376.7814,0
2154.009,357.7753,0
2009.611,425.4133,0
2107.577,337.149,0
2143.706,405.7568,0
2045.471,342.5885,0
2125.473,393.8323,0
2040.051,359.3137,0
2044.254,466.9523,0
