"spcNm";"col.f_spc";"shrtNm"
"1";"Bonham";"#000000";"B. hamifera"
"2";"Calsap";"#E69F00";"C. sapidus"
"3";"Caraur";"#56B4E9";"C. auratus"
"4";"Colper";"#009E73";"C. peregrine"
"5";"Corcas";"#F0E442";"C. caspia"
"6";"Erisin";"#0072B2";"E. sinensis"
"7";"Hemsan";"#D55E00";"H. sanguineus"
"8";"Hemtak";"#CC79A7";"H. takanoi"
"9";"Homame";"#999999";"H. americanus"
"10";"Karmik";"#AA0DFE";"K. mikimotoi"
"11";"Maggig";"#3283FE";"M. gigas"
"12";"Mnelei";"#85660D";"M. leidyi"
"13";"Myaare";"#782AB6";"M. arenaria"
"14";"Oncmyk";"#565656";"O. mykiss"
"15";"Promin";"#1C8356";"P. minimum"
"16";"Psefar";"#16FF32";"P. farcimen"
"17";"Psever";"#F7E1A0";"P. verruculosa"
