"","Vandprvenummer_unikt_nummer_U_Pr_Nr","Ansvarlig_prvetager_navn_Navn_Inds","Skib_skib","Institution_Inst","dato_dato_inds","lokalitet_navn_omrde_Lok_omr","position_breddegrad_lok_pos","position_lngdegrad_lok_pos","Max_vanddybde_p_lokalitet_max_Dyb","Dybde_hvor_vandprve_er_indhentet_fra_Dyb_Str","Volumen_vand_filtreret_Vwf","Er_vandsjlen_lagdelt_ja_nej","Dybde_for_lagdelingen_Dyb_lagd","dato_hvor_vandprve_er_overfrt_fra_15_C_til_80_C_dato_80C","Temperatur_p_vandprve_ved_indsamling_Temp_Inds","Er_vandhenter_behrigt_skyllet_inden_vandprven_blev_indsamlet_ja_nej","Er_pose_og_filter_udskiftet_i_Amphiltrator_inden_prven_er_blevet_filtreret_ja_nej","Vandprven_blev_indsamlet_samtidigt_med_bundfauna_makroalge_zooplankton_fytoplankton_fiskeri","Restvand_er_presset_ud_af_filteret_inden_indfrysning_ja_nej","Zip_lock_pose_med_filter_er_markeret_med_dato_unikt_nummer_og_lokalitet_ja_nej","Bemrkninger","position_breddegrad_lok_pos03","position_breddegrad_lok_pos02","position_lngdegrad_lok_pos03","position_lngdegrad_lok_pos02","Vapr","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_01","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_02","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt_01","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt_02","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_01","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_02"
"81","MST1041","Alkri","DAPHNE","MST_STORSTRoeM","2021-04-14","BFKarrebaeksmindeBugt",55.1395,11.5002361111111,121,111,1700,"ja","3","2021-04-16","60.3","ja","ja","bundfauna",NA,NA,NA,"55°08'37 N","55DEGR_08MINUT_22.2SECONDS","011°30'85 Ø","011DEGR_30MINUT_0.85SECONDS","MST1041","05:09UTC",NA,"NA",NA,"NA",NA
"82","MST2021043","alkri_nifso","Sif","MSTSJL","2021-05-17","VSJ20925",56.1316666666667,11.1513361111111,48,1,1500,"ja","4","2021-05-20","10.6","ja","ja","Plankton","ja","ja","Dererkunenproevetilraadighed_proeve2erbortkommet","56°07'900 N","56DEGR_07MINUT_54SECONDS","011°09'481 Ø","011DEGR_09MINUT_4.81SECONDS","MST2021043","NA",NA,"NA",NA,"NA",NA
"83","MST1036","alkri_nifso","Sif","MSTSJL","2021-05-17","VSJ20925",56.1316666666667,11.1513361111111,48,1,1500,"ja","4","2021-05-20","10.6","ja","ja","Plankton","ja","ja",NA,"56°07'900 N","56DEGR_07MINUT_54SECONDS","011°09'481 Ø","011DEGR_09MINUT_4.81SECONDS","MST1036","NA",NA,"NA",NA,"NA",NA
"84","MST2021076","alkri","Sif","MSTFYN","2021-09-02","DMU444",54.9996666666667,13.3,457,1,1800,"ja","42","2021-09-08","17.5","ja","ja","Plankton","ja","ja",NA,"54°59'98 N","54DEGR_59MINUT_58.8SECONDS","013°18'00 Ø","013DEGR_18MINUT_0SECONDS","MST2021076","NA",NA,"NA",NA,"NA",NA
"85","MST2021067","alkri","Sif","MSTFYN","2021-09-02","DMU444",54.9996666666667,13.3,457,1,1800,"ja","42","2021-09-08","17.5","ja","ja","Plankton","ja","ja",NA,"54°59'98 N","54DEGR_59MINUT_58.8SECONDS","013°18'00 Ø","013DEGR_18MINUT_0SECONDS","MST2021067","NA",NA,"NA",NA,"NA",NA
"86","MST2021029","alkri","Sif","MSTSJL","2021-09-07","KBH431",55.8616666666667,12.7336055555556,501,1,1800,"ja","12","2021-09-15","17.1","ja","ja","Plankton","ja","ja",NA,"55°51'70 N","55DEGR_51MINUT_42SECONDS","012°44'98 Ø","012DEGR_44MINUT_0.98SECONDS","MST2021029","NA",NA,"NA",NA,"NA",NA
"87","MST2021083","alkri","Sif","MSTFYN","2021-10-22","FYN6300043",54.9976833333333,10.1517305555556,34,1,1500,"ja","12","2021-10-29","12.5","ja","ja","Plankton","ja","ja",NA,"54°59'861 N","54DEGR_59MINUT_51.66SECONDS","010°09'623 Ø","010DEGR_09MINUT_6.23SECONDS","MST2021083","07:38UTC",NA,"08:01UTC",NA,"08:04UTC",NA
"88","MST2021073","alkri","Sif","MSTFYN","2021-10-22","FYN6300043",54.9976833333333,10.1517305555556,34,1,1600,"ja","12","2021-10-29","12.5","ja","ja","Plankton","ja","ja",NA,"54°59'861 N","54DEGR_59MINUT_51.66SECONDS","010°09'623 Ø","010DEGR_09MINUT_6.23SECONDS","MST2021073","07:38UTC",NA,"08:25UTC",NA,"08:28UTC",NA
"89","MST2021006","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-24","1001027Hovedeskov",54.7410833333333,12.0851805555556,106,96,1400,"nej","_","2021-08-25","17.3","ja","ja","aalegraes","ja","ja",NA,"54 44.465","54DEGR_44MINUT_27.9SECONDS","12 05,665","012DEGR_05MINUT_6.65SECONDS","MST2021006","10:25UTC",NA,"10:46UTC",NA,"10:58UTC",NA
"90","MST2021026","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-24","1001027Hovedeskov",54.7410833333333,12.0851805555556,106,96,1400,"nej","_","2021-08-25","17.3","ja","ja","aalegraes","ja","ja",NA,"54 44.465","54DEGR_44MINUT_27.9SECONDS","12 05,665","012DEGR_05MINUT_6.65SECONDS","MST2021026","10:25UTC",NA,"10:46UTC",NA,"10:58UTC",NA
"91","MST2021011","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-31","0401011FemerenBaeltVest",54.73475,11.0846527777778,51,4.1e+16,1500,"nej","_","2021-08-03","170.9","ja","ja","aalegraes","ja","ja",NA,"54 44,085","54DEGR_44MINUT_5.1SECONDS","11 05,475","011DEGR_05MINUT_4.75SECONDS","MST2021011","09:25UTC",NA,"09:40UTC",NA,"09:49UTC",NA
"92","MST2021033","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-31","0401011FemerenBaeltVest",54.73475,11.0846527777778,51,4.1e+16,1500,"nej","_","2021-08-03","170.9","ja","ja","aalegraes","ja","ja",NA,"54 44,085","54DEGR_44MINUT_5.1SECONDS","11 05,475","011DEGR_05MINUT_4.75SECONDS","MST2021033","09:25UTC",NA,"09:40UTC",NA,"09:49UTC",NA
"93","MST2021002","jakobOleLarsen","ABRA","MSTSTO","2021-07-07","0101142EnoeNor",55.15755,11.6357944444444,67,57,1000,"nej","_","2021-07-08","20.4","ja","ja","makroalger","ja","ja",NA,"55 09,453","55DEGR_09MINUT_27.18SECONDS","11 38,886","011DEGR_38MINUT_8.86SECONDS","MST2021002","06:23UTC",NA,"06:43UTC",NA,"06:50UTC",NA
"94","MST2021023","jakobOleLarsen","ABRA","MSTSTO","2021-07-07","0101142EnoeNor",55.15755,11.6357944444444,67,57,1000,"nej","_","2021-07-08","20.4","ja","ja","makroalger","ja","ja",NA,"55 09,453","55DEGR_09MINUT_27.18SECONDS","11 38,886","011DEGR_38MINUT_8.86SECONDS","MST2021023","06:23UTC",NA,"06:43UTC",NA,"06:50UTC",NA
"95","MST2021013","EmilGuddalLarsen","Mergus","Sjaelland","2021-08-25","ROS60",55.713,12.04,48,1,1600,"nej",NA,"2021-09-10","17.9","ja","ja","Fytoplankton","ja","ja",NA,"5542.78","55DEGR_42MINUT_46.8SECONDS","1204","012DEGR_2MINUT_24SECONDS","MST2021013","NA",NA,"NA",NA,"NA",NA
"96","MST2021003","EmilGuddalLarsen","Mergus","Sjaelland","2021-08-25","ROS60",55.713,12.04,48,1,1750,"nej",NA,"2021-09-10","17.9","ja","ja","Fytoplankton","ja","ja",NA,"5542.78","55DEGR_42MINUT_46.8SECONDS","1204","012DEGR_2MINUT_24SECONDS","MST2021003","NA",NA,"NA",NA,"NA",NA
