Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Cragig
6517.497,255.019,1
6390.564,293.2004,1
7399.7,306.8154,1
7762.06,325.4004,1
7802.19,355.4795,1
7542.367,404.1155,1
6422.31,324.5935,1
6444.426,331.439,1
7988.145,390.8403,1
7158.714,378.7361,1
6732.958,362.9456,1
6541.847,158.0596,1
7762.662,398.5496,1
6378.886,255.2197,1
7422.355,375.4321,1
7116.4,382.2732,1
6488.529,231.4382,1
6086.129,230.9399,1
6900.727,330.1155,1
7510.646,251.177,1
6193.624,297.5637,1
7280.518,273.6108,1
6446.674,233.0637,1
7218.49,356.5862,1
6405.155,411.4661,1
6331.036,233.4871,1
6031.94,208.4739,1
7185.381,332.3486,1
7240.939,339.2034,1
7686.012,291.4954,1
6624.506,192.3137,1
6565.489,239.5171,1
6838.569,347.1218,1
7195.077,339.5791,1
6173.777,295.8533,1
6767.113,323.7534,1
6551.946,328.8806,1
5941.253,273.2019,1
7590.01,468.9592,1
6444.032,316.1057,1
6414.939,369.2676,1
7508.075,379.1028,1
6978.292,257.1753,1
5749.971,211.939,1
5917.307,265.9475,1
6266.778,334.6582,1
8630.934,349.5498,1
7155.588,417.0703,1
6212.145,322.5244,1
7856.49,338.6477,1
7649.114,350.292,1
5841.522,231.0774,1
6683.614,316.2002,1
6860.606,196.5918,1
8358.767,396.8926,1
7284.874,385.7102,1
7624.333,383.6611,1
7869.209,287.9138,1
6698.166,391.3984,1
7069.405,376.8638,1
7811.271,350.5396,1
7305.602,340.5979,1
5989.919,246.0857,1
6344.629,320.0662,1
7580.143,320.4468,1
7513.315,362.6033,1
7918.746,390.7634,1
5784.994,304.0024,1
7888.438,288.5132,1
7371.264,370.9124,1
6591.491,291.5667,1
7192.553,294.3892,1
7444.542,279.1802,1
5815.069,360.0476,1
7179.221,339.6152,1
6084.55,354.9331,1
6633.003,284.8259,1
6996.129,302.613,1
7089.198,403.5742,1
6890.961,403.9321,1
6281.493,324.521,1
6445.117,332.9238,1
6506.694,251.2703,1
7216.102,296.6746,1
6937.915,269.9131,1
6670.567,358.0332,1
5936.864,290.8345,1
6894.352,245.8271,1
7219.449,459.6191,1
7878.22,441.5671,1
7074.986,235.9719,1
7442.375,389.0574,1
6775.277,310.3181,1
7312.917,260.5393,1
7246.579,351.9277,1
7693.503,400.0117,1
6290.445,260.0103,1
7640.565,359.2217,1
6709.654,263.8948,1
7083.03,277.1782,1
6142.931,255.3813,1
7992.754,353.2749,1
6815.919,299.387,1
6357.614,195.3545,1
6625.728,206.3591,1
6225.497,252.3887,1
6414.182,377.3494,1
7400.593,327.3635,1
7091.184,314.9851,1
6939.514,451.8735,1
6524.63,246.7283,1
6634.611,404.4131,1
5861.064,277.7366,1
6127.164,224.4175,1
5988.946,234.8364,1
6493.27,322.6375,1
6852.382,321.2163,1
6880.292,335.4238,1
6991.9,165.8701,1
7638.668,384.4966,1
7382.348,327.5657,1
7256.227,353.6199,1
6762.56,311.2539,1
6216.664,240.166,1
5851.576,97.19653,1
6103.419,381.5518,1
6410.88,189.3342,1
6967.837,466.2898,1
7444.39,242.1882,1
7098.768,304.6196,1
7667.733,408.6799,1
6178.599,164.5515,1
6941.267,281.4355,1
7155.326,253.9312,1
6820.831,221.9446,1
7759.597,288.5903,1
5614.771,259.645,1
7369.381,432.4661,1
7123.657,337.3796,1
5955.397,267.0828,1
6264.601,241.7229,1
6274.416,408.228,1
6716.319,274.2205,1
6558.966,304.3213,1
7093.523,356.9895,1
6298.971,284.0669,1
6108.706,199.5012,1
6995.537,345.8279,1
5961.965,301.5396,1
6454.546,242.5037,1
7291.695,337.4705,1
6113.083,255.801,1
6342.835,258.1743,1
6286.062,195.9326,1
7168.354,408.0808,1
6466.254,260.6216,1
7068.438,264.4717,1
6274.512,271.2976,1
6755.424,328.21,1
7659.218,379.1023,1
6757.424,217.7629,1
7563.202,285.6357,1
6758.116,338.2607,1
6316.516,127.7534,1
6341.317,243.9575,1
6270.788,330.9353,1
5655.651,208.478,1
8375.122,376.6538,1
7021.868,360.5425,1
5908.285,260.636,1
7256.777,208.3589,1
6114.104,260.5161,1
6786.715,354.8008,1
6141.875,280.8296,1
5820.411,358.02,1
7314.275,396.6428,1
6247.725,244.8354,1
6647.702,296.2717,1
7931.245,374.1526,1
6742.584,324.6858,1
6959.25,393.0483,1
6536.707,237.7603,1
7539.29,226.4995,1
7843.327,279.6484,1
7213.682,338.1016,1
6030.539,168.8069,1
7407.781,512.0491,1
5916.3,318.7478,1
6366.535,348.1714,1
7050.811,346.1882,1
6144.724,358.0225,1
5976.313,162.738,1
6582.65,282.0718,1
7067.412,318.2903,1
6486.288,368.4397,1
7190.262,360.3137,1
7354.232,389.6912,1
7349.359,327.2424,1
7361.611,352.2793,1
7259.107,416.8052,1
3630.649,270.421,0
8019.613,231.7397,1
6194.129,294.7288,1
6288.127,190.6301,1
6366.204,297.5264,1
7164.129,252.0796,1
6822.525,473.7534,1
6223.778,297.8372,1
8042.152,305.5107,1
6268.324,222.1626,1
6220.246,308.1875,1
7034.621,174.9229,1
7839.933,306.9385,1
7135.664,205.4902,1
7327.477,347.2437,1
6322.932,310.2141,1
6968.774,336.7832,1
6869.405,378.5715,1
6220.566,268.6023,1
6825.411,361.2595,1
6605.048,268.2632,1
7380.67,321.2866,1
6370.28,238.8391,1
6782.617,339.2742,1
7401.21,435.0188,1
6671.905,274.925,1
6348.958,353.3845,1
6280.721,267.0623,1
7867.086,427.7104,1
6285.627,377.5359,1
6161.425,270.1643,1
6630.231,413.8064,1
7761.91,448.2593,1
8022.256,329.449,1
6525.44,270.7373,1
7180.996,255.4324,1
6252.005,196.4019,1
6135.36,200.062,1
6125.942,290.4534,1
7018.464,324.5229,1
7968.133,300.7153,1
6593.541,293.0642,1
6696.997,214.5383,1
7370.427,246.0042,1
5853.311,296.5903,1
7646.154,343.5713,1
6603.953,283.5623,1
7360.438,256.4468,1
5830.399,279.7498,1
6513.03,288.5059,1
6427.342,303.1274,1
6284.068,274.428,1
6086.954,398.0435,1
6471.89,444.3979,1
6407.636,334.6897,1
7431.658,345.1399,1
6266.576,358.457,1
7090.061,326.8848,1
7273.629,474.2207,1
6596.738,281.7676,1
7481.686,396.4626,1
7571.351,322.7729,1
6196.655,288.3013,1
6469.18,226.6831,1
6063.019,343.2456,1
7519.544,462.0891,1
6375.381,455.8826,1
7947.489,323.0073,1
7646.584,362.1987,1
7062.108,347.4451,1
6365.382,173.5149,1
6931.748,207.5701,1
7130.496,255.9441,1
5824.763,242.3633,1
5678.772,330.1638,1
6308.13,323.8647,1
7965.459,430.4087,1
7565.056,231.1885,1
7760.407,420.0908,1
5894.336,309.0527,1
6616.787,376.8579,1
6560.542,260.7971,1
5893.148,304.9036,1
6870.791,300.1284,1
6313.673,347.0276,1
7035.046,413.8611,1
6679.799,339.4263,1
6371.965,336.5452,1
6531.573,369.0513,1
5539.308,201.4336,1
6221.535,287.9355,1
7838.578,336.7434,1
6385.494,296.3396,1
7344.549,399.8257,1
7260.735,318.3489,1
7450.556,281.3201,1
6856.159,293.4199,1
7162.853,451.4814,1
6208.371,186.0981,1
6328.716,243.439,1
6186.968,333.1528,1
6374.708,248.5701,1
7136.817,342.0952,1
7291.289,395.3423,1
6203.38,264.1482,1
7248.163,340.3501,1
6441.07,263.7039,1
6340.171,326.075,1
6024.273,270.449,1
7995.386,482.2813,1
6127.31,309.7605,1
6702.378,411.0178,1
7643.337,344.3923,1
6249.482,287.0715,1
6969.849,418.9475,1
7070.756,371.8164,1
7566.315,196.9094,1
6190.44,270.1372,1
7343.675,415.9072,1
7508.05,431.3425,1
6375.281,329.374,1
6085.86,304.4587,1
7535.106,362.6785,1
6375.782,400.9268,1
7204.662,300.0618,1
6232.018,224.186,1
7082.108,356.1101,1
6446.598,252.616,1
7244.96,339.186,1
6377.536,390.1355,1
7781.586,400.106,1
6193.307,327.248,1
5866.011,325.3203,1
5894.83,366.2485,1
7382.1,260.9941,1
6879.731,387.8828,1
6664.14,235.4614,1
7850.899,437.2893,1
7758.202,429.1404,1
7279.398,346.0952,1
7393.758,311.6917,1
7334.25,327.4009,1
7113.954,328.5911,1
6220.96,275.8567,1
6865.633,362.0291,1
5908.701,332.0225,1
7618.375,285.0513,1
7002.001,277.6589,1
6816.696,373.6099,1
6724.462,395.6458,1
6593.617,266.6267,1
5874.358,233.2803,1
7482.46,390.8379,1
5941.86,294.124,1
7449.433,439.5706,1
7343.171,298.5603,1
6720.782,346.9651,1
6037.974,211.0449,1
6294.147,410.0825,1
8042.821,419.1794,1
6230.101,329.1624,1
7616.175,426.1616,1
6160.705,345.4709,1
7334.559,384.1541,1
7403.795,306.6665,1
