Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1
9312.944,2.932617,1
7817.038,120.0559,1
10080.5,46.11426,1
3833.449,173.5612,0
9863.199,-62.11963,1
10173.91,9.241699,1
4074.652,107.863,0
3760.387,256.0426,0
3762.674,229.2565,0
8606.373,-11.87695,1
9790.408,15.0166,1
7106.512,229.3293,1
10180.95,49.84229,1
3798.108,138.5062,0
9882.16,-12.42627,1
9693.306,31.11621,1
10062.92,-18.27979,1
3736.625,153.4249,0
8900.469,133.6865,1
9850.485,7.375977,1
9916.475,-60.78857,1
8784.717,76.03564,1
10312.56,68.8833,1
3971.776,158.5118,0
9942.007,-95.01709,1
3870.866,158.7238,0
8442.612,37.99463,1
10050.15,-50.56934,1
9834.332,-21.20898,1
3672.724,211.1398,0
9897.659,-27.96191,1
8930.746,-44.5625,1
3910.871,157.2513,0
8326.205,13.8916,1
3925.28,167.094,0
10045.67,34.55713,1
9760.638,44.8999,1
9546.351,-27.13721,1
8965.29,40.82568,1
9844.639,49.94385,1
9878.226,130.4146,1
10273.77,-40.98096,1
9595.731,81.59668,1
9902.716,36.65527,1
9848.255,37.45605,1
3997.736,148.8265,0
9957.751,54.21436,1
10034.56,-69.56543,1
9370.109,30.54004,1
3919.999,188.2854,0
9191.361,35.0166,1
7696.794,151.7302,1
9602.396,73.15381,1
3834.327,186.9045,0
8241.934,95.77222,1
3758.889,316.2671,0
9748.667,162.4849,1
9185.819,16.03564,1
3957.322,134.7224,0
3783.521,256.8832,0
3798.348,172.9099,0
3867.713,228.3304,0
9191.552,40.96924,1
10133.98,-55.03564,1
9703.271,109.0254,1
9902.833,-180.062,1
3757.807,195.4082,0
9870.714,-37.23096,1
3803.304,176.6582,0
8302.673,145.0889,1
9738.501,-25.43164,1
3956.764,227.1353,0
9739.514,119.2837,1
7729.582,102.3979,1
3851.333,167.3202,0
3821.372,235.3798,0
9837.358,-66.15869,1
8614.569,22.64648,1
7527.187,124.9041,1
9842.445,80.10254,1
3898.489,125.9626,0
