Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Calsap
7421.533,248.3376,0
7163.486,309.9253,0
7553.288,281.9045,0
7291.991,237.6467,0
7571.599,207.77,0
7625.742,161.3328,0
7303.864,318.9258,0
6965.813,235.0735,0
7852.997,214.4712,0
7564.164,265.301,0
7245.662,227.468,0
7159.032,350.9329,0
7743.104,89.50073,0
7378.671,211.0452,0
6959.368,202.9399,0
7339.123,98.47485,0
7079.834,258.5032,0
7533.911,281.2224,0
7359.899,180.2454,0
7312.98,382.1653,0
7626.716,196.8193,0
6875.726,224.7954,0
7598.56,254.1624,0
7561.066,225.4055,0
7390.757,306.3267,0
7489.876,279.9727,0
7309.228,271.646,0
7492.126,150.0811,0
7134.47,237.3306,0
7033.928,337.8665,0
7370.94,337.1211,0
7264.367,324.1816,0
7198.741,269.5815,0
7092.461,264.3188,0
7616.759,208.3789,0
6992.865,213.3611,0
7388.091,184.3196,0
7057.629,152.7874,0
7005.342,264.1436,0
7387.998,280.6628,0
7378.545,283.1841,0
7600.453,296.9885,0
7359.708,208.8967,0
7584.298,227.5295,0
7474.723,332.9282,0
7259.236,162.5303,0
7513.227,269.7278,0
7412.673,155.4604,0
7522.259,178.4861,0
7512.007,312.0652,0
7565.703,313.9351,0
7478.669,330.4102,0
7428.21,240.1829,0
7391.729,340.1821,0
7322.151,245.2632,0
7461.413,239.062,0
7347.845,332.9143,0
7537.922,247.7324,0
6914.633,307.0898,0
7829.633,90.5354,0
7539.13,293.9519,0
7331.668,323.9995,0
7556.726,230.4944,0
7249.502,242.0886,0
7330.219,257.2148,0
7590.532,258.9243,0
7419.43,255.666,0
6964.227,223.7542,0
7245.851,320.1304,0
7630.308,377.5532,0
7056.804,295.5518,0
6884.007,285.8303,0
7239.671,355.2915,0
7700.268,297.9346,0
7354.139,146.4578,0
7030.477,262.9277,0
7437.708,190.7729,0
7124.386,155.3477,0
7385.304,168.9834,0
7182.408,343.7244,0
7190.998,136.0012,0
7570.791,259.6396,0
7739.476,344.322,0
7517.561,282.5657,0
7909.416,178.77,0
7149.355,306.1199,0
7189.583,200.4043,0
7652.909,190.6855,0
7056.741,195.196,0
7153.74,314.2234,0
7519.696,208.4282,0
7247.121,134.0972,0
7637.674,210.7471,0
7715.588,259.4294,0
7419.249,222.571,0
7591.809,220.0317,0
7124.081,206.9749,0
7644.836,179.8806,0
7485.984,184.7275,0
7518.683,194.7363,0
7704.03,174.4578,0
7369.986,322.8218,0
7399.564,318.9927,0
7536.145,131.0515,0
7536.432,329.0337,0
7832.21,187.7253,0
7676.572,197.1016,0
7307.79,178.6707,0
7629.735,271.5254,0
7464.511,236.9475,0
7260.539,196.0361,0
7313.755,111.3079,0
7634.616,236.9954,0
7628.92,266.4312,0
7684.818,217.345,0
7685.133,396.0068,0
7660.791,120.6841,0
7173.38,161.3428,0
6930.38,261.469,0
7336.759,280.1399,0
7448.167,380.9565,0
7367.84,216.9319,0
7644.538,141.032,0
7569.855,267.561,0
7368.039,274.5938,0
7446.387,361.8528,0
7273.167,282.387,0
7464.675,258.2473,0
7513.159,204.6768,0
7651.443,243.3916,0
7127.835,229.6047,0
7107.151,274.0627,0
7476.652,211.2085,0
7628.473,237.1926,0
6866.571,257.156,0
7243.633,291.2153,0
7150.277,224.5493,0
7330.812,187.926,0
7157.554,320.1541,0
7182.584,347.3162,0
7750.094,233.0435,0
7468.3,247.925,0
7466.473,215.1829,0
7406.826,283.9854,0
7348.955,157.2834,0
7739.117,228.373,0
7251.988,222.5916,0
7748.791,250.3799,0
7089.565,354.8018,0
7464.79,312.1333,0
7573.223,254.9316,0
7377.609,395.5918,0
7462.401,312.9016,0
7467.311,219.3855,0
7641.934,181.5007,0
7792.475,210.4932,0
7459.289,309.1533,0
7527.333,247.5681,0
7615.803,190.9939,0
7467.25,114.311,0
7430.827,316.1917,0
7405.548,364.8774,0
6984.414,171.1262,0
7228.68,310.5457,0
7338.235,309.6245,0
7274.4,210.4502,0
7386.359,440.7178,0
7413.642,331.179,0
7514.304,196.6963,0
7529.376,355.0535,0
7145.35,217.626,0
7544.398,344.1587,0
7374.069,181.1772,0
7229.517,148.5576,0
7470.16,164.2979,0
7553.332,354.4377,0
7764.818,313.1804,0
7842.178,201.8103,0
7327.271,263.0601,0
7411.917,296.2888,0
7529.732,196.5691,0
7516.351,270.8647,0
7618.83,223.5144,0
7342.39,172.6809,0
7597.537,276.7488,0
7518.795,156.1956,0
7217.073,275.7485,0
7438.125,219.156,0
7598.555,135.2429,0
7664.914,260.3081,0
7276.036,342.4783,0
6999.728,326.8188,0
7417.793,368.5562,0
7352.336,268.7261,0
7444.352,377.2126,0
7442.659,349.1912,0
7367.619,231.3608,0
7276.699,193.3931,0
7241.381,232.7383,0
7492.583,262.6736,0
7746.526,124.5505,0
7116.77,297.3582,0
7558.862,171.9385,0
7395.771,159.9817,0
7264.505,177.2971,0
7659.969,181.9426,0
7213.64,310.9346,0
7827.495,219.9763,0
7019.812,280.0542,0
7476.535,207.8301,0
7601.47,239.3169,0
7566.713,306.3621,0
7184.534,266.9236,0
7441.536,325.5339,0
7413.272,309.4766,0
7313.427,294.1057,0
7353.488,193.6494,0
7029.829,268.3955,0
7444.866,224.6836,0
7360.193,221.853,0
7415.599,356.0718,0
7509.734,335.1982,0
7476.074,292.2092,0
7167.796,247.6975,0
7719.852,158.0801,0
7517.079,121.3745,0
7488.338,170.1785,0
7482.406,123.696,0
7291.756,307.8289,0
7629.168,230.9536,0
7566.073,227.5239,0
7218.493,294.3657,0
7655.28,205.6062,0
7364.259,339.3296,0
7532.729,275.1628,0
7083.653,173.1077,0
7313.634,301.2588,0
7137.771,282.9663,0
7573.201,108.5706,0
7150.537,279.2915,0
7405.771,259.0466,0
6912.636,191.6604,0
7342.232,363.0759,0
7282.74,172.656,0
7377.325,274.262,0
7560.723,185.1162,0
7524.192,222.3564,0
7269.54,169.1382,0
7536.923,170.3394,0
7631.33,156.1135,0
7349.254,269.3308,0
7611.282,169.2156,0
7402.59,339.8252,0
7244.693,268.783,0
7729.703,151.9695,0
7366.876,176.8503,0
7542.13,164.2959,0
7432.661,312.1411,0
7512.229,192.8574,0
7178.562,271.4109,0
7513.816,208.2185,0
7550.169,237.4316,0
7594.208,179.7751,0
7697.367,234.3293,0
7330.34,64.07617,0
7041.893,162.4812,0
7158.427,235.0991,0
7512.074,224.7927,0
7478.486,280.9097,0
7407.87,264.7163,0
6921.854,328.7,0
7534.6,190.6724,0
7411.216,417.5828,0
7079.386,162.5088,0
