Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Homame
4102.626,358.2537,0
4273.695,312.3467,0
4067.723,303.4188,0
4204.112,331.062,0
4576.598,358.2666,0
4231.179,402.1965,0
4014.456,239.0311,0
4082.8,266.0261,0
4203.675,257.2356,0
4056.366,240.7543,0
4300.167,250.4294,0
4091.593,311.4824,0
4170.338,308.363,0
4199.609,318.7712,0
4067.133,254.5272,0
4181.364,271.2261,0
4251.8,215.3726,0
4125.233,277.1094,0
4082.415,320.601,0
4081.878,282.3593,0
4401.632,260.7366,0
4190.225,397.6333,0
3905.76,330.6631,0
3946.131,214.9304,0
4136.109,322.0918,0
4293.765,344.9399,0
3985.084,235.9996,0
3998.1,408.0408,0
3981.527,381.0565,0
4195.157,276.6484,0
4039.383,348.5159,0
4173.412,356.167,0
4031.441,314.1401,0
4133.138,337.949,0
4226.78,210.24,0
4035.52,309.0397,0
4115.353,297.9421,0
4193.767,382.1152,0
4135.459,298.377,0
4131.623,346.9678,0
4066.484,323.5189,0
4001.003,323.3225,0
4176.692,272.6968,0
4068.923,305.2386,0
4260.385,312.948,0
4005.431,304.6505,0
3995.675,287.979,0
4082.824,259.7881,0
4138.173,267.7021,0
4071.22,273.9095,0
4060.04,327.297,0
4196.203,251.7834,0
4128.515,318.7224,0
3991.502,289.8595,0
4092.275,317.0255,0
4103.197,378.192,0
4179.234,407.7788,0
4133.615,336.4824,0
3899.189,362.3488,0
4033.958,285.201,0
4027.751,372.6996,0
4160.293,284.0291,0
4199.2,341.248,0
4042.062,314.1035,0
4130.599,239.3774,0
4201.791,342.8069,0
4119.391,348.1138,0
4196.871,274.8262,0
4136.525,309.5327,0
3888.406,385.8188,0
4024.175,375.1525,0
3979.438,332.1062,0
4209.723,220.8608,0
4084.864,285.9895,0
4037.972,361.0366,0
3977.204,292.656,0
4161.628,368.1516,0
4211.434,338.7043,0
4045.268,355.6451,0
4204.084,278.7502,0
4045.798,278.5514,0
4107.708,285.5267,0
4092.815,380.1434,0
4120.85,297.2028,0
4285.267,212.457,0
3981.014,419.7072,0
4174.591,344.855,0
4194.933,325.511,0
4073.704,329.7275,0
4209.495,331.699,0
4123.67,272.4935,0
4107.758,291.8005,0
4226.359,415.4795,0
4154.516,260.8613,0
4217.855,278.9812,0
4113.31,306.6952,0
4159.392,328.6089,0
4166.983,459.7593,0
3949.162,296.0891,0
4296.028,281.1421,0
4171.454,351.0486,0
4127.981,323.7456,0
4028.719,333.2009,0
4231.643,396.949,0
4210.666,235.4355,0
4094.118,277.0536,0
4139.83,287.3325,0
4091.956,290.6504,0
3959.68,359.2345,0
4169.664,244.689,0
4123.144,411.3594,0
4091.242,312.2847,0
4070.652,333.1195,0
4278.179,182.6448,0
4093.298,369.3805,0
4163.773,382.9246,0
4131.615,265.864,0
4201.271,314.3755,0
4241.234,290.0498,0
4284.545,321.1511,0
4089.747,346.7065,0
4154.794,393.0623,0
4231.191,404.0513,0
4038.167,362.8367,0
4361.952,263.8293,0
4165.937,363.1345,0
4260.024,331.2842,0
4330.458,250.5796,0
4175.627,402.8984,0
4085.429,425.4166,0
4146.258,279.8032,0
4219.812,445.5286,0
4105.828,375.4209,0
4152.012,318.3882,0
4060.806,377.7468,0
4119.407,283.6613,0
4084.23,233.8722,0
3965.925,341.5364,0
4306.667,260.6387,0
