Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Homame
3944.924,306.8379,0
3883.875,377.2687,0
3892.517,352.8452,0
4067.531,275.6277,0
3910.161,331.0105,0
4004.374,310.8525,0
3797.394,305.6379,0
4069.315,260.2581,0
3895.807,238.157,0
3718.662,327.701,0
4048.393,312.3298,0
4255.474,164.7825,0
3991.596,397.0128,0
3769.091,381.7,0
3633.348,357.8359,0
4059.36,366.6719,0
3844.226,342.6218,0
3859.398,331.0365,0
3964.204,352.9617,0
4058.763,316.9753,0
4035.539,235.1183,0
3993.794,432.8257,0
4058.93,246.2734,0
4295.006,394.0969,0
3910.588,249.5176,0
3858.67,259.9867,0
3992.6,254.024,0
3655.889,394.209,0
4028.052,319.1139,0
4002.827,230.0352,0
4044.23,335.6001,0
3846.046,225.0111,0
4018.229,264.9625,0
3907.074,265.4186,0
4095.125,301.6261,0
3943.48,260.0933,0
4078.555,144.2363,0
4074.643,293.0546,0
3885.095,345.7875,0
3897.1,239.1115,0
4127.244,244.5576,0
3914.734,381.2775,0
3792.876,358.1672,0
3848.131,371.0574,0
3751.317,341.0217,0
3850.631,356.8353,0
3710.422,320.0414,0
4168.771,414.9851,0
4282.157,317.8357,0
4156.376,325.8708,0
3649.009,386.4857,0
4280.318,362.1318,0
4370.894,258.9773,0
4171.741,344.4504,0
4178.697,306.5579,0
4182.833,307.343,0
4197.802,234.1013,0
3776.895,192.0623,0
3898.12,297.2568,0
4155.634,274.2104,0
3882.968,339.3502,0
3998.419,237.713,0
4078.63,207.7942,0
4151.695,236.3523,0
4012.368,329.3317,0
3879.935,324.1871,0
3887.292,361.8226,0
4147.624,372.0691,0
4457.809,259.0872,0
3899.537,379.7197,0
4348.789,343.2502,0
3622.649,333.7368,0
4067.182,302.8798,0
3913.434,361.5433,0
3937.848,263.344,0
3939.029,327.0193,0
4533.356,310.8062,0
3920.576,243.0603,0
3878.187,272.9939,0
4038.825,260.8951,0
3915.038,406.1814,0
4115.87,344.2363,0
3924.712,282.374,0
4128.672,280.2483,0
4283.297,328.7751,0
4064.426,301.6345,0
4080.315,291.5021,0
4034.447,283.1587,0
4016.303,258.7478,0
4408.308,309.1006,0
3961.519,269.9935,0
3686.325,307.3683,0
3993.507,304.7341,0
3934.577,344.1769,0
3903.473,409.9934,0
4065.857,330.7441,0
4045.559,262.9591,0
3905.773,315.083,0
3803.733,320.2454,0
3952.273,317.3695,0
3928.304,310.5472,0
4257.331,231.4438,0
4012.955,355.6759,0
3797.321,289.9105,0
4017.369,364.1901,0
4051.94,269.063,0
3972.77,276.5293,0
3956.784,272.5115,0
4150.025,216.6831,0
4171.52,303.1089,0
3820.128,288.4171,0
4020.134,248.4829,0
4082.907,294.7943,0
3877.566,326.8115,0
4037.166,325.5114,0
4439.487,275.6599,0
3738.892,278.9038,0
3965.869,325.8367,0
3987.039,228.4988,0
4040.738,337.0332,0
3940.858,218.5415,0
4028.483,299.3145,0
3707.666,252.2432,0
3927.914,304.4359,0
3859.074,316.3816,0
4109.794,296.0117,0
3854.633,284.5844,0
3777.906,304.9193,0
3975.475,387.553,0
4122.48,234.7443,0
3796.432,268.9424,0
4314.038,368.5989,0
4001.415,321.139,0
3887.979,384.0559,0
4008.898,211.8341,0
3909.556,348.3362,0
3979.76,332.1543,0
3730.41,208.7722,0
4422.046,313.6794,0
3765.715,369.9529,0
3889.275,281.7753,0
4053.951,205.7263,0
3913.031,347.6493,0
3888.553,359.5,0
4339.851,287.845,0
4430.688,332.0269,0
3974.784,256.6116,0
3860.867,305.0112,0
4083.215,287.5966,0
4428.701,364.0107,0
4189.085,185.2891,0
3903.229,289.1216,0
3909.209,350.8726,0
3984.889,298.4919,0
3877.26,289.439,0
3744.627,299.1322,0
4040.589,315.1366,0
3989.465,333.2192,0
3842.184,293.4628,0
3806.158,214.5808,0
4044.905,283.7917,0
3970.613,287.9636,0
4063.272,198.7919,0
4083.244,224.1868,0
3999.385,245.354,0
4015.914,340.9617,0
3882.734,282.7418,0
3751.643,301.5829,0
3993.567,383.1449,0
4035.632,256.6742,0
3896.422,319.0969,0
4292.358,439.5557,0
4312.679,260.2905,0
3888.789,228.8688,0
3921.835,186.725,0
3812.442,358.0255,0
4033.975,334.6725,0
