Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemsan
2121.87,409.4961,0
2183.877,341.5837,0
2061.659,313.4188,0
2026.265,339.723,0
2003.202,346.4968,0
1998.551,308.6053,0
2141.808,307.3364,0
2278.399,203.199,0
2122.242,385.8937,0
2054.451,298.0535,0
2243.461,305.5751,0
2209.411,282.0248,0
2095.498,329.434,0
2072.536,321.863,0
2136.077,359.7325,0
2122.931,268.8579,0
2186.484,337.724,0
2187.975,296.6503,0
2151.931,276.1926,0
2219.02,295.8291,0
2125.693,307.3364,0
2131.284,352.2131,0
2178.864,369.1854,0
2205.384,335.2317,0
2096.719,353.3574,0
2010.064,388.9778,0
2076.837,394.9785,0
2170.849,284.5386,0
2141.27,313.7715,0
2141.563,357.0664,0
2029.915,350.5667,0
2166.82,324.2126,0
2019.626,319.8992,0
2091.218,384.7306,0
2189.251,301.3143,0
2135.279,283.0225,0
2050.868,401.3278,0
2183.916,331.4822,0
2064.173,360.5647,0
2116.635,374.71,0
2027.383,366.4944,0
2138.191,274.3552,0
2165.51,292.2534,0
2038.471,304.9686,0
2038.083,376.9073,0
2320.272,257.1548,0
2150.457,363.8462,0
2203.969,347.3197,0
2000.523,333.0778,0
2095.294,380.6255,0
1992.457,315.9349,0
2064.271,288.3005,0
2117.759,326.1053,0
2151.086,311.9648,0
2159.237,311.1985,0
2098.24,334.9928,0
2210.182,297.8708,0
2106.979,292.769,0
2325.254,278.3431,0
2195.811,276.2728,0
2192.286,329.6931,0
2053.699,341.2534,0
2144.587,336.4028,0
1999.216,338.5587,0
2017.545,374.7113,0
2200.564,328.9497,0
2126.334,334.1575,0
2139.225,401.8467,0
1996.188,377.1694,0
2127.826,295.9183,0
2084.132,399.3856,0
2017.453,340.9626,0
2194.324,340.0548,0
2148.485,350.5278,0
2156.614,309.7286,0
2046.919,319.8165,0
2150.633,293.3663,0
2106.894,321.2128,0
2182.431,345.2561,0
2153.822,316.7471,0
2061.577,318.7635,0
2110.514,321.1628,0
2057.076,355.8149,0
2221.678,350.1434,0
2110.385,360.1758,0
2204.076,350.4381,0
2105.102,405.5977,0
2118.252,295.0208,0
2076.986,334.5979,0
2171.291,300.1295,0
2164.793,297.4948,0
2072.603,360.5287,0
2046.628,343.5393,0
2074.111,355.094,0
2014.423,325.0735,0
2005.924,381.2336,0
2296.251,312.0002,0
2123.519,288.4525,0
2110.611,345.2346,0
2054.388,0481.0,
2083.229,303.7089,0
2234.309,255.7902,0
2098.918,289.8676,0
2106.419,370.8304,0
2048.411,306.8892,0
2013.631,368.6487,0
2156.946,323.1381,0
2170.786,370.297,0
2093.097,316.4891,0
2208.056,372.9067,0
2198.601,288.0535,0
2278.207,357.0946,0
2118.359,345.2959,0
2292.055,296.5306,0
2140.749,307.6067,0
2254.511,271.0289,0
2018.284,383.9812,0
2064.184,370.5969,0
2003.215,346.2914,0
2162.488,328.8616,0
2105.091,339.5947,0
1988.898,305.5496,0
2026.837,314.8301,0
2056.257,366.181,0
2084.439,304.2261,0
2126.146,288.0345,0
2082.244,332.6816,0
2128.057,331.1399,0
2149.364,344.6559,0
2138.341,371.5795,0
2086.8,401.2196,0
2101.507,309.4447,0
1978.376,346.2726,0
2230.032,221.2527,0
2087.4,335.4044,0
2119.083,361.9999,0
2138.056,377.3773,0
2112.733,327.2684,0
2152.613,407.0692,0
2185.721,310.7666,0
2144.823,307.967,0
2131.569,293.3868,0
2224.58,270.0084,0
2199.013,275.8427,0
2115.553,294.3514,0
2091.727,278.4102,0
2210.229,331.4281,0
2097.243,309.0432,0
1984.616,387.3785,0
2029.128,305.7271,0
2282.575,291.3191,0
2108.596,345.9596,0
2248.553,324.9199,0
2143.698,286.5812,0
2036.492,374.0964,0
2171.777,339.9481,0
2105.933,373.3696,0
2099.165,335.9048,0
2061.267,360.6118,0
2182.215,318.8381,0
2159.519,304.3185,0
2102.652,369.6849,0
2110.485,380.7076,0
2050.351,310.7305,0
2165.427,310.3994,0
1990.708,349.4678,0
2235.994,258.0784,0
2146.723,296.8392,0
2081.093,336.697,0
2094.034,366.3186,0
2128.291,387.7933,0
2016.165,350.8994,0
2144.337,335.9708,0
2069.529,381.8693,0
2059.301,289.903,0
2105.222,390.2601,0
2086.298,337.3026,0
2226.819,316.0348,0
2212.065,311.3833,0
2261.736,274.495,0
2101.081,348.7881,0
2099.66,405.8566,0
2173.991,294.9254,0
2287.894,349.7484,0
2061.78,308.8568,0
2027.65,335.8809,0
2002.304,293.6988,0
1958.809,430.5893,0
