"","Well","replno","smpltp","templvol","QtyID","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","qpcrno","MONISprojectno","AssayID","spcabbr","plateno","qpcrrundate","Conc","Species","Sample_Name","Ct","MST_sample_number","Bemaerkn","conc_qubit_ng_uL","Dato.for.ekstraktion","dato_80C","Dato_for_indsml","Dato_inds","Dyb_lagd01","Dyb_Str_m","Ekstraktionsnummer","Elueringvolumen.AE.buffer.uL","Inst","lokalitet_vanda","Lok_omr01","lok_pos_lat","lok_pos_lon","max_Dyb","MST.nummer","MST.n_Dinds","MSTno_di","MST_STEXno","Navn_Inds","Noter2","skib","smplNoSTEX","Sub_Nmb_for_extraction","Temp_Inds","U_Pr_Nr","vandsoejllagd","Vwf_mL","wdt","smpl_day","smpl_mnt","smpl_yea","init_concentration","int_concentation","st_idx","species_idx","sp_st_idx","pres"
"1","A04",9,"MST1039","3uL","QtyorID","Unknown",9,0.1208,"37.89","1.97",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",1.97,"Psefar","MST1039",37.89,"MST1039",NA,13.6,"2022-feb-01","2021-05-03","2021-04-26","2021-04-26","na",1,"MST-SX25",400,"MST_MJL",91320001,"RKB1",56.0778333333333,8.21670555555556,32,"MST1039","MST1039_2021-04-26","MST1039::2021-04-26","MST1039STEX25_19","JettePoulsenEngholm",NA,"Penelope",NA,"25_19",95,"MST1039","nej",570,FALSE,26,4,2021,NA,NA,7,1,7,1
"2","A05",9,"MST1039","3uL","QtyorID","Unknown",9,0.1208,"38.86","1.02",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",1.02,"Psefar","MST1039",38.86,"MST1039",NA,13.6,"2022-feb-01","2021-05-03","2021-04-26","2021-04-26","na",1,"MST-SX25",400,"MST_MJL",91320001,"RKB1",56.0778333333333,8.21670555555556,32,"MST1039","MST1039_2021-04-26","MST1039::2021-04-26","MST1039STEX25_19","JettePoulsenEngholm",NA,"Penelope",NA,"25_19",95,"MST1039","nej",570,FALSE,26,4,2021,NA,NA,7,1,7,1
"3","A06",9,"MST1039","3uL","QtyorID","Unknown",9,0.1208,"38.45","1.34",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",1.34,"Psefar","MST1039",38.45,"MST1039",NA,13.6,"2022-feb-01","2021-05-03","2021-04-26","2021-04-26","na",1,"MST-SX25",400,"MST_MJL",91320001,"RKB1",56.0778333333333,8.21670555555556,32,"MST1039","MST1039_2021-04-26","MST1039::2021-04-26","MST1039STEX25_19","JettePoulsenEngholm",NA,"Penelope",NA,"25_19",95,"MST1039","nej",570,FALSE,26,4,2021,NA,NA,7,1,7,1
"4","A07",17,"MST2021-049","3uL","QtyorID","Unknown",17,0.1208,"34.92","1.498e+001",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",14.98,"Psefar","MST2021-049",34.92,"MST2021049","LISD0027",7.75,"2022-jan-06","2021-05-21","2021-05-21","2021-05-21",NA,10,"MST-SX23",400,"Sydjylland",91650035,"ListerDyb",55.0938666666667,8.56828611111111,11,"MST2021049","MST2021049_2021-05-21","MST2021049::2021-05-21","MST2021049STEX23_10","LasseoerstedJensen",NA,"Fucus","MST2021049STEX23_10","23_10",11,"MST2021049","nej",500,FALSE,21,5,2021,NA,NA,29,1,29,1
"5","A08",17,"MST2021-049","3uL","QtyorID","Unknown",17,0.1208,"37.16","3.24",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",3.24,"Psefar","MST2021-049",37.16,"MST2021049","LISD0027",7.75,"2022-jan-06","2021-05-21","2021-05-21","2021-05-21",NA,10,"MST-SX23",400,"Sydjylland",91650035,"ListerDyb",55.0938666666667,8.56828611111111,11,"MST2021049","MST2021049_2021-05-21","MST2021049::2021-05-21","MST2021049STEX23_10","LasseoerstedJensen",NA,"Fucus","MST2021049STEX23_10","23_10",11,"MST2021049","nej",500,FALSE,21,5,2021,NA,NA,29,1,29,1
"6","A09",17,"MST2021-049","3uL","QtyorID","Unknown",17,0.1208,"37.76","2.15",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",2.15,"Psefar","MST2021-049",37.76,"MST2021049","LISD0027",7.75,"2022-jan-06","2021-05-21","2021-05-21","2021-05-21",NA,10,"MST-SX23",400,"Sydjylland",91650035,"ListerDyb",55.0938666666667,8.56828611111111,11,"MST2021049","MST2021049_2021-05-21","MST2021049::2021-05-21","MST2021049STEX23_10","LasseoerstedJensen",NA,"Fucus","MST2021049STEX23_10","23_10",11,"MST2021049","nej",500,FALSE,21,5,2021,NA,NA,29,1,29,1
"7","A10",25,"MST2021-012","3uL","QtyorID","Unknown",25,0.1208,"25.34","1.045e+004",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",10450,"Psefar","MST2021-012",25.34,"MST2021012",NA,11,"2022-feb-01","2021-05-03","2021-04-27","2021-04-27","na",59,"MST-SX25",400,"MSTSYD",95130028,"VejleFjordindre_VF",55.7021833333333,9.66136111111111,69,"MST2021012","MST2021012_2021-04-27","MST2021012::2021-04-27","MST2021012STEX25_12","KRISTIANMCGREGOR",NA,"LIVII","MST2021012STEX25_12","25_12",81.7,"MST2021012","nej",1500,TRUE,27,4,2021,NA,NA,15,1,15,1
"8","A11",25,"MST2021-012","3uL","QtyorID","Unknown",25,0.1208,"24.83","1.481e+004",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",14810,"Psefar","MST2021-012",24.83,"MST2021012",NA,11,"2022-feb-01","2021-05-03","2021-04-27","2021-04-27","na",59,"MST-SX25",400,"MSTSYD",95130028,"VejleFjordindre_VF",55.7021833333333,9.66136111111111,69,"MST2021012","MST2021012_2021-04-27","MST2021012::2021-04-27","MST2021012STEX25_12","KRISTIANMCGREGOR",NA,"LIVII","MST2021012STEX25_12","25_12",81.7,"MST2021012","nej",1500,TRUE,27,4,2021,NA,NA,15,1,15,1
"9","A12",25,"MST2021-012","3uL","QtyorID","Unknown",25,0.1208,"24.83","1.485e+004",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",14850,"Psefar","MST2021-012",24.83,"MST2021012",NA,11,"2022-feb-01","2021-05-03","2021-04-27","2021-04-27","na",59,"MST-SX25",400,"MSTSYD",95130028,"VejleFjordindre_VF",55.7021833333333,9.66136111111111,69,"MST2021012","MST2021012_2021-04-27","MST2021012::2021-04-27","MST2021012STEX25_12","KRISTIANMCGREGOR",NA,"LIVII","MST2021012STEX25_12","25_12",81.7,"MST2021012","nej",1500,TRUE,27,4,2021,NA,NA,15,1,15,1
"10","B04",10,"MST2021-015","3uL","QtyorID","Unknown",10,0.1208,"NoCt","NoCt",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",0,"Psefar","MST2021-015",0,"MST2021015",NA,5.4,"2021-nov-24","2021-09-08","2021-09-02","2021-09-02","na",1,"MST-SX21",400,"MST_MJL",91320001,"RKB1",56.0778333333333,8.21678611111111,32,"MST2021015","MST2021015_2021-09-02","MST2021015::2021-09-02","MST2021015STEX21_03","BentJensen",NA,"Penelope","MST2021015STEX21_03","21_03",17.5,"MST2021015","nej",925,TRUE,2,9,2021,NA,NA,17,1,17,0
