"","Well","MST_sample_number","spcabbr","conc_copies_per_uL","Accepted_Droplets","Positives","Negatives","Tot_drop","init_concentration","ddpcrno","Bemaerkn","conc_qubit_ng_uL","Dato.for.ekstraktion","dato_80C","Dato_for_indsml","Dato_inds","Dyb_lagd01","Dyb_Str_m","Ekstraktionsnummer","Elueringvolumen.AE.buffer.uL","Inst","lokalitet_vanda","Lok_omr01","lok_pos_lat","lok_pos_lon","max_Dyb","MST.nummer","MST.n_Dinds","MSTno_di","MST_STEXno","Navn_Inds","Noter2","skib","smplNoSTEX","Sub_Nmb_for_extraction","Temp_Inds","U_Pr_Nr","vandsoejllagd","Vwf_mL","wdt","smpl_day","smpl_mnt","smpl_yea","Total_drop","Species","WellType","Conc","st_idx","species_idx","sp_st_idx","pres"
"1","A01","std_5E5","Myaare",1e+06,19718,19718,0,19718,5e+05,"ddpcr0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19718,"Myaare","Standard",1e+06,8,13,85,1
"2","B01","std_5E4","Myaare",2513.05859375,19752,17419,2333,19752,50000,"ddpcr0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19752,"Myaare","Standard",2513.05859375,7,13,84,1
"3","C01","std_5E3","Myaare",239.106155395508,19960,3671,16289,19960,5000,"ddpcr0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19960,"Myaare","Standard",239.106155395508,6,13,83,1
"4","D01","std_5E2","Myaare",22.6547298431396,19295,368,18927,19295,500,"ddpcr0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19295,"Myaare","Standard",22.6547298431396,5,13,82,1
"5","E01","std_5E1","Myaare",2.11666178703308,19471,35,19436,19471,50,"ddpcr0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19471,"Myaare","Standard",2.11666178703308,4,13,81,1
"6","F01","std_5E0","Myaare",7.33717775344849,19623,122,19501,19623,5,"ddpcr0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19623,"Myaare","Standard",7.33717775344849,3,13,80,1
"7","G01","std_5E-1","Myaare",1.02893888950348,19446,17,19429,19446,0.5,"ddpcr0015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19446,"Myaare","Standard",1.02893888950348,2,13,79,1
"8","A01","std_5E5","Mnelei",1e+06,16709,16709,0,16709,5e+05,"ddpcr0017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16709,"Mnelei","Standard",1e+06,8,12,78,1
"9","B01","std_5E4","Mnelei",1223.12866210938,18559,11997,6562,18559,50000,"ddpcr0017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18559,"Mnelei","Standard",1223.12866210938,7,12,77,1
"10","C01","std_5E3","Mnelei",110.291603088379,18036,1614,16422,18036,5000,"ddpcr0017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18036,"Mnelei","Standard",110.291603088379,6,12,76,1
