"","Well","replno","smpltp","templvol","QtyID","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","qpcrno","MONISprojectno","AssayID","spcabbr","plateno","qpcrrundate","Conc","Species","Sample_Name","Ct","MST_sample_number","Bemaerkn","conc_qubit_ng_uL","Dato.for.ekstraktion","dato_80C","Dato_for_indsml","Dato_inds","Dyb_lagd01","Dyb_Str_m","Ekstraktionsnummer","Elueringvolumen.AE.buffer.uL","Inst","lokalitet_vanda","Lok_omr01","lok_pos_lat","lok_pos_lon","max_Dyb","MST.nummer","MST.n_Dinds","MSTno_di","MST_STEXno","Navn_Inds","Noter2","skib","smplNoSTEX","Sub_Nmb_for_extraction","Temp_Inds","U_Pr_Nr","vandsoejllagd","Vwf_mL","wdt","smpl_day","smpl_mnt","smpl_yea","init_concentration","int_concentation","st_idx","species_idx","sp_st_idx","pres"
"1","A01",1,"std3E5","3uL","QtyorID","Standard",1,0.0618,"24.82","3.00e+005",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",3e+05,"Karmik","std3E5",24.82,"std3E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,3e+05,6,11,66,1
"2","A02",1,"std3E5","3uL","QtyorID","Standard",1,0.0618,"24.83","3.00e+005",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",3e+05,"Karmik","std3E5",24.83,"std3E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,3e+05,6,11,66,1
"3","A03",1,"std3E5","3uL","QtyorID","Standard",1,0.0618,"25.24","3.00e+005",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",3e+05,"Karmik","std3E5",25.24,"std3E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,3e+05,6,11,66,1
"4","B01",2,"std3E4","3uL","QtyorID","Standard",2,0.0618,"28.91","3.00e+004",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",30000,"Karmik","std3E4",28.91,"std3E4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,30000,5,11,65,1
"5","B02",2,"std3E4","3uL","QtyorID","Standard",2,0.0618,"28.82","3.00e+004",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",30000,"Karmik","std3E4",28.82,"std3E4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,30000,5,11,65,1
"6","B03",2,"std3E4","3uL","QtyorID","Standard",2,0.0618,"28.69","3.00e+004",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",30000,"Karmik","std3E4",28.69,"std3E4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,30000,5,11,65,1
"7","C01",3,"std3E3","3uL","QtyorID","Standard",3,0.0618,"32.20","3.00e+003",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",3000,"Karmik","std3E3",32.2,"std3E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3000,4,11,64,1
"8","C02",3,"std3E3","3uL","QtyorID","Standard",3,0.0618,"31.91","3.00e+003",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",3000,"Karmik","std3E3",31.91,"std3E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3000,4,11,64,1
"9","C03",3,"std3E3","3uL","QtyorID","Standard",3,0.0618,"32.03","3.00e+003",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",3000,"Karmik","std3E3",32.03,"std3E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3000,4,11,64,1
"10","D01",4,"std3E2","3uL","QtyorID","Standard",4,0.0618,"35.84","3.00e+002",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",300,"Karmik","std3E2",35.84,"std3E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,300,3,11,63,1
"11","D02",4,"std3E2","3uL","QtyorID","Standard",4,0.0618,"35.57","3.00e+002",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",300,"Karmik","std3E2",35.57,"std3E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,300,3,11,63,1
"12","D03",4,"std3E2","3uL","QtyorID","Standard",4,0.0618,"35.69","3.00e+002",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",300,"Karmik","std3E2",35.69,"std3E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,300,3,11,63,1
"13","E01",5,"std3E1","3uL","QtyorID","Standard",5,0.0618,"39.71","3.00e+001",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",30,"Karmik","std3E1",39.71,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,2,11,62,1
"14","E02",5,"std3E1","3uL","QtyorID","Standard",5,0.0618,"40.01","3.00e+001",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",30,"Karmik","std3E1",40.01,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,2,11,62,1
"15","E03",5,"std3E1","3uL","QtyorID","Standard",5,0.0618,"38.36","3.00e+001",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",30,"Karmik","std3E1",38.36,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,2,11,62,1
"16","F01",6,"std3E0","3uL","QtyorID","Standard",6,0.0618,"40.91","3.00e+000",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",3,"Karmik","std3E0",40.91,"std3E0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,11,61,1
"17","F02",6,"std3E0","3uL","QtyorID","Standard",6,0.0618,"42.38","3.00e+000",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",3,"Karmik","std3E0",42.38,"std3E0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,11,61,1
"18","F03",6,"std3E0","3uL","QtyorID","Standard",6,0.0618,"NoCt","NoCt",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",0,"Karmik","std3E0",0,"std3E0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,11,61,0
"19","G01",7,"std3E-1","3uL","QtyorID","Standard",7,0.0618,"NoCt","NoCt",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",0,"Karmik","std3E-1",0,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,2,11,62,0
"20","G02",7,"std3E-1","3uL","QtyorID","Standard",7,0.0618,"NoCt","NoCt",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",0,"Karmik","std3E-1",0,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,2,11,62,0
"21","G03",7,"std3E-1","3uL","QtyorID","Standard",7,0.0618,"NoCt","NoCt",0.991,-3.427,"qpcr925","MONIS6","AssID05","Karmik","plt01","qpcrrundate20220420",0,"Karmik","std3E-1",0,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,2,11,62,0
