Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Homame
4067.53,267.1832,0
3825.602,311.566,0
4296.727,277.9001,0
4420.332,250.374,0
4429.455,345.6895,0
4408.122,405.3359,0
4420.276,337.3821,0
4275.771,400.8811,0
4231.752,291.824,0
4208.187,350.9851,0
4360.298,380.1794,0
4317.652,353.1521,0
3881.93,272.6636,0
4294.965,392.5955,0
4366.313,283.0417,0
4055.305,390.3199,0
4102.329,344.1205,0
4089.178,329.1299,0
4246.77,316.8381,0
4471.714,297.9932,0
4255.916,335.8086,0
4437.296,272.3418,0
4201.57,201.0415,0
4268.182,389.342,0
4167.207,331.6223,0
4342.521,252.3914,0
4506.169,331.1855,0
4402.104,258.0151,0
4301.064,400.1274,0
4326.476,251.1406,0
4161.136,245.825,0
4395.967,384.9927,0
4325.729,458.9348,0
4136.431,347.9194,0
4200.901,184.4917,0
4288.282,240.6501,0
4484.25,318.6191,0
4125.283,246.4266,0
4294.522,387.8254,0
4188.187,226.6404,0
4070.653,220.3326,0
4239.946,354.0754,0
4329.522,409.7559,0
4346.837,310.2512,0
4105.915,356.0582,0
4048.77,385.2025,0
4311.478,367.4778,0
3914.853,334.5441,0
4384.966,285.9688,0
4247.069,269.7983,0
4101.238,301.1429,0
4232.899,285.0332,0
4295.038,388.0027,0
4459.586,347.2913,0
4399.687,257.7478,0
4328.286,299.78,0
4263.853,325.2429,0
4080.248,375.1073,0
4389.007,220.772,0
4414.653,367.6829,0
4062.748,345.3162,0
4365.458,329.9365,0
4196.991,378.1472,0
4135.458,219.6699,0
4490.244,348.8562,0
4433.286,405.4209,0
4481.267,359.8179,0
4086.129,270.439,0
4327.208,332.02,0
3972.765,340.8085,0
4304.047,325.2095,0
4185.697,326.3164,0
4304.248,282.8618,0
4315.8,247.5071,0
3868.128,240.3363,0
4283.495,269.699,0
4301.004,323.6335,0
4272.313,364.5588,0
4108.69,291.6273,0
4352.013,443.134,0
4508.427,367.928,0
4338.148,327.4033,0
4203.467,291.1794,0
4374.122,292.3186,0
4075.445,305.6914,0
4182.895,483.6294,0
4357.979,289.3711,0
3862.513,277.4985,0
4346.695,397.6035,0
4255.73,376.9336,0
4202.76,366.2131,0
4382.581,339.6489,0
4102.706,374.3185,0
4481.966,335.9517,0
4415.066,323.5513,0
3866.219,275.5652,0
4193.714,371.5352,0
4282.979,314.9558,0
4258.012,371.7878,0
4349.805,356.4722,0
4257.397,307.9255,0
4319.921,345.3877,0
4296.878,382.0186,0
4067.409,269.9639,0
4399.784,269.0796,0
3995.442,296.7917,0
4320.687,472.4583,0
4018.217,248.835,0
4244.184,267.9944,0
4113.568,271.4198,0
4265.199,306.6064,0
4189.101,389.041,0
4501.147,259.0989,0
4561.024,434.5117,0
4079.642,305.6525,0
4346.265,379.5017,0
4160.399,338.7773,0
4404.364,300.0681,0
4409.904,337.9912,0
4270.213,279.1191,0
4059.105,391.8857,0
4590.124,334.4968,0
4446.96,330.3359,0
4164.688,278.0293,0
3902.349,304.8619,0
4310.476,320.9731,0
4316.051,237.3157,0
4511.974,309.4924,0
4045.851,227.8663,0
4284.513,312.8276,0
4258.692,365.165,0
4271.477,266.4565,0
4444.468,353.5388,0
4367.722,357.8398,0
4362.667,264.9907,0
4161.274,345.2336,0
4329.652,312.0356,0
4349.763,254.0513,0
4399.482,254.3464,0
4217.615,277.5635,0
4215.469,329.8025,0
4314.551,334.7131,0
4441.012,284.3457,0
4205.935,354.7539,0
4423.931,378.2395,0
4160.006,385.7344,0
4467.852,393.834,0
4344.17,377.3293,0
4185.097,262.0015,0
3962.212,358.0438,0
4068.813,332.9785,0
4327.722,402.6194,0
4115.264,234.9242,0
4418.161,251.6968,0
4410.112,313.4702,0
4419.184,286.7898,0
