Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Promin
8479.941,283.0176,0
8462.132,393.5952,0
9263.255,469.5601,0
7022.658,117.8635,0
8812.78,338.311,0
8920.702,377.6172,0
9135.21,361.4639,0
8869.619,443.6592,0
9171.289,399.6494,0
6053.965,51.51587,0
8369.471,416.9365,0
7153.578,397.1975,0
7530.247,235.5786,0
8717.008,564.7524,0
8875.444,503.5688,0
8872.337,385.4214,0
8633.341,461.9209,0
5763.221,210.2878,0
8754.642,356.8179,0
6889.546,283.9827,0
8402.226,421.9819,0
7886.475,283.6895,0
9104.307,413.7158,0
9107.393,466.7217,0
6294.253,100.376,0
5872.811,142.1353,0
9363.791,314.0059,0
8987.791,411.0859,0
9166.552,529.6099,0
5795.433,68.19165,0
6085.44,71.20068,0
9192.775,324.8789,0
9010.871,414.9536,0
9199.055,593.8438,0
8856.682,258.9126,0
6522.916,151.4976,0
8394.367,378.0327,0
8887.37,374.7788,0
7881.747,271.8008,0
8459.871,464.3247,0
6526.565,180.6206,0
8707.566,484.3125,0
9092.136,548.2324,0
9153.181,388.0356,0
8122.444,310.2813,0
9174.617,297.897,0
7969.356,302.1367,0
6087.845,49.93188,0
9361.29,516.292,0
8477.01,466.4946,0
8550.308,489.4326,0
6112.251,100.7083,0
9252.119,425.7422,0
7759.499,221.1504,0
5658.19,147.9622,0
6650.317,103.49,0
9655.947,562.9536,0
8896.063,348.7744,0
5745.081,190.5903,0
9062.002,355.1631,0
6687.714,239.4282,0
7586.697,194.8396,0
9233.548,391.4434,0
7303.807,159.1565,0
9247.281,537.9473,0
7835.281,308.2095,0
8031.052,326.1414,0
9283.137,661.335,0
6305.546,100.321,0
8372.821,226.1519,0
9035.747,365.9165,0
6053.979,63.99609,0
7223.958,139.8711,0
9034.162,294.1084,0
9103.507,402.2163,0
9145.962,373.3872,0
5802.276,83.71533,0
