Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psever
1602.677,380.929,0
1454.355,402.0651,0
1484.518,385.4791,0
1601.971,354.6904,0
1446.836,376.325,0
1483.704,430.8626,0
1555.273,350.6258,0
1594.465,357.9116,0
1541.383,323.9234,0
1541.619,411.9763,0
1524.065,359.3502,0
1548.893,318.1573,0
1474.482,373.8619,0
1518.346,382.2324,0
1554.616,363.2958,0
1523.542,325.4025,0
1505.621,403.5325,0
1578.815,366.8951,0
1534.087,344.6212,0
1572.615,345.0837,0
1564.392,389.8865,0
1543.778,360.7125,0
1471.703,303.8085,0
1614.357,333.7291,0
1488.634,339.4902,0
1550.869,382.1685,0
1337.602,338.5029,0
1538.624,408.5583,0
1511.137,431.0089,0
1555.331,336.1293,0
1526.622,444.9722,0
1564.862,355.8484,0
1492.138,371.8428,0
1578.441,392.2907,0
1521.579,358.9825,0
1551.439,402.5584,0
1635.59,346.045,0
1604.205,349.8929,0
1572.931,385.2998,0
1495.519,316.5519,0
1383.869,344.8646,0
1541.697,369.5625,0
1530.76,348.4553,0
1566.14,376.8298,0
1553.862,385.491,0
1596.227,391.1398,0
1445.857,331.2295,0
1551.153,382.5099,0
1614.874,337.3504,0
1359.52,302.243,0
1559.853,480.602,0
1486.632,401.6858,0
1596.449,363.0193,0
1349.651,297.7954,0
1501.103,391.89,0
1526.93,415.8713,0
1493.923,418.8243,0
1479.831,377.9187,0
1680.692,310.3652,0
1571.851,403.0937,0
1539.97,457.6305,0
1462.278,313.5994,0
1466.872,416.6125,0
1520.791,377.2567,0
1516.807,396.4142,0
1540.081,398.6198,0
1340.912,302.5839,0
1524.778,359.2229,0
1530.078,305.2188,0
1564.862,405.2578,0
1545.337,426.3101,0
1606.871,381.7995,0
1485.507,409.692,0
1561.239,355.9426,0
1496.314,432.5246,0
1474.346,311.3447,0
1635.289,346.5596,0
1532.669,463.2559,0
1604.761,391.4972,0
1587.767,424.9897,0
1478.591,420.7862,0
1621.631,315.4636,0
1426.188,471.3597,0
1583.627,317.2329,0
1451.73,339.9041,0
1552.872,354.2055,0
1562.112,356.1896,0
1567.37,343.9716,0
1518.017,428.8103,0
1579.182,372.4127,0
1390.562,359.3686,0
1531.487,386.9263,0
1479.45,385.9072,0
1551.716,398.8628,0
1560.593,381.2863,0
