Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Calsap
6086.234,193.884,0
7573.588,208.4456,0
6988.895,223.4971,0
7954.4,205.3872,0
6192.46,45.8479,0
6169.937,210.77,0
8062.56,327.7783,0
8175.129,331.345,0
7957.365,345.6921,0
6099.106,113.5999,0
8001.102,226.5525,0
19291.08,680.1367,1
7591.271,315.0081,0
8240.647,374.1575,0
6431.31,154.9631,0
8021.436,144.3862,0
8245.934,271.5137,0
7840.839,303.7439,0
6602.09,258.8953,0
5933.09,211.1025,0
8012.225,245.4304,0
7800.777,263.2339,0
7992.567,270.7754,0
8063.913,185.8005,0
6186.882,109.822,0
7859.25,243.3782,0
8376.86,276.3062,0
5738.257,136.3372,0
8109.088,269.2073,0
8036.529,182.5166,0
7675.316,259.7695,0
7482.015,269.5444,0
7572.116,161.5457,0
5831.935,185.9565,0
7591.348,224.4543,0
7575.563,201.6533,0
7869.224,188.2998,0
8289.503,259.1143,0
7976.694,380.5393,0
8009.855,322.386,0
8236.602,208.8684,0
7978.016,222.634,0
7534.825,294.4658,0
7427.99,237.3584,0
7340.142,149.2534,0
6189.65,228.6826,0
8156.932,263.4421,0
7679.882,215.4072,0
7293.995,347.3516,0
8144.947,194.1553,0
8616.997,234.5068,0
6155.834,257.0125,0
6239.866,223.6506,0
8091.408,262.7219,0
7540.851,122.7898,0
6934.782,231.2881,0
6217.203,228.2593,0
5973.137,160.1462,0
8048.298,255.8962,0
7976.317,176.6423,0
6122.265,201.0581,0
7747.602,178.5833,0
7600.287,239.489,0
8318.027,311.75,0
7683.459,217.0171,0
8255.916,378.0674,0
6514.646,243.7,0
6117.44,95.69312,0
8188.216,228.7695,0
8337.535,272.2217,0
14725.44,629.0933,1
5994.882,162.2563,0
15378.76,569.9155,1
7905.52,311.9509,0
18812.55,967.0205,1
6656.513,165.4841,0
8306.272,333.4888,0
8007.348,325.2239,0
15153.63,584.7896,1
6205.206,256.1545,0
8237.268,291.3826,0
18405.27,953.8994,1
7438.352,268.4646,0
8107.486,435.1689,0
8301.901,286.1748,0
8064.855,313.3823,0
8530.27,186.0723,0
7337.442,288.1685,0
6330.995,128.9053,0
8257.157,314.7529,0
6337.434,188.4055,0
7943.334,218.0737,0
7883.934,230.0193,0
7438.199,222.6277,0
8162.522,227.7568,0
8080.34,275.6628,0
8108.815,331.3152,0
7451.123,238.3975,0
7127.274,220.1106,0
15910.54,587.0454,1
7695.738,389.5093,0
7809.207,250.4165,0
7635.891,239.2239,0
7624.646,219.5984,0
17194.99,787.1328,1
8457.466,149.5039,0
7626.152,292.9668,0
14805.55,665.5747,1
7678.83,356.48,0
15281.21,605.4712,1
6526.104,211.604,0
7818.531,221.063,0
7172.743,182.8608,0
19226.36,922.8096,1
7098.851,118.6111,0
7860.658,361.0513,0
7782.254,82.46606,0
6739.67,320.022,0
18176.48,994.0244,1
19655.54,868.8398,1
8260.53,267.4053,0
7727.139,307.7219,0
7540.014,197.9805,0
7867.186,129.6316,0
7769.86,341.884,0
8004.847,273.6541,0
6364.753,24.67847,0
6726.365,232.2581,0
7672.105,250.5481,0
7300.002,252.2844,0
6062.114,192.0898,0
6428.231,252.0034,0
8100.174,227.3845,0
6864.967,106.5081,0
6086.924,263.4802,0
5972.696,239.8662,0
6369.574,197.7761,0
7761.035,334.0845,0
14951.75,768.249,1
7948.595,218.429,0
7565.032,280.5432,0
7458.172,288.5002,0
11753.68,490.0981,1
6349.004,277.9302,0
8287.402,191.3584,0
6509.664,245.3306,0
8169.667,183.9373,0
15183.07,662.1997,1
6000.399,108.925,0
6369.192,153.5332,0
7617.237,221.7734,0
6281.34,94.54004,0
8014.433,339.0129,0
7030.608,193.6113,0
7589.896,292.7866,0
7606.384,300.0117,0
7609.149,317.1226,0
7766.596,160.5571,0
7872.077,281.0872,0
8197.741,223.3374,0
15268.1,562.0864,1
8046.841,194.4678,0
8026.698,190.1147,0
15202.53,654.5825,1
7560.292,257.9265,0
7669.066,228.8955,0
7443.564,302.5583,0
19324.96,858.4219,1
8138.84,238.4521,0
9289.934,464.7642,0
8262.075,150.9612,0
7412.694,389.0427,0
8096.389,367.658,0
7623.214,199.0071,0
8001.791,299.5247,0
7408.949,109.0095,0
7724.735,182.614,0
7675.991,360.6848,0
6891.835,190.8516,0
7678.282,282.1362,0
17289.41,694.3799,1
6557.579,361.4854,0
6607.706,299.2805,0
18714.84,659.7705,1
8017.423,140.2681,0
6945.758,164.0222,0
6236.462,244.3147,0
7496.734,302.2727,0
6816.194,173.3918,0
6292.352,189.2515,0
7725.94,221.5015,0
8376.954,86.7168,0
7584.11,106.8743,0
8037.284,261.1377,0
6987.269,123.9399,0
6299.89,197.3892,0
6358.202,105.8337,0
6160.955,171.2297,0
5708.425,143.7852,0
6322.02,135.6094,0
5705.973,151.0635,0
7658.769,197.6711,0
7154.117,207.4053,0
7238.462,215.4507,0
6039.438,206.1057,0
7639.824,303.8022,0
19329.63,969.4023,1
8161.542,297.0046,0
7855.3,214.439,0
6543.368,236.2476,0
8170.951,247.0525,0
7619.061,230.9272,0
7668.667,275.5471,0
8228.979,269.0212,0
6747.655,210.9185,0
8080.139,294.105,0
7767.778,357.9214,0
7752.346,223.3735,0
8127.162,227.731,0
5721.316,219.1418,0
8025.534,313.9395,0
7673.303,194.6792,0
6451.951,200.6973,0
7116.086,277.3777,0
8000.605,202.2012,0
7061.315,196.1187,0
6080.23,171.6741,0
6133.421,170.4219,0
8039.831,337.4265,0
6044.633,134.8188,0
7782.606,189.1426,0
16230.24,632.2651,1
6604.091,211.2686,0
8083.808,263.1929,0
17405.45,805.7529,1
6165.455,203.2361,0
6671.566,156.0977,0
7992.259,218.5571,0
5937.084,148.8684,0
7944.532,303.7612,0
17637.99,842.4043,1
8028.88,361.6443,0
7850.955,329.6445,0
7942.063,142.5591,0
16058.31,649.1958,1
8011.6,290.2412,0
6141.563,203.1426,0
7880.321,173.2766,0
6126.437,167.4561,0
7500.23,161.8298,0
6276.501,182.7273,0
8310.692,193.001,0
18008.25,853.1016,1
5987.772,155.6799,0
7999.876,138.7246,0
6326.877,161.0198,0
7349.631,189.9243,0
8093.1,299.7173,0
6981.784,98.60425,0
8126.424,269.8628,0
7525.26,209.5718,0
7907.125,214.7588,0
7431.581,198.981,0
6314.474,235.9131,0
8412.358,203.6372,0
7841.064,235.645,0
7993.38,236.8115,0
7699.402,418.5161,0
12423.17,487.4487,1
16686.45,658.6963,1
7146.847,29.55518,0
7972.143,277.9758,0
7800.491,257.9722,0
7941.219,144.231,0
8099.343,179.3186,0
6026.793,251.905,0
6390.466,206.5645,0
7709.104,187.5957,0
7736.982,279.9375,0
6047.654,150.124,0
7835.955,219.3752,0
7867.139,217.9211,0
5994.481,99.65991,0
6532.049,190.3213,0
7387.809,345.8623,0
7884.609,212.2134,0
8236.94,356.3225,0
7697.518,309.4421,0
18699.5,704.8057,1
7440.562,363.7402,0
8216.653,286.3535,0
6871.563,148.2563,0
6485.958,210.5715,0
7922.786,222.9138,0
7491.782,313.8599,0
6361.379,158.7134,0
19757.08,794.6865,1
8213.554,412.031,0
19791.63,899.1328,1
15264.05,480.7642,1
14579.58,453.146,1
8117.324,184.7542,0
18335.56,649.9326,1
6994.682,155.5107,0
7294.69,228.1233,0
7935.378,170.5852,0
6319.61,259.7793,0
6220.474,213.7737,0
7669.01,186.6587,0
7609.829,212.1196,0
7605.61,248.3616,0
6477.763,177.3708,0
8066.191,305.8333,0
6262.97,234.7773,0
8098.295,223.7556,0
17845.13,962.3242,1
8430.944,232.6182,0
7845.089,345.3303,0
7723.898,215.8162,0
5830.051,273.9783,0
7914.94,190.3462,0
6204.195,143.7666,0
7507.492,233.5356,0
7613.514,193.981,0
7759.462,216.3528,0
8162.495,386.5476,0
8167.507,299.7991,0
5999.879,187.7441,0
7504.095,205.2224,0
7581.199,294.2336,0
7935.43,282.4534,0
8143.691,172.0039,0
8141.636,247.981,0
6030.46,299.4436,0
14417.86,655.7905,1
16647.39,818.9063,1
6272.464,108.4795,0
7876.955,119.113,0
7625.959,149.8716,0
7084.781,212.1311,0
8227.063,272.2129,0
8079.328,320.1709,0
5693.721,249.9397,0
6123.296,167.6292,0
6949.488,127.1477,0
6385.813,255.3562,0
8389.011,256.6768,0
6586.671,187.6179,0
7517.145,359.874,0
8038.918,234.7188,0
6570.663,158.9265,0
7861.183,256.5669,0
6490.796,184.1567,0
6591.918,169.6658,0
6367.324,123.9365,0
7502.269,240.0662,0
8528.19,218.7339,0
6629.826,127.9014,0
6455.848,154.0891,0
7696.151,313.7781,0
7550.244,284.4526,0
6791.368,274.071,0
6333.542,312.9094,0
8251.329,344.6738,0
7156.691,190.0159,0
6579.598,244.4197,0
6227.245,244.8259,0
6032.013,181.8064,0
7910.935,85.16846,0
7629.791,233.1118,0
8032.505,225.4043,0
8216.785,362.7615,0
6403.982,114.9241,0
7931.183,224.5264,0
6899.657,216.759,0
8042.536,368.1987,0
8133.265,226.2922,0
7353.957,243.8005,0
7245.077,138.6296,0
8253.911,352.9011,0
8034.208,436.2622,0
8014.559,377.0667,0
16024.81,704.1104,1
7142.091,146.3779,0
7094.829,287.9175,0
7588.644,295.1455,0
14832.17,662.6055,1
7103.937,218.6709,0
7650.85,312.9836,0
6712.067,200.9548,0
8100.834,307.2925,0
16528.98,942.5625,1
7765.717,156.0225,0
8541.054,147.6089,0
6879.793,234.6985,0
18731.8,787.8184,1
6424.542,175.6455,0
5899.116,116.7605,0
6939.746,143.6768,0
7500.1,295.1165,0
7728.31,301.885,0
8131.817,335.2991,0
7929.07,312.8374,0
7853.739,282.3574,0
7844.614,197.3159,0
7918.813,140.8816,0
15404.72,520.8779,1
6858.08,296.8125,0
7646.283,274.6328,0
7757.464,298.8477,0
8127.311,312.8962,0
8000.916,195.1331,0
7999.154,273.6436,0
6727.889,161.3118,0
7636.063,300.7146,0
7481.153,230.6445,0
8294.407,351.7947,0
8070.233,302.9214,0
7484.157,188.5999,0
7891.309,219.2793,0
5829.759,200.5652,0
7832.516,177.0056,0
6775.55,176.1023,0
6843.149,170.1084,0
5749.962,88.62793,0
8038.088,349.9934,0
7826.425,213.9319,0
15486.91,449.7109,1
19288.15,924.6563,1
5891.618,92.46289,0
7877.365,246.5774,0
6198.14,124.0452,0
8102.298,320.8845,0
7627.11,268.6587,0
6249.971,189.6016,0
6604.699,56.80347,0
7393.643,115.7573,0
8208.44,292.4736,0
8526.622,190.7134,0
19536.91,817.0615,1
8270.285,281.6104,0
6305.875,285.9373,0
6670.495,74.18188,0
8124.951,356.5081,0
6550.643,143.8369,0
8158.556,286.0664,0
5826.641,192.4189,0
7553.786,328.9106,0
6225.51,235.907,0
17513.98,581.9736,1
6874.807,254.6938,0
7871.474,213.7285,0
6615.612,139.9995,0
6236.883,141.8818,0
7880.027,294.2034,0
7112.19,190.3359,0
7774.804,380.6675,0
6682.694,169.5298,0
7821.666,223.8091,0
7167.035,229.0571,0
7789.797,228.0942,0
8316.736,375.8521,0
6259.968,308.8206,0
7845.77,280.2468,0
6030.081,136.1326,0
8003.533,265.7893,0
7912.925,271.176,0
8116.689,263.689,0
8047.516,339.0347,0
6668.604,63.16626,0
7529.795,262.2036,0
7762.472,257.3826,0
8052.504,271.8298,0
7154.735,291.1299,0
7844.711,230.2529,0
7057.319,179.0552,0
6385.27,256.1726,0
8150.881,310.2356,0
7997.389,319.886,0
6266.756,181.4829,0
8406.31,370.5054,0
7361.944,331.28,0
7514.293,167.1772,0
5889.07,53.51929,0
15228.92,702.1226,1
18999.79,1063.421,1
7731.536,169.6453,0
5960.392,171.3542,0
6366.045,105.6797,0
7617.561,183.814,0
7540.412,229.3716,0
8264.369,292.5276,0
8081.401,262.2014,0
6592.014,84.90625,0
6347.395,137.1016,0
7463.499,313.1492,0
6264.724,139.9197,0
6004.984,139.7861,0
16172.37,638.123,1
19318.83,927.6553,1
15499.27,565.6851,1
8083.732,259.7769,0
8091.268,270.0842,0
6383.941,315.4509,0
5942.522,238.9722,0
7967.505,386.071,0
5962.656,144.2515,0
8361.952,177.5186,0
7821.767,233.0068,0
5915.556,206.9031,0
7734.207,334.1741,0
5980.668,112.3022,0
6417.312,216.5002,0
7763.858,217.3936,0
7857.447,296.1472,0
7878.163,262.407,0
5823.134,188.4729,0
8138.546,327.9297,0
8444.098,214.8818,0
8237.652,189.3877,0
7052.499,273.6055,0
11117.06,509.3672,1
7614.745,240.7454,0
17867.59,731.6338,1
7399.792,231.1765,0
8354.014,294.7236,0
7192.338,168.4763,0
6546.334,131.1482,0
6281.557,167.145,0
7637.818,246.2075,0
7641.424,193.8105,0
16213.87,813.438,1
6106.003,217.0576,0
7696.402,226.7136,0
7357.435,176.9292,0
8369.527,315.9995,0
7988.522,293.0327,0
14993.87,572.5933,1
8047.964,287.9526,0
6835.311,261.5591,0
5966.03,214.2134,0
5984.897,115.072,0
6512.342,173.5603,0
7913.941,265.9207,0
7177.205,106.7229,0
6463.656,191.1855,0
6172.979,117.937,0
7708.996,273.043,0
7276.678,113.5413,0
7493.818,236.2046,0
7815.551,190.0642,0
7460.301,194.1763,0
6241.718,212.9158,0
7934.727,343.3103,0
15908.06,582.0093,1
8071.73,254.1809,0
7866.996,87.40381,0
6200.538,151.1221,0
7947.266,249.5237,0
7214.23,241.2991,0
16804.16,567.5557,1
8023.167,313.4897,0
5855.78,99.35181,0
7616.133,227.1414,0
7784.047,252.7249,0
7930.806,399.6538,0
7719.688,417.8569,0
6659.522,127.9851,0
7838.75,219.7773,0
6304.963,227.4429,0
7479.896,251.3989,0
7950.388,285.9558,0
6247.788,104.2803,0
8488.365,222.356,0
7548.982,294.4905,0
8160.038,239.7285,0
8075.047,287.4697,0
16462.31,716.7866,1
7990.059,349.9285,0
7474.691,381.7441,0
7729.367,246.3328,0
7016.273,280.9822,0
6014.776,181.1929,0
19886.21,937.2031,1
7842.533,262.4146,0
6001.102,271.0027,0
7756.187,353.5798,0
7999.031,326.6973,0
6961.907,269.636,0
8217.316,355.7617,0
6141.623,196.2871,0
6085.836,196.1487,0
5892.04,34.99146,0
16833.51,697.4053,1
15646.27,698.4136,1
7831.875,351.7935,0
7745.991,258.2766,0
7480.131,245.626,0
8096.905,176.9653,0
8010.267,240.9187,0
8208.822,157.4282,0
8058.345,356.7498,0
8366.498,342.8613,0
19662.97,1137.157,1
6296.796,218.9551,0
6373.971,181.1387,0
6947.461,134.804,0
7660.711,321.3169,0
8235.381,306.7896,0
17674.54,789.9434,1
6178.015,102.6633,0
8248.516,299.4644,0
8286.461,195.1428,0
7209.836,214.1577,0
17732.2,687.9932,1
8145.422,181.217,0
19972.03,917.4219,1
8215.757,208.0386,0
5734.941,230.1819,0
6089.42,133.5896,0
6123.168,147.9185,0
7741.532,359.48,0
8050.572,206.9475,0
6062.784,208.1484,0
7733.35,213.7122,0
7372.495,286.1589,0
7958.123,292.9858,0
8332.72,268.3154,0
7060.663,309.0649,0
8206.586,395.2322,0
7874.755,195.4739,0
7780.928,285.0745,0
7506.87,286.8777,0
6455.142,224.5735,0
7765.338,169.9871,0
7632.135,343.2563,0
6385.841,146.7954,0
6969.729,278.7527,0
6182.901,208.0718,0
8000.16,344.4666,0
8199.309,445.8767,0
7753.029,290.8235,0
7784.164,254.8367,0
8289.512,221.8347,0
7786.133,233.2251,0
6148.271,215.2092,0
5999.081,93.50146,0
6832.507,252.6047,0
7705.771,350.571,0
7899.451,258.4976,0
6753.891,91.94092,0
21017.7,1141.339,1
7313.904,357.8652,0
7671.869,314.1279,0
6156.091,130.7688,0
8077.794,182.6116,0
6796.569,116.1785,0
15314.65,737.001,1
7471.796,146.4482,0
17510.92,604.6924,1
8283.403,232.7192,0
8371.824,158.4727,0
7062.01,317.0549,0
7826.213,278.4385,0
7268.389,125.9351,0
6482.439,151.563,0
7868.867,222.7356,0
6391.905,92.47852,0
6044.369,109.2783,0
20229.61,922.3135,1
7420.938,225.8662,0
6275.804,83.21606,0
8037.257,344.7471,0
6314.503,192.0535,0
7762.916,224.6311,0
7504.833,263.1311,0
8335.358,252.6426,0
8016.308,402.449,0
6416.793,140.8542,0
7808.063,285.7759,0
7908.227,235.3716,0
6191.259,161.1094,0
7808.079,231.2454,0
6317.181,169.8005,0
7752.466,308.7559,0
7513.497,223.0781,0
7919.199,235.6899,0
7748.764,404.6555,0
7167.93,70.00879,0
6062.984,160.0742,0
6657.783,105.2813,0
8208.091,272.9294,0
19303.19,1011.316,1
15559.06,648.0259,1
8013.713,402.7393,0
8355.704,298.5498,0
7197.067,202.8096,0
8073.936,311.6978,0
6323.667,235.4734,0
7931.824,180.5024,0
6628.65,191.9231,0
6321.879,141.3179,0
8224.024,178.1978,0
6202.244,155.5505,0
