Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Corcas
943.7986,332.1486,0
1015.36,384.4298,0
1082.069,371.6879,0
902.8553,360.7576,0
912.9128,309.5303,0
953.1824,391.2474,0
961.808,393.1789,0
992.2402,382.1307,0
1040.186,370.2103,0
1009.411,403.4403,0
1014.655,362.5764,0
921.1864,297.9482,0
1128.356,382.0751,0
1026.301,385.8823,0
1020.091,427.905,0
1007.709,412.3929,0
863.6581,361.4082,0
1001.729,376.9377,0
954.6165,356.4608,0
940.9874,250.3416,0
1051.95,338.8688,0
877.9756,318.6017,0
932.1582,364.117,0
899.7012,256.8032,0
1059.964,318.3423,0
998.9078,360.7003,0
976.2938,389.5442,0
1004.94,291.4421,0
1018.989,317.7136,0
1053.675,373.7177,0
1007.239,321.6055,0
814.1694,396.1086,0
988.4786,370.6414,0
1044.597,393.2294,0
928.7162,276.8479,0
998.957,431.3586,0
994.6212,362.9622,0
1030.842,332.0577,0
985.8254,370.4559,0
1020.205,343.6421,0
987.0662,402.9037,0
984.6665,296.1006,0
889.6842,283.1253,0
863.0502,249.4681,0
902.8864,367.5512,0
1103.757,311.8665,0
870.3983,288.8758,0
939.3001,388.8369,0
1017.652,441.2782,0
962.0035,346.1151,0
952.3027,396.467,0
909.037,373.7618,0
1014.163,332.2632,0
961.4839,358.3672,0
905.5057,244.0596,0
977.6879,389.2092,0
889.1299,239.0283,0
1006.092,365.8413,0
969.8231,374.7344,0
1041.968,356.8737,0
1004.943,339.5806,0
1011.277,379.3439,0
1047.389,371.3844,0
1092.121,366.989,0
1042.326,313.1542,0
969.563,296.2338,0
1098.98,347.6274,0
1013.067,347.5129,0
1003.056,379.7736,0
967.5361,318.8498,0
1033.339,402.7935,0
975.2892,417.4524,0
976.2224,385.536,0
1045.032,304.05,0
934.5147,398.3421,0
921.6721,310.9044,0
1012.706,381.2722,0
943.4939,349.12,0
890.0844,281.2003,0
967.9504,381.5525,0
1025.816,394.1865,0
953.72,314.4813,0
1084.4,325.0547,0
1006.126,311.4208,0
1121.594,296.8598,0
994.6897,350.1901,0
979.8255,502.3641,0
874.5193,330.8466,0
984.8816,417.822,0
976.8867,426.7723,0
942.847,384.7785,0
971.1714,392.934,0
863.1241,317.1124,0
960.6926,301.1084,0
815.0809,343.8796,0
980.9221,363.9101,0
1035.562,370.926,0
937.0535,290.3853,0
976.1443,437.66,0
968.3336,401.6914,0
1052.549,361.579,0
1033.874,361.4416,0
994.2614,414.0366,0
1051.368,359.2945,0
962.2884,286.752,0
1045.835,319.9467,0
1071.125,406.5443,0
975.5782,410.3768,0
1035.419,380.0125,0
898.4554,299.5034,0
955.9916,480.1384,0
1010.231,387.3101,0
942.1885,381.9265,0
1026.564,362.0671,0
1006.239,454.283,0
931.4854,347.6546,0
966.8428,425.0961,0
864.9541,307.2921,0
