Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psefar
1721.177,360.1135,0
1732.347,348.4518,0
1643.548,382.4522,0
1440.719,280.4923,0
1840.039,351.3554,0
1520.58,290.4497,0
1634.967,367.3884,0
1642.663,417.8879,0
1759.474,333.9346,0
1533.453,317.1331,0
1635.388,388.3904,0
1735.844,364.0829,0
1698.468,388.2258,0
1491.343,351.8301,0
1697.433,451.6305,0
1733.655,406.1573,0
1605.627,339.0443,0
1681.636,418.9346,0
1519.132,348.1719,0
1701.061,401.4692,0
1717.203,429.4012,0
1731.502,438.2764,0
1679.789,382.5453,0
1609.96,372.8541,0
1475.03,359.2567,0
1734.521,313.4841,0
1815.759,335.6397,0
1806.962,316.1058,0
1713.533,341.2866,0
1673.29,407.6425,0
1622.062,389.4448,0
1737.795,388.5236,0
1762.154,373.1119,0
1669.815,429.9099,0
1594.713,324.2803,0
1618.31,378.1044,0
1684.271,450.0996,0
1561.516,340.9225,0
1705.233,404.6446,0
1697.728,367.3562,0
1705.445,430.78,0
1674.273,391.2825,0
1599.932,356.0336,0
1698.08,321.9369,0
1731.504,406.2188,0
1511.444,389.5565,0
1732.642,393.4369,0
1634.975,398.4971,0
1627.221,374.8785,0
1718.067,326.9365,0
1634.439,406.3704,0
1724.946,356.9036,0
1771.502,325.2156,0
1746.301,417.7283,0
1737.799,409.6206,0
1685.688,383.2167,0
1834.708,380.9166,0
1797.909,380.3298,0
1657.548,341.3089,0
1630.071,404.7625,0
1875.582,322.3237,0
1488.891,405.6464,0
1727.422,433.6157,0
1770.685,398.6312,0
1689.724,357.6394,0
1829.877,399.6592,0
1677.544,374.4052,0
1452.757,229.2062,0
1659.65,348.0696,0
1807.879,385.8905,0
1630.35,403.2338,0
1695.277,352.2327,0
1771.473,416.6531,0
1706.344,317.2413,0
1623.137,370.4175,0
1717.76,401.881,0
1689.02,373.1501,0
1736.582,402.0922,0
1760.996,364.2045,0
1552.536,353.344,0
1589.367,353.0272,0
1679.644,353.1483,0
1677.666,507.1472,0
1569.272,355.9111,0
1592.381,351.6855,0
1631.255,374.1841,0
1784.528,403.9476,0
1499.475,329.372,0
1704.987,382.5035,0
1525.982,378.678,0
1792.112,400.7553,0
1762.383,345.0624,0
1655.381,335.9781,0
1743.468,324.94,0
1652.218,435.3928,0
1756.748,348.9816,0
1570.779,341.5871,0
1548.252,425.5656,0
1710.787,346.4351,0
1784.403,354.8969,0
1670.56,343.6898,0
1755.63,373.226,0
1683.715,379.4029,0
1689.003,385.4929,0
1593.703,375.6105,0
1609.056,407.9973,0
1487.679,302.8253,0
1701.546,328.1545,0
1671.299,367.8929,0
1736.137,385.9422,0
1686.24,374.2865,0
1652.502,386.3486,0
1721.531,417.8824,0
1624.408,344.735,0
1576.285,304.6448,0
1707.812,374.9724,0
1778.901,347.3829,0
1779.665,390.7646,0
1693.194,347.004,0
1502.811,355.1938,0
1830.327,340.858,0
1579.934,347.5062,0
1647.617,427.1804,0
1611.827,352.2595,0
1669.86,321.3873,0
1741.766,385.4683,0
1686.651,319.5845,0
1690.116,356.5784,0
1657.269,398.8928,0
1510.677,256.7366,0
1737.681,422.7748,0
1683.41,408.3662,0
1643.26,350.8185,0
1745.361,402.3591,0
1554.593,387.8447,0
1687.637,332.5251,0
1633.721,396.7794,0
1769.549,332.8621,0
1682.801,296.2186,0
1736.532,386.0908,0
1704.805,407.5239,0
1673.883,331.4523,0
1739.233,392.7957,0
1621.882,356.4559,0
1640.611,401.9393,0
1439.595,321.8322,0
1679.771,393.1138,0
1657.777,384.1292,0
1615.395,402.0123,0
1616.073,403.5394,0
1541.791,347.8876,0
1447.703,350.853,0
1761.366,362.8601,0
1759.277,358.3867,0
1789.682,297.6265,0
1731.792,412.8612,0
1606.059,380.3347,0
1736.004,310.6467,0
1657.194,410.2241,0
1697.948,400.5837,0
1658.354,352.8278,0
1694.088,409.7101,0
1779.839,350.787,0
1627.043,407.3482,0
1851.948,466.5065,0
1668.547,346.7611,0
1806.144,362.6989,0
1767.298,410.7912,0
1680.323,439.7446,0
1734.231,401.0862,0
1757.446,369.2626,0
1495.436,313.6974,0
1845.665,393.7329,0
1597.275,460.4643,0
1643.622,408.4013,0
1722.166,376.8696,0
1620.668,434.8138,0
1590.9,427.3752,0
1576.31,313.2635,0
1805.23,370.0367,0
1544.688,393.8217,0
1697.506,408.8605,0
1712.726,464.7104,0
1709.169,402.0541,0
1755.822,421.6932,0
1450.767,298.5457,0
1759.734,359.9439,0
1746.146,444.3849,0
1622.734,380.2345,0
1635.908,485.3997,0
1705.82,385.1102,0
1536.88,336.8028,0
1579.667,361.3865,0
