Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Corcas
1019.505,354.5574,0
1031.001,392.1954,0
1030.07,350.6498,0
953.5597,417.5119,0
1037.216,466.7813,0
1053.66,410.8806,0
968.7834,454.238,0
1049.221,352.2117,0
1031.744,400.8791,0
980.8352,412.6081,0
971.3093,371.0641,0
987.7518,364.3594,0
978.6811,407.4379,0
1076.865,388.537,0
1032.708,434.2115,0
1075.411,439.2824,0
1066.45,384.2165,0
1029.111,433.4941,0
1030.061,373.645,0
1036.474,406.7305,0
1064.875,432.3528,0
1008.59,426.043,0
1068.952,389.7219,0
961.426,426.5271,0
1020.585,406.8268,0
1043.359,382.2111,0
1071.432,441.6511,0
992.9785,370.5015,0
998.234,441.7122,0
945.0516,422.0821,0
984.6501,427.6461,0
1000.05,418.4262,0
1089.082,331.2371,0
969.0258,446.4729,0
1003.247,430.2675,0
1044.858,351.7659,0
1019.19,406.1385,0
1003.521,378.6698,0
941.3687,376.61,0
1034.528,367.71,0
1011.913,389.7164,0
1003.457,419.2345,0
970.5562,418.2761,0
1071.141,354.5205,0
1063.946,386.3009,0
1048.492,467.938,0
967.019,412.1479,0
1050.373,390.0445,0
1055.167,418.8979,0
978.7604,415.5493,0
1002.478,397.8042,0
1067.069,400.7217,0
1022.796,423.7365,0
1090.504,418.6486,0
979.8383,449.3018,0
979.2926,376.6231,0
1007.604,398.2354,0
1029.357,385.9002,0
988.4204,379.9137,0
1041.662,355.1827,0
975.8658,434.8164,0
975.9408,389.7643,0
1000.961,413.7472,0
1074.763,399.8353,0
965.3262,404.4498,0
1009.538,337.6647,0
1004.239,344.3281,0
1016.817,394.3076,0
1006.367,401.4603,0
1020.259,348.6874,0
1042.208,394.1052,0
981.1031,399.7798,0
1010.458,404.023,0
964.7328,442.1214,0
1026.047,364.8096,0
1049.248,366.265,0
964.3145,453.6904,0
1031.691,376.5582,0
1056.161,400.8345,0
1019.177,409.8307,0
1012.292,346.0856,0
1011.308,416.1844,0
976.1393,365.7804,0
979.4591,435.3777,0
1015.203,413.7252,0
993.9896,389.9675,0
1035.691,481.157,0
976.2706,441.3386,0
1015.024,358.9504,0
940.2736,443.4507,0
1033.902,381.0374,0
