Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Corcas
1010.529,390.8705,0
1057.662,387.22,0
962.1548,402.699,0
946.4474,376.1996,0
1015.696,468.6998,0
1023.001,361.4929,0
1096.112,376.4741,0
1016.427,349.717,0
973.9623,309.005,0
1077.165,371.0416,0
1030.832,331.9942,0
987.3823,364.7197,0
1049.914,385.9583,0
981.5966,354.6784,0
1075.916,406.2097,0
999.4257,416.1231,0
1047.423,362.367,0
1005.598,413.91,0
981.1477,322.8853,0
952.7513,359.7677,0
939.6363,359.8979,0
1009.787,387.5563,0
1038.091,385.6414,0
992.0999,403.3599,0
1138.727,384.8974,0
974.5647,311.4398,0
1036.164,329.0808,0
950.2941,323.0428,0
1073.713,350.7222,0
940.6422,371.7884,0
1033.511,406.7549,0
1024.524,464.3337,0
983.5157,404.668,0
1092.392,351.1656,0
977.968,373.8741,0
863.4551,362.1707,0
970.6193,405.4312,0
1001.158,327.8208,0
987.2093,411.7128,0
978.5952,323.3813,0
1047.335,374.9147,0
1105.573,377.2538,0
1004.202,378.4953,0
1112.903,380.5872,0
1028.057,354.7294,0
978.6142,432.1404,0
1008.473,407.4088,0
1005.012,392.8403,0
1024.724,426.6641,0
1033.594,340.491,0
1055.669,393.8841,0
981.3947,321.4412,0
950.451,352.6117,0
1056.328,385.7238,0
1020.79,399.6986,0
990.1487,440.7195,0
972.6697,336.4332,0
1043.062,430.6278,0
1076.746,380.4633,0
1058.788,388.3222,0
1083.059,391.4485,0
1014.515,369.5742,0
999.6949,386.6054,0
1071.886,367.0639,0
944.3148,405.5027,0
1035.76,373.204,0
1043.546,411.027,0
981.0046,370.3042,0
1005.042,364.1003,0
1025.36,365.1975,0
953.8953,337.7443,0
1014.861,414.9713,0
983.251,445.4012,0
1018.65,375.4966,0
947.5613,349.6873,0
1037.974,437.3826,0
922.749,382.5075,0
1076.736,396.5533,0
1068.653,385.3068,0
901.6157,328.8758,0
963.6792,427.3068,0
969.9169,354.8204,0
1007.711,364.9384,0
1020.35,414.5778,0
1019.485,413.9417,0
1116.356,324.1696,0
993.7037,330.8933,0
984.957,367.2197,0
1060.186,385.786,0
1049.639,305.1478,0
980.6838,410.39,0
1053.519,352.8184,0
1071.704,375.4569,0
984.866,353.1874,0
1019.608,352.6118,0
985.4741,406.7274,0
1123.97,219.7581,0
971.9301,370.7324,0
979.9615,429.6883,0
1042.618,437.8229,0
1027.157,389.5551,0
1012.872,409.939,0
994.3199,425.7111,0
947.6602,439.5725,0
1026.54,357.154,0
923.9048,370.9174,0
916.2427,353.5599,0
1001.133,412.6944,0
1061.561,412.1155,0
1004.043,423.8726,0
935.8699,306.2939,0
980.0972,350.7324,0
1017.479,369.8515,0
1058.725,388.0155,0
1101.536,371.1266,0
922.3882,278.9744,0
1028.378,349.0632,0
1001.464,429.3998,0
968.6805,405.3011,0
981.3365,395.8221,0
1002.307,403.2158,0
1005.19,398.7794,0
924.2837,314.288,0
988.5875,376.3235,0
1058.966,420.0771,0
1038.88,303.0673,0
1076.768,413.8599,0
1000.658,427.5679,0
946.3108,420.2237,0
1011.201,392.816,0
1037.152,330.2037,0
1030.97,386.7199,0
997.9379,398.4076,0
991.8971,418.132,0
967.2379,308.6526,0
1050.797,381.6081,0
994.059,409.7257,0
1081.34,388.3848,0
984.2474,467.5637,0
1026.437,323.1799,0
1021.506,364.3547,0
889.5071,270.2023,0
1038.32,355.9614,0
995.978,359.1231,0
945.3906,322.3989,0
998.6526,297.0044,0
1033.502,431.2051,0
941.1703,388.831,0
997.9787,364.0869,0
943.014,379.5251,0
1001.365,418.8237,0
1006.164,373.5156,0
1002.046,359.5029,0
1054.729,360.1973,0
1014.553,406.1341,0
956.4466,308.2979,0
982.8931,434.1779,0
982.2235,362.4788,0
1000.586,385.3602,0
972.3373,450.1187,0
945.2973,336.3682,0
927.0724,334.0154,0
1038.057,400.2057,0
988.5551,390.1314,0
952.556,439.4984,0
966.2067,366.0045,0
939.0806,418.4491,0
1033.797,357.0385,0
1023.948,335.4089,0
1009.304,394.7861,0
1016.388,415.7084,0
1044.842,367.4594,0
1063.413,347.4155,0
956.0284,366.6331,0
971.6876,370.9311,0
989.1775,411.3748,0
